Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,Variable_index,Variable_name
Ping_index,1967,1968,1969,1970,1971,1977,1978,1979,1980,1981,1982,1983,1988,1989,1990,1991,1992,1993,2495,2496,2497,2498,2503,3271,3273,3274,3275,3276,4312,4313,4314,4315,4316,4318,4319,4327,4328,4329,4330,4331,4332,4333,4334,4336,4338,4339,4340,4341,4346,4347,4348,4349,4350,4352,4353,4358,4360,4361,4362,4363,4368,4369,4370,5628,5629,5630,5631,5632,5633,5634,5641,5642,5643,5644,5645,5646,5647,5648,5654,5655,5656,5657,5658,5667,5668,5669,5675,5677,5678,5679,5680,5687,5688,5689,5690,5691,5692,5693,5694,5695,5696,5697,5698,5700,5701,5703,5704,5708,5709,5710,5711,5712,5713,5714,5715,
Ping_date,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,
Ping_time,15:09:21,15:09:21,15:09:22,15:09:22,15:09:22,15:09:23,15:09:23,15:09:23,15:09:23,15:09:23,15:09:24,15:09:24,15:09:24,15:09:25,15:09:25,15:09:25,15:09:25,15:09:25,15:10:38,15:10:38,15:10:39,15:10:39,15:10:39,15:12:34,15:12:34,15:12:34,15:12:34,15:12:34,15:15:08,15:15:08,15:15:08,15:15:08,15:15:08,15:15:09,15:15:09,15:15:10,15:15:10,15:15:10,15:15:11,15:15:11,15:15:11,15:15:11,15:15:11,15:15:11,15:15:12,15:15:12,15:15:12,15:15:12,15:15:13,15:15:13,15:15:13,15:15:13,15:15:13,15:15:14,15:15:14,15:15:15,15:15:15,15:15:15,15:15:15,15:15:15,15:15:16,15:15:16,15:15:16,15:18:24,15:18:24,15:18:25,15:18:25,15:18:25,15:18:25,15:18:25,15:18:26,15:18:26,15:18:27,15:18:27,15:18:27,15:18:27,15:18:27,15:18:27,15:18:28,15:18:28,15:18:28,15:18:29,15:18:29,15:18:30,15:18:30,15:18:30,15:18:31,15:18:32,15:18:32,15:18:32,15:18:32,15:18:33,15:18:33,15:18:33,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:35,15:18:35,15:18:35,15:18:35,15:18:36,15:18:36,15:18:36,15:18:36,15:18:37,15:18:37,15:18:37,15:18:37,15:18:37,15:18:37,
Ping_milliseconds,815.0,960.0,104.0,251.0,406.0,291.0,438.0,581.0,731.0,875.0,020.0,171.0,899.0,053.0,199.0,343.0,489.0,632.0,833.0,977.0,120.0,267.0,996.0,219.0,517.0,664.0,813.0,962.0,406.0,553.0,699.0,846.0,993.0,290.0,435.0,603.0,749.0,895.0,040.0,186.0,333.0,479.0,624.0,916.0,215.0,362.0,507.0,655.0,387.0,544.0,689.0,837.0,982.0,277.0,422.0,156.0,446.0,593.0,739.0,884.0,617.0,762.0,911.0,771.0,916.0,065.0,226.0,375.0,523.0,676.0,727.0,885.0,032.0,183.0,340.0,487.0,631.0,782.0,693.0,840.0,991.0,138.0,284.0,631.0,778.0,929.0,831.0,127.0,278.0,427.0,578.0,616.0,767.0,914.0,061.0,213.0,363.0,513.0,663.0,813.0,961.0,108.0,267.0,572.0,721.0,020.0,174.0,782.0,935.0,081.0,228.0,381.0,530.0,688.0,836.0,
Range,14.1286592000,14.1403648000,14.1403648000,14.1988928000,14.1286592000,14.2105984000,14.2223040000,14.1286592000,14.1052480000,14.0818368000,14.0584256000,14.0350144000,14.0233088000,14.0116032000,13.9881920000,13.9764864000,13.9530752000,13.9413696000,14.1286592000,14.1403648000,14.2105984000,14.1520704000,14.1403648000,14.0467200000,14.0818368000,14.1169536000,14.1052480000,14.1286592000,14.0233088000,14.0935424000,14.0467200000,14.0116032000,14.0116032000,13.9530752000,14.0233088000,13.8711360000,13.8711360000,13.8594304000,13.8711360000,13.9062528000,13.9530752000,13.8711360000,13.8594304000,13.8360192000,13.9179584000,13.7774912000,13.7657856000,13.7657856000,13.6955520000,13.6838464000,13.6838464000,13.6721408000,13.6721408000,13.6838464000,13.6721408000,13.5667904000,13.5550848000,13.5433792000,13.5433792000,13.5316736000,13.4965568000,13.4848512000,13.4848512000,13.6838464000,13.6955520000,13.6604352000,13.6253184000,13.6487296000,13.7774912000,13.8243136000,13.9998976000,14.0116032000,14.0116032000,14.0233088000,13.9998976000,14.0584256000,14.0935424000,14.1286592000,14.2340096000,14.3042432000,14.3159488000,14.3393600000,14.3510656000,14.3861824000,14.3861824000,14.3978880000,14.4798272000,14.4681216000,14.4681216000,14.4681216000,14.4915328000,14.5383552000,14.5851776000,14.5266496000,14.5149440000,14.4915328000,14.4915328000,14.4681216000,14.5032384000,14.5266496000,14.5383552000,14.4798272000,14.5500608000,14.4330048000,14.4798272000,14.3393600000,14.4095936000,14.3393600000,14.4095936000,14.3159488000,14.3042432000,14.3627712000,14.3627712000,14.3276544000,14.2925376000,
Depth,14.0833022231,14.1007410530,14.1010785345,14.1569902357,14.0833996376,14.1656895662,14.1881026160,14.1033090381,14.0765902149,14.0489125801,14.0216062469,13.9901565015,13.9779869765,13.9750131164,13.9574017171,13.9453699645,13.9187811576,13.9004235035,14.0927683963,14.1039500991,14.1769201932,14.1127808234,14.0951751014,14.0007036421,14.0447173826,14.0865589511,14.0706394361,14.0964951701,13.9808305809,14.0586430589,14.0151575273,13.9728790652,13.9709551474,13.9147991361,13.9849866806,13.8265179843,13.8328406056,13.8245243300,13.8384849271,13.8682840466,13.9129919121,13.8282646947,13.8159875311,13.7968454473,13.8927323967,13.7608390702,13.7465501996,13.7388874916,13.6543264529,13.6519319452,13.6614879398,13.6520644380,13.6519447621,13.6499611996,13.6301054768,13.5227093203,13.5179172708,13.5094552683,13.5063939504,13.4920547456,13.4561832715,13.4499117211,13.4541392298,13.6420805752,13.6640738510,13.6342485594,13.5980134187,13.6198777324,13.7537195310,13.7908308590,13.9596351357,13.9850463849,13.9923754157,14.0069594467,13.9792614272,14.0342644127,14.0612934530,14.0854750210,14.1920968685,14.2700619511,14.2864009729,14.3087404929,14.3126935354,14.3435656503,14.3430862734,14.3502481366,14.4362965124,14.4513649102,14.4518555775,14.4442098606,14.4534787098,14.4999248544,14.5562947299,14.5123810368,14.5047062207,14.4819865394,14.4781096233,14.4480592040,14.4702662006,14.4843476340,14.4916847590,14.4369639223,14.5104780551,14.3894973006,14.4361352362,14.3079907130,14.3769846540,14.2977396352,14.3668817431,14.2810925283,14.2718831552,14.3355078958,14.3340752134,14.2967973556,14.2557153627,
Region_name,"Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11",
160.000,-43.521415,-42.545425,-41.729481,-32.089536,-34.878028,-37.471621,-34.967939,-50.502977,-39.328748,-41.807173,-40.418957,-38.279966,-49.336207,-62.472007,-53.775136,-51.409162,-50.075062,-57.004906,-36.837175,-40.245921,-50.023085,-45.065031,-32.120739,-29.384484,-35.190466,-34.137651,-34.506141,-32.417638,-43.183044,-40.219968,-40.599443,-48.718624,-35.835959,-38.561350,-35.270971,-37.034927,-53.724864,-53.558255,-51.553142,-53.516236,-40.302876,-46.252513,-45.298253,-41.789452,-38.758362,-59.257511,-43.443061,-40.723908,-44.157653,-46.318915,-47.310693,-43.650178,-40.137980,-43.973133,-45.448131,-52.428523,-46.469229,-61.734693,-51.875628,-48.165841,-46.593948,-55.926912,-43.877838,-31.872915,-35.092822,-39.324685,-41.200269,-41.924999,-37.635561,-38.297387,-38.675560,-45.404505,-45.610364,-44.497106,-44.126162,-44.538920,-47.763883,-41.693455,-34.398440,-30.796021,-34.855681,-35.417387,-32.036793,-36.416758,-38.409920,-45.910991,-29.837066,-36.774779,-36.573954,-39.602093,-33.039387,-43.468816,-39.800107,-48.032872,-48.180081,-43.417443,-34.086922,-45.477554,-39.189887,-34.710751,-35.250450,-48.501618,-45.621657,-56.525122,-67.726738,-45.149181,-50.647598,-50.157513,-49.707933,-59.325494,-51.510590,-48.714127,-48.354504,-45.160428,-44.536107,0,Fileset 1: TS pulse compressed wideband pings T2
160.500,-43.688608,-43.613061,-42.285698,-31.641872,-34.391875,-35.307984,-35.597042,-50.642215,-39.064393,-43.496238,-39.627029,-38.248548,-48.723854,-57.558250,-55.930624,-52.715868,-49.707218,-59.196161,-35.513487,-38.915823,-46.291834,-44.340893,-32.730491,-29.399676,-34.572726,-34.184430,-34.743799,-32.756816,-42.739194,-40.928048,-39.976874,-48.697330,-35.286728,-38.358190,-35.198953,-37.301545,-58.100755,-58.161384,-63.998672,-51.164272,-41.122086,-46.016921,-44.513864,-41.645104,-43.372002,-52.350848,-44.528803,-40.806138,-42.277433,-46.017177,-45.880621,-42.850364,-40.096948,-41.802148,-48.068507,-58.718594,-48.002989,-53.265564,-46.840721,-44.917358,-47.613613,-49.188190,-42.832514,-32.338897,-37.657812,-39.993828,-38.483764,-39.236128,-38.781673,-37.160253,-36.995855,-42.533968,-50.679244,-51.475298,-41.280967,-43.569802,-44.229139,-39.675078,-34.791788,-31.939005,-32.987643,-34.854813,-31.387430,-35.268352,-39.577564,-42.043632,-29.630818,-37.337515,-35.224942,-38.181588,-32.905618,-42.429388,-43.357116,-50.609871,-46.898686,-43.781701,-34.132910,-43.748948,-38.555347,-35.537510,-34.931119,-50.791207,-44.948098,-48.938628,-52.782423,-44.440157,-46.795714,-49.008322,-49.761731,-57.410198,-49.306128,-46.758489,-48.034338,-44.364706,-43.576351,0,Fileset 1: TS pulse compressed wideband pings T2
161.000,-44.405198,-43.341828,-42.626323,-30.983985,-33.913975,-34.103833,-36.129992,-50.472751,-39.430963,-42.941062,-38.788559,-38.361179,-47.763249,-52.647076,-56.763327,-54.425302,-49.884990,-64.160881,-34.928781,-37.921065,-45.387576,-42.704336,-33.230844,-29.354346,-33.731686,-34.886244,-34.873453,-33.059354,-42.089290,-41.976094,-39.805526,-49.382387,-34.713250,-38.192680,-35.154297,-37.839553,-65.370371,-72.506647,-52.257557,-46.823777,-41.184838,-45.091585,-44.453472,-41.300158,-44.679098,-48.025406,-46.302197,-41.425923,-41.049738,-45.607038,-44.764415,-42.316583,-40.542324,-40.808918,-51.861087,-57.149252,-49.704948,-47.818834,-43.500391,-41.700405,-49.089859,-45.537880,-42.129684,-32.853302,-40.279243,-40.693935,-37.606027,-38.598040,-41.987562,-37.946574,-36.145461,-38.328842,-51.253383,-41.593216,-38.160012,-43.644135,-35.277532,-34.776471,-35.545335,-32.313779,-30.744428,-34.056821,-31.149200,-34.512340,-40.250773,-41.362391,-29.703794,-38.022038,-33.970780,-36.334111,-32.987398,-41.134893,-51.739369,-53.461929,-44.970252,-43.721809,-34.877904,-43.274132,-37.911106,-36.755574,-35.047470,-53.337857,-43.937832,-45.596220,-48.780388,-44.362217,-44.770583,-48.323473,-50.028154,-57.133731,-47.417963,-45.943990,-48.873411,-43.891119,-42.541645,0,Fileset 1: TS pulse compressed wideband pings T2
