Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,Variable_index,Variable_name
Ping_index,1967,1968,1969,1970,1971,1977,1978,1979,1980,1981,1982,1983,1988,1989,1990,1991,1992,1993,2495,2496,2497,2498,2503,3271,3273,3274,3275,3276,4312,4313,4314,4315,4316,4318,4319,4327,4328,4329,4330,4331,4332,4333,4334,4336,4338,4339,4340,4341,4346,4347,4348,4349,4350,4352,4353,4358,4360,4361,4362,4363,4368,4369,4370,5628,5629,5630,5631,5632,5633,5634,5641,5642,5643,5644,5645,5646,5647,5648,5654,5655,5656,5657,5658,5667,5668,5669,5675,5677,5678,5679,5680,5687,5688,5689,5690,5691,5692,5693,5694,5695,5696,5697,5698,5700,5701,5703,5704,5708,5709,5710,5711,5712,5713,5714,5715,
Ping_date,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,
Ping_time,15:09:21,15:09:21,15:09:22,15:09:22,15:09:22,15:09:23,15:09:23,15:09:23,15:09:23,15:09:23,15:09:24,15:09:24,15:09:24,15:09:25,15:09:25,15:09:25,15:09:25,15:09:25,15:10:38,15:10:38,15:10:39,15:10:39,15:10:39,15:12:34,15:12:34,15:12:34,15:12:34,15:12:34,15:15:08,15:15:08,15:15:08,15:15:08,15:15:08,15:15:09,15:15:09,15:15:10,15:15:10,15:15:10,15:15:11,15:15:11,15:15:11,15:15:11,15:15:11,15:15:11,15:15:12,15:15:12,15:15:12,15:15:12,15:15:13,15:15:13,15:15:13,15:15:13,15:15:13,15:15:14,15:15:14,15:15:15,15:15:15,15:15:15,15:15:15,15:15:15,15:15:16,15:15:16,15:15:16,15:18:24,15:18:24,15:18:25,15:18:25,15:18:25,15:18:25,15:18:25,15:18:26,15:18:26,15:18:27,15:18:27,15:18:27,15:18:27,15:18:27,15:18:27,15:18:28,15:18:28,15:18:28,15:18:29,15:18:29,15:18:30,15:18:30,15:18:30,15:18:31,15:18:32,15:18:32,15:18:32,15:18:32,15:18:33,15:18:33,15:18:33,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:34,15:18:35,15:18:35,15:18:35,15:18:35,15:18:36,15:18:36,15:18:36,15:18:36,15:18:37,15:18:37,15:18:37,15:18:37,15:18:37,15:18:37,
Ping_milliseconds,815.0,960.0,104.0,251.0,406.0,291.0,438.0,581.0,731.0,875.0,020.0,171.0,899.0,053.0,199.0,343.0,489.0,632.0,833.0,977.0,120.0,267.0,996.0,219.0,517.0,664.0,813.0,962.0,406.0,553.0,699.0,846.0,993.0,290.0,435.0,603.0,749.0,895.0,040.0,186.0,333.0,479.0,624.0,916.0,215.0,362.0,507.0,655.0,387.0,544.0,689.0,837.0,982.0,277.0,422.0,156.0,446.0,593.0,739.0,884.0,617.0,762.0,911.0,771.0,916.0,065.0,226.0,375.0,523.0,676.0,727.0,885.0,032.0,183.0,340.0,487.0,631.0,782.0,693.0,840.0,991.0,138.0,284.0,631.0,778.0,929.0,831.0,127.0,278.0,427.0,578.0,616.0,767.0,914.0,061.0,213.0,363.0,513.0,663.0,813.0,961.0,108.0,267.0,572.0,721.0,020.0,174.0,782.0,935.0,081.0,228.0,381.0,530.0,688.0,836.0,
Range,14.1286592000,14.1403648000,14.1403648000,14.1988928000,14.1286592000,14.2105984000,14.2223040000,14.1286592000,14.1052480000,14.0818368000,14.0584256000,14.0350144000,14.0233088000,14.0116032000,13.9881920000,13.9764864000,13.9530752000,13.9413696000,14.1286592000,14.1403648000,14.2105984000,14.1520704000,14.1403648000,14.0467200000,14.0818368000,14.1169536000,14.1052480000,14.1286592000,14.0233088000,14.0935424000,14.0467200000,14.0116032000,14.0116032000,13.9530752000,14.0233088000,13.8711360000,13.8711360000,13.8594304000,13.8711360000,13.9062528000,13.9530752000,13.8711360000,13.8594304000,13.8360192000,13.9179584000,13.7774912000,13.7657856000,13.7657856000,13.6955520000,13.6838464000,13.6838464000,13.6721408000,13.6721408000,13.6838464000,13.6721408000,13.5667904000,13.5550848000,13.5433792000,13.5433792000,13.5316736000,13.4965568000,13.4848512000,13.4848512000,13.6838464000,13.6955520000,13.6604352000,13.6253184000,13.6487296000,13.7774912000,13.8243136000,13.9998976000,14.0116032000,14.0116032000,14.0233088000,13.9998976000,14.0584256000,14.0935424000,14.1286592000,14.2340096000,14.3042432000,14.3159488000,14.3393600000,14.3510656000,14.3861824000,14.3861824000,14.3978880000,14.4798272000,14.4681216000,14.4681216000,14.4681216000,14.4915328000,14.5383552000,14.5851776000,14.5266496000,14.5149440000,14.4915328000,14.4915328000,14.4681216000,14.5032384000,14.5266496000,14.5383552000,14.4798272000,14.5500608000,14.4330048000,14.4798272000,14.3393600000,14.4095936000,14.3393600000,14.4095936000,14.3159488000,14.3042432000,14.3627712000,14.3627712000,14.3276544000,14.2925376000,
Depth,14.0833022231,14.1007410530,14.1010785345,14.1569902357,14.0833996376,14.1656895662,14.1881026160,14.1033090381,14.0765902149,14.0489125801,14.0216062469,13.9901565015,13.9779869765,13.9750131164,13.9574017171,13.9453699645,13.9187811576,13.9004235035,14.0927683963,14.1039500991,14.1769201932,14.1127808234,14.0951751014,14.0007036421,14.0447173826,14.0865589511,14.0706394361,14.0964951701,13.9808305809,14.0586430589,14.0151575273,13.9728790652,13.9709551474,13.9147991361,13.9849866806,13.8265179843,13.8328406056,13.8245243300,13.8384849271,13.8682840466,13.9129919121,13.8282646947,13.8159875311,13.7968454473,13.8927323967,13.7608390702,13.7465501996,13.7388874916,13.6543264529,13.6519319452,13.6614879398,13.6520644380,13.6519447621,13.6499611996,13.6301054768,13.5227093203,13.5179172708,13.5094552683,13.5063939504,13.4920547456,13.4561832715,13.4499117211,13.4541392298,13.6420805752,13.6640738510,13.6342485594,13.5980134187,13.6198777324,13.7537195310,13.7908308590,13.9596351357,13.9850463849,13.9923754157,14.0069594467,13.9792614272,14.0342644127,14.0612934530,14.0854750210,14.1920968685,14.2700619511,14.2864009729,14.3087404929,14.3126935354,14.3435656503,14.3430862734,14.3502481366,14.4362965124,14.4513649102,14.4518555775,14.4442098606,14.4534787098,14.4999248544,14.5562947299,14.5123810368,14.5047062207,14.4819865394,14.4781096233,14.4480592040,14.4702662006,14.4843476340,14.4916847590,14.4369639223,14.5104780551,14.3894973006,14.4361352362,14.3079907130,14.3769846540,14.2977396352,14.3668817431,14.2810925283,14.2718831552,14.3355078958,14.3340752134,14.2967973556,14.2557153627,
Region_name,"Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11","Region 11",
160.000,-54.981763,-52.551772,-51.641201,-42.617926,-46.309459,-48.790785,-43.574470,-56.905673,-46.594590,-50.147973,-49.784703,-49.758789,-60.945596,-71.837450,-61.642662,-59.358478,-58.855647,-67.510354,-45.910530,-49.433400,-58.481776,-54.980527,-43.550334,-41.562548,-45.232293,-42.603748,-44.023955,-41.095910,-56.962975,-51.732128,-50.831967,-61.208699,-49.252053,-50.713847,-46.806755,-49.812987,-65.062910,-63.931624,-61.303271,-65.251202,-52.690565,-59.392151,-58.488662,-53.876706,-46.843008,-64.408185,-49.311409,-48.873662,-57.377070,-56.660650,-54.628971,-50.228731,-46.857881,-55.692691,-60.123075,-67.307974,-59.711266,-74.319426,-65.901775,-63.426665,-62.432110,-69.755219,-56.033765,-42.830821,-43.384581,-46.168694,-48.451461,-49.595641,-43.804425,-46.977435,-48.997003,-52.231545,-50.568714,-48.746687,-49.458792,-50.952684,-56.450958,-53.151559,-45.046767,-39.429778,-42.340118,-43.371910,-42.064174,-47.160479,-49.422144,-58.202291,-40.675273,-41.124227,-40.972362,-45.991500,-43.036282,-53.242743,-47.136647,-51.680584,-50.828824,-45.919582,-37.620727,-50.672385,-47.580353,-45.312415,-46.958261,-59.467233,-55.747866,-67.378964,-78.534945,-53.130962,-58.883278,-60.621565,-60.335937,-68.037276,-59.584645,-55.494355,-55.481420,-52.842910,-53.728973,0,Fileset 1: TS pulse compressed wideband pings T2
160.500,-55.148955,-53.619407,-52.197419,-42.170262,-45.823306,-46.627148,-44.203573,-57.044910,-46.330234,-51.837039,-48.992775,-49.727371,-60.333244,-66.923692,-63.798150,-60.665184,-58.487803,-69.701609,-44.586842,-48.103302,-54.750526,-54.256388,-44.160085,-41.577740,-44.614552,-42.650527,-44.261613,-41.435089,-56.519124,-52.440208,-50.209398,-61.187405,-48.702822,-50.510686,-46.734737,-50.079605,-69.438801,-68.534753,-73.748801,-62.899238,-53.509775,-59.156559,-57.704272,-53.732358,-51.456648,-57.501522,-50.397150,-48.955892,-55.496850,-56.358912,-53.198899,-49.428918,-46.816849,-53.521706,-62.743451,-73.598045,-61.245027,-65.850297,-60.866868,-60.178182,-63.451774,-63.016497,-54.988442,-43.296803,-45.949571,-46.837837,-45.734956,-46.906770,-44.950537,-45.840301,-47.317298,-49.361008,-55.637593,-55.724879,-46.613598,-49.983566,-52.916213,-51.133183,-45.440115,-40.572761,-40.472080,-42.809335,-41.414811,-46.012072,-50.589788,-54.334932,-40.469026,-41.686963,-39.623349,-44.570995,-42.902513,-52.203315,-50.693657,-54.257583,-49.547429,-46.283841,-37.666715,-48.943779,-46.945813,-46.139174,-46.638930,-61.756822,-55.074308,-59.792471,-63.590631,-52.421938,-55.031393,-59.472374,-60.389734,-66.121981,-57.380183,-53.538716,-55.161254,-52.047188,-52.769217,0,Fileset 1: TS pulse compressed wideband pings T2
161.000,-55.865545,-53.348175,-52.538043,-41.512375,-45.345406,-45.422996,-44.736523,-56.875446,-46.696804,-51.281862,-48.154305,-49.840003,-59.372638,-62.012519,-64.630853,-62.374618,-58.665575,-74.666329,-44.002136,-47.108544,-53.846267,-52.619832,-44.660439,-41.532410,-43.773513,-43.352342,-44.391267,-41.737626,-55.869220,-53.488254,-50.038050,-61.872462,-48.129345,-50.345177,-46.690081,-50.617613,-76.708417,-82.880016,-62.007685,-58.558743,-53.572527,-58.231223,-57.643880,-53.387412,-52.763744,-53.176081,-52.170545,-49.575676,-54.269155,-55.948772,-52.082693,-48.895136,-47.262226,-52.528476,-66.536031,-72.028702,-62.946986,-60.403567,-57.526538,-56.961229,-64.928020,-59.366187,-54.285612,-43.811208,-48.571002,-47.537944,-44.857220,-46.268682,-48.156426,-46.626622,-46.466904,-45.155882,-56.211732,-45.842797,-43.492643,-50.057899,-43.964607,-46.234575,-46.193662,-40.947535,-38.228865,-42.011343,-41.176581,-45.256061,-51.262997,-53.653691,-40.542001,-42.371486,-38.369188,-42.723519,-42.984293,-50.908819,-59.075910,-57.109641,-47.618995,-46.223949,-38.411709,-48.468963,-46.301572,-47.357238,-46.755281,-64.303472,-54.064041,-56.450063,-59.588596,-52.343999,-53.006263,-58.787525,-60.656157,-65.845514,-55.492019,-52.724218,-56.000327,-51.573601,-51.734511,0,Fileset 1: TS pulse compressed wideband pings T2
