Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,Variable_index,Variable_name
Ping_index,1103,1109,1110,1111,1112,1119,1120,1121,1122,1123,1128,1132,1133,1134,1138,1139,1141,1142,1143,1144,1153,1155,1156,1162,1166,1167,1168,1172,1173,1174,1175,1176,1177,1178,1179,1180,1185,1186,1187,1188,1189,1190,1191,1193,1194,1195,1196,1203,1204,1205,1206,1207,1208,1209,1210,1211,1231,1232,1233,1234,1237,1239,1240,1241,1242,1243,1244,1249,1250,1251,1252,1264,1268,1269,1270,1276,1277,1283,1284,1285,1286,1287,1288,1962,1963,1964,1965,1966,1967,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2044,2045,2046,2050,2051,2055,2056,2057,2058,2059,2060,2062,2066,2067,2069,
Ping_date,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,
Ping_time,15:27:58,15:27:58,15:27:59,15:27:59,15:27:59,15:28:00,15:28:00,15:28:00,15:28:00,15:28:01,15:28:01,15:28:02,15:28:02,15:28:02,15:28:03,15:28:03,15:28:03,15:28:04,15:28:04,15:28:04,15:28:05,15:28:06,15:28:06,15:28:07,15:28:07,15:28:07,15:28:08,15:28:08,15:28:08,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:10,15:28:10,15:28:11,15:28:11,15:28:11,15:28:11,15:28:11,15:28:12,15:28:12,15:28:12,15:28:12,15:28:13,15:28:13,15:28:13,15:28:14,15:28:14,15:28:14,15:28:14,15:28:14,15:28:14,15:28:17,15:28:18,15:28:18,15:28:18,15:28:18,15:28:19,15:28:19,15:28:19,15:28:19,15:28:19,15:28:19,15:28:20,15:28:20,15:28:20,15:28:21,15:28:23,15:28:23,15:28:23,15:28:23,15:28:24,15:28:25,15:28:25,15:28:26,15:28:26,15:28:26,15:28:26,15:28:26,15:30:11,15:30:11,15:30:11,15:30:11,15:30:12,15:30:12,15:30:12,15:30:13,15:30:13,15:30:13,15:30:13,15:30:13,15:30:13,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:15,15:30:15,15:30:15,15:30:15,15:30:15,15:30:15,15:30:16,15:30:16,15:30:16,15:30:16,15:30:16,15:30:16,15:30:17,15:30:17,15:30:17,15:30:17,15:30:17,15:30:18,15:30:18,15:30:18,15:30:18,15:30:18,15:30:18,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:20,15:30:20,15:30:20,15:30:20,15:30:20,15:30:20,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:22,15:30:22,15:30:22,15:30:22,15:30:22,15:30:22,15:30:23,15:30:23,15:30:23,15:30:23,15:30:23,15:30:23,15:30:24,15:30:24,15:30:24,15:30:25,15:30:25,15:30:25,15:30:25,15:30:26,15:30:26,15:30:26,15:30:26,15:30:26,15:30:27,15:30:27,15:30:28,
Ping_milliseconds,059.0,974.0,130.0,293.0,449.0,534.0,689.0,841.0,998.0,158.0,970.0,585.0,747.0,899.0,508.0,661.0,971.0,124.0,279.0,431.0,808.0,115.0,267.0,183.0,807.0,967.0,118.0,724.0,891.0,045.0,195.0,358.0,510.0,675.0,826.0,979.0,764.0,931.0,085.0,239.0,393.0,546.0,699.0,012.0,170.0,327.0,491.0,560.0,713.0,865.0,016.0,169.0,322.0,492.0,645.0,807.0,899.0,053.0,206.0,361.0,818.0,124.0,278.0,446.0,598.0,751.0,904.0,676.0,828.0,980.0,135.0,022.0,634.0,787.0,939.0,854.0,006.0,993.0,144.0,295.0,447.0,600.0,751.0,399.0,557.0,711.0,863.0,018.0,173.0,962.0,121.0,274.0,436.0,589.0,742.0,897.0,053.0,209.0,363.0,516.0,671.0,826.0,977.0,133.0,286.0,439.0,597.0,750.0,911.0,063.0,216.0,383.0,539.0,691.0,843.0,018.0,171.0,325.0,476.0,781.0,087.0,241.0,393.0,554.0,705.0,859.0,013.0,167.0,319.0,480.0,633.0,801.0,954.0,106.0,263.0,414.0,578.0,741.0,894.0,057.0,211.0,365.0,522.0,673.0,826.0,987.0,140.0,292.0,444.0,596.0,750.0,905.0,055.0,207.0,359.0,512.0,671.0,821.0,128.0,278.0,429.0,050.0,204.0,823.0,981.0,133.0,285.0,438.0,590.0,909.0,538.0,689.0,003.0,
Range,11.9045952000,11.8811840000,11.8694784000,11.8694784000,11.8694784000,11.8928896000,11.8928896000,11.8928896000,11.8811840000,11.8811840000,11.8694784000,11.9280064000,11.9397120000,11.9397120000,12.0918848000,11.9397120000,11.9631232000,11.9631232000,11.9514176000,11.9280064000,11.9631232000,11.9631232000,11.9397120000,11.9163008000,11.9397120000,11.9397120000,11.9514176000,11.9631232000,11.9397120000,11.9163008000,11.9045952000,11.8928896000,12.0684736000,11.9397120000,11.9748288000,11.9631232000,11.9045952000,11.9045952000,11.9280064000,11.9280064000,11.9280064000,11.9280064000,11.9045952000,11.8694784000,11.8577728000,11.8577728000,12.0450624000,11.8928896000,11.8811840000,11.8811840000,11.8811840000,11.8928896000,11.9045952000,11.9045952000,11.9045952000,11.8928896000,11.9045952000,11.9163008000,11.9045952000,11.8928896000,11.9045952000,11.9163008000,11.9163008000,12.0801792000,11.9163008000,11.9163008000,11.9163008000,11.9514176000,11.9514176000,11.9514176000,11.9514176000,11.9748288000,11.9748288000,12.1621184000,11.9748288000,11.9748288000,11.9982400000,11.9631232000,11.9631232000,11.9631232000,11.9748288000,11.9865344000,11.9865344000,12.7591040000,12.7473984000,12.7473984000,12.7239872000,12.7005760000,12.6654592000,12.5484032000,12.5249920000,12.5249920000,12.5015808000,12.4898752000,12.4781696000,12.4664640000,12.4547584000,12.4313472000,12.4079360000,12.3845248000,12.3611136000,12.3494080000,12.3259968000,12.3142912000,12.3142912000,12.3025856000,12.3025856000,12.3025856000,12.2908800000,12.2791744000,12.2557632000,12.2323520000,12.2089408000,12.1972352000,12.1855296000,12.1738240000,12.1738240000,12.1738240000,12.1621184000,12.1387072000,12.2557632000,12.1152960000,12.0918848000,12.0801792000,12.0684736000,12.1855296000,12.0684736000,12.0801792000,12.0801792000,12.0801792000,12.0801792000,12.0684736000,12.0567680000,12.0450624000,12.0216512000,12.0216512000,12.0099456000,12.0216512000,12.0216512000,12.0216512000,12.0099456000,11.9982400000,11.9865344000,11.9748288000,11.9631232000,11.9748288000,11.9865344000,11.9982400000,12.0099456000,12.0099456000,12.0099456000,11.9982400000,11.9982400000,11.9865344000,11.9748288000,11.9514176000,11.9280064000,11.9280064000,11.9280064000,11.9397120000,11.9280064000,11.9865344000,11.9748288000,11.9514176000,11.9397120000,11.9397120000,11.9514176000,11.9514176000,11.9748288000,11.9865344000,11.9982400000,11.9982400000,11.9982400000,
Depth,11.8672200274,11.8462968506,11.8400160018,11.8404661911,11.8338824781,11.8646622142,11.8713996243,11.8715629736,11.8534638863,11.8440797376,11.8333878117,11.9047817010,11.9120816654,11.9040224934,12.0644184137,11.9211129481,11.9506469676,11.9487037789,11.9294726467,11.8908954961,11.9408866074,11.9409077484,11.9120916473,11.8794560321,11.9132344704,11.9086550204,11.9132339610,11.9234256092,11.9048898406,11.8811994009,11.8712302251,11.8603732493,12.0436742026,11.9109304557,11.9422768420,11.9270720100,11.8705983525,11.8754556356,11.9032740248,11.9051529048,11.9017971763,11.8974022083,11.8673329949,11.8303541224,11.8229990155,11.8233444905,12.0181767978,11.8615354327,11.8484623078,11.8421854172,11.8451059470,11.8562808875,11.8707106225,11.8751329137,11.8684766106,11.8566793539,11.8804583792,11.8921348182,11.8727757717,11.8597797379,11.8662958397,11.8864939222,11.8818097496,12.0492111342,11.8779929336,11.8776426772,11.8764291722,11.9156403551,11.9189181393,11.9192187153,11.9155755024,11.9356877571,11.9394511804,12.1296337470,11.9355301438,11.9373582434,11.9633913953,11.9236415206,11.9266842799,11.9324494656,11.9441724820,11.9540542131,11.9552134583,12.7265199795,12.7263435358,12.7318420121,12.7081582006,12.6773664607,12.6260315645,12.5063725086,12.4937595762,12.4991211751,12.4778028680,12.4663493577,12.4555265382,12.4429826085,12.4307836201,12.4046648089,12.3769213548,12.3467897205,12.3214475662,12.3100949693,12.2909188373,12.2853271002,12.2903593658,12.2828988759,12.2873815028,12.2904622983,12.2810419137,12.2696079081,12.2438446665,12.2137699686,12.1857340652,12.1738250535,12.1626905296,12.1530118026,12.1548469122,12.1572439978,12.1481291782,12.1248354334,12.2488171011,12.1002172837,12.0764115509,12.0654267641,12.0534025654,12.1752347769,12.0498223389,12.0589723894,12.0606495477,12.0646694945,12.0681177452,12.0583631406,12.0471097417,12.0320364116,12.0025281236,11.9984422857,11.9876845162,12.0029453328,12.0041911537,12.0043259300,11.9938956965,11.9839450913,11.9686491368,11.9484903337,11.9325927766,11.9432100700,11.9575426718,11.9665210545,11.9746951824,11.9695454529,11.9707811158,11.9615705637,11.9641524963,11.9534476036,11.9461168870,11.9272402739,11.9074074216,11.9016695963,11.8969623568,11.9113037800,11.8941241764,11.9530636072,11.9352478599,11.9122477314,11.9010049505,11.9045383921,11.9205552479,11.9229842657,11.9425031412,11.9495549398,11.9590975782,11.9584592506,11.9588911794,
Region_name,"Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
45.000,-52.683818,-55.898512,-56.497516,-53.712631,-48.270822,-54.171943,-56.079277,-55.264429,-55.137525,-53.014836,-49.609396,-58.113937,-54.967519,-54.923498,-54.488660,-47.855757,-47.047285,-45.806712,-45.026400,-52.910120,-64.454102,-56.845194,-50.060710,-49.746672,-55.480066,-54.605074,-53.374758,-55.035960,-54.258283,-54.744491,-47.984334,-44.383141,-47.089715,-46.915644,-57.446853,-53.476074,-54.702169,-51.800720,-53.978788,-46.131896,-45.017626,-47.043312,-57.589450,-52.142803,-50.909992,-54.539718,-56.532351,-57.771233,-56.522162,-55.045609,-43.389211,-47.838149,-47.316076,-43.119331,-52.956181,-50.022161,-49.538471,-56.061399,-65.907765,-50.323806,-48.551519,-47.142351,-53.738980,-57.194117,-57.645545,-56.051685,-55.727899,-58.454563,-56.142227,-54.210730,-50.229060,-52.938224,-46.034640,-46.163940,-48.013355,-58.480458,-56.231195,-49.148448,-48.160936,-48.117973,-45.998801,-49.325132,-51.055268,-46.461374,-54.737657,-57.307666,-50.842149,-50.500261,-46.602894,-44.573716,-50.527751,-60.159455,-46.664590,-42.035457,-41.823207,-44.702259,-45.702584,-47.540303,-44.496098,-41.825154,-42.106393,-44.705749,-47.790773,-45.277490,-42.647278,-41.844876,-46.063341,-52.392673,-56.008035,-55.518610,-56.405487,-54.241777,-46.461326,-44.530654,-43.287588,-48.540627,-53.838164,-61.378218,-60.939424,-49.483889,-55.383496,-48.529530,-44.944051,-52.415548,-50.389695,-47.739878,-52.500903,-53.369330,-45.775461,-47.223831,-49.213468,-48.746572,-45.157810,-50.785071,-60.139929,-51.912445,-48.079278,-56.598118,-59.760537,-50.501212,-45.110384,-43.853587,-43.580006,-43.615586,-44.395091,-44.564433,-45.595818,-45.054204,-46.411131,-46.538886,-50.421405,-53.648747,-63.744529,-60.447486,-76.027616,-54.714190,-44.739937,-48.909422,-63.345785,-57.714729,-50.198510,-49.728975,-46.775364,-43.720227,-49.399165,-51.007555,-46.368429,-55.400940,-57.522028,-50.930441,-56.929777,-48.231321,-43.048613,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-52.886707,-56.408920,-58.771661,-49.631110,-51.002518,-55.248819,-56.485931,-57.033775,-57.728641,-54.920268,-49.521216,-58.366362,-54.721738,-54.141113,-54.926118,-47.110247,-48.493578,-46.119519,-46.104650,-53.248692,-62.399563,-56.262909,-48.909852,-49.092889,-54.468981,-53.800249,-52.837679,-54.039624,-54.125682,-51.736148,-50.623180,-46.083148,-46.078734,-48.222708,-55.956570,-54.628969,-56.557326,-50.752975,-54.011209,-47.749071,-47.009324,-49.143949,-57.461860,-50.155220,-51.383452,-55.755344,-56.491981,-56.063651,-55.141130,-56.180329,-43.234733,-45.223474,-45.246724,-42.943032,-52.779409,-50.984362,-50.163633,-58.088128,-60.969845,-50.365857,-48.834554,-48.082901,-52.907333,-63.061263,-60.634253,-58.472821,-58.290419,-54.662291,-54.078922,-53.624394,-51.413676,-52.137740,-44.339105,-44.895782,-45.180679,-58.201743,-57.223893,-50.501925,-48.394613,-47.036643,-46.331821,-48.806726,-51.163026,-55.474555,-59.250551,-56.104900,-53.754631,-53.982711,-51.209128,-50.660659,-56.575731,-48.726175,-43.754958,-41.406267,-42.832643,-46.561279,-48.501417,-50.588183,-46.705901,-42.478446,-41.487662,-43.341653,-44.686432,-43.060104,-42.373698,-42.798191,-48.660390,-54.305061,-49.978407,-49.196968,-50.477210,-59.263856,-49.346263,-45.454394,-44.491798,-50.355174,-55.265914,-52.934066,-62.889803,-47.407186,-55.007199,-50.569833,-46.944443,-51.090142,-49.187875,-48.936657,-56.736922,-49.268827,-45.776276,-49.254148,-52.770921,-52.021837,-45.981171,-48.211855,-52.168039,-58.558246,-49.793639,-57.235498,-51.797812,-47.996091,-45.005476,-44.651860,-44.175568,-43.888287,-44.846199,-44.709733,-45.485881,-45.082863,-46.157069,-46.075047,-48.275080,-49.263152,-54.047832,-58.306531,-55.709059,-50.853307,-44.507437,-52.799788,-60.507536,-55.791373,-50.431747,-53.943301,-46.016347,-44.661684,-55.698361,-47.445131,-49.045373,-65.977988,-53.812695,-50.638205,-66.457709,-46.508690,-43.562562,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-53.104745,-55.876396,-63.262983,-47.691507,-55.578526,-55.645993,-55.774003,-59.056898,-62.876266,-57.283481,-50.077531,-55.838936,-53.756269,-53.169612,-54.841380,-47.185534,-50.594243,-46.978535,-47.726393,-51.569474,-61.028499,-54.938699,-48.423649,-49.033710,-52.763950,-52.537156,-52.053309,-53.666639,-53.852960,-50.404628,-55.223595,-48.581869,-46.051189,-49.342859,-54.263735,-55.948083,-59.687714,-49.952863,-51.311289,-49.267933,-49.360109,-51.100497,-52.688945,-48.949506,-52.097560,-58.578639,-55.986369,-54.541762,-55.098643,-54.251369,-43.809332,-43.417302,-43.567858,-43.255970,-51.387660,-51.491986,-51.033600,-58.840790,-59.655743,-50.553468,-48.685033,-49.017964,-52.399340,-60.435550,-61.928535,-60.085535,-59.975364,-52.674472,-52.787226,-52.788051,-52.521042,-51.629861,-43.458576,-42.828601,-43.383758,-58.802687,-57.202670,-52.275331,-49.463995,-47.289843,-47.619182,-48.646480,-51.030283,-57.896425,-50.269370,-48.233976,-51.041936,-51.463870,-54.863324,-74.569650,-52.632703,-44.975848,-42.105563,-41.298837,-44.122752,-48.502914,-51.896882,-53.059465,-49.601235,-43.668786,-41.404226,-42.524093,-42.888619,-41.851647,-42.351815,-44.469865,-51.963667,-50.972874,-46.650561,-46.142708,-47.247797,-52.703233,-53.294739,-47.138899,-46.543551,-51.476636,-52.682414,-49.367146,-53.928147,-45.200517,-53.652954,-53.702072,-50.758790,-50.431828,-48.752760,-51.048574,-52.837461,-47.305160,-46.423300,-52.272007,-58.562300,-57.236328,-47.532901,-46.983936,-47.641037,-54.716955,-51.927487,-51.056515,-48.312465,-46.758777,-45.534333,-46.153930,-45.560546,-44.957218,-46.083675,-45.612391,-46.124628,-45.748600,-46.633876,-46.252148,-47.293575,-46.753787,-49.355589,-51.025227,-50.013623,-47.582767,-44.961079,-59.241261,-57.237065,-54.357496,-51.114437,-61.716778,-45.871829,-46.356124,-64.058170,-45.351343,-53.304221,-58.904597,-52.042359,-50.920017,-65.359390,-45.827834,-44.655186,0,Fileset 1: TS pulse compressed wideband pings T1
