Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,Variable_index,Variable_name
Ping_index,1103,1109,1110,1111,1112,1119,1120,1121,1122,1123,1128,1132,1133,1134,1138,1139,1141,1142,1143,1144,1153,1155,1156,1162,1166,1167,1168,1172,1173,1174,1175,1176,1177,1178,1179,1180,1185,1186,1187,1188,1189,1190,1191,1193,1194,1195,1196,1203,1204,1205,1206,1207,1208,1209,1210,1211,1231,1232,1233,1234,1237,1239,1240,1241,1242,1243,1244,1249,1250,1251,1252,1264,1268,1269,1270,1276,1277,1283,1284,1285,1286,1287,1288,1962,1963,1964,1965,1966,1967,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2044,2045,2046,2050,2051,2055,2056,2057,2058,2059,2060,2062,2066,2067,2069,
Ping_date,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,2022-07-24,
Ping_time,15:27:58,15:27:58,15:27:59,15:27:59,15:27:59,15:28:00,15:28:00,15:28:00,15:28:00,15:28:01,15:28:01,15:28:02,15:28:02,15:28:02,15:28:03,15:28:03,15:28:03,15:28:04,15:28:04,15:28:04,15:28:05,15:28:06,15:28:06,15:28:07,15:28:07,15:28:07,15:28:08,15:28:08,15:28:08,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:09,15:28:10,15:28:10,15:28:11,15:28:11,15:28:11,15:28:11,15:28:11,15:28:12,15:28:12,15:28:12,15:28:12,15:28:13,15:28:13,15:28:13,15:28:14,15:28:14,15:28:14,15:28:14,15:28:14,15:28:14,15:28:17,15:28:18,15:28:18,15:28:18,15:28:18,15:28:19,15:28:19,15:28:19,15:28:19,15:28:19,15:28:19,15:28:20,15:28:20,15:28:20,15:28:21,15:28:23,15:28:23,15:28:23,15:28:23,15:28:24,15:28:25,15:28:25,15:28:26,15:28:26,15:28:26,15:28:26,15:28:26,15:30:11,15:30:11,15:30:11,15:30:11,15:30:12,15:30:12,15:30:12,15:30:13,15:30:13,15:30:13,15:30:13,15:30:13,15:30:13,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:14,15:30:15,15:30:15,15:30:15,15:30:15,15:30:15,15:30:15,15:30:16,15:30:16,15:30:16,15:30:16,15:30:16,15:30:16,15:30:17,15:30:17,15:30:17,15:30:17,15:30:17,15:30:18,15:30:18,15:30:18,15:30:18,15:30:18,15:30:18,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:19,15:30:20,15:30:20,15:30:20,15:30:20,15:30:20,15:30:20,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:21,15:30:22,15:30:22,15:30:22,15:30:22,15:30:22,15:30:22,15:30:23,15:30:23,15:30:23,15:30:23,15:30:23,15:30:23,15:30:24,15:30:24,15:30:24,15:30:25,15:30:25,15:30:25,15:30:25,15:30:26,15:30:26,15:30:26,15:30:26,15:30:26,15:30:27,15:30:27,15:30:28,
Ping_milliseconds,059.0,974.0,130.0,293.0,449.0,534.0,689.0,841.0,998.0,158.0,970.0,585.0,747.0,899.0,508.0,661.0,971.0,124.0,279.0,431.0,808.0,115.0,267.0,183.0,807.0,967.0,118.0,724.0,891.0,045.0,195.0,358.0,510.0,675.0,826.0,979.0,764.0,931.0,085.0,239.0,393.0,546.0,699.0,012.0,170.0,327.0,491.0,560.0,713.0,865.0,016.0,169.0,322.0,492.0,645.0,807.0,899.0,053.0,206.0,361.0,818.0,124.0,278.0,446.0,598.0,751.0,904.0,676.0,828.0,980.0,135.0,022.0,634.0,787.0,939.0,854.0,006.0,993.0,144.0,295.0,447.0,600.0,751.0,399.0,557.0,711.0,863.0,018.0,173.0,962.0,121.0,274.0,436.0,589.0,742.0,897.0,053.0,209.0,363.0,516.0,671.0,826.0,977.0,133.0,286.0,439.0,597.0,750.0,911.0,063.0,216.0,383.0,539.0,691.0,843.0,018.0,171.0,325.0,476.0,781.0,087.0,241.0,393.0,554.0,705.0,859.0,013.0,167.0,319.0,480.0,633.0,801.0,954.0,106.0,263.0,414.0,578.0,741.0,894.0,057.0,211.0,365.0,522.0,673.0,826.0,987.0,140.0,292.0,444.0,596.0,750.0,905.0,055.0,207.0,359.0,512.0,671.0,821.0,128.0,278.0,429.0,050.0,204.0,823.0,981.0,133.0,285.0,438.0,590.0,909.0,538.0,689.0,003.0,
Range,11.9045952000,11.8811840000,11.8694784000,11.8694784000,11.8694784000,11.8928896000,11.8928896000,11.8928896000,11.8811840000,11.8811840000,11.8694784000,11.9280064000,11.9397120000,11.9397120000,12.0918848000,11.9397120000,11.9631232000,11.9631232000,11.9514176000,11.9280064000,11.9631232000,11.9631232000,11.9397120000,11.9163008000,11.9397120000,11.9397120000,11.9514176000,11.9631232000,11.9397120000,11.9163008000,11.9045952000,11.8928896000,12.0684736000,11.9397120000,11.9748288000,11.9631232000,11.9045952000,11.9045952000,11.9280064000,11.9280064000,11.9280064000,11.9280064000,11.9045952000,11.8694784000,11.8577728000,11.8577728000,12.0450624000,11.8928896000,11.8811840000,11.8811840000,11.8811840000,11.8928896000,11.9045952000,11.9045952000,11.9045952000,11.8928896000,11.9045952000,11.9163008000,11.9045952000,11.8928896000,11.9045952000,11.9163008000,11.9163008000,12.0801792000,11.9163008000,11.9163008000,11.9163008000,11.9514176000,11.9514176000,11.9514176000,11.9514176000,11.9748288000,11.9748288000,12.1621184000,11.9748288000,11.9748288000,11.9982400000,11.9631232000,11.9631232000,11.9631232000,11.9748288000,11.9865344000,11.9865344000,12.7591040000,12.7473984000,12.7473984000,12.7239872000,12.7005760000,12.6654592000,12.5484032000,12.5249920000,12.5249920000,12.5015808000,12.4898752000,12.4781696000,12.4664640000,12.4547584000,12.4313472000,12.4079360000,12.3845248000,12.3611136000,12.3494080000,12.3259968000,12.3142912000,12.3142912000,12.3025856000,12.3025856000,12.3025856000,12.2908800000,12.2791744000,12.2557632000,12.2323520000,12.2089408000,12.1972352000,12.1855296000,12.1738240000,12.1738240000,12.1738240000,12.1621184000,12.1387072000,12.2557632000,12.1152960000,12.0918848000,12.0801792000,12.0684736000,12.1855296000,12.0684736000,12.0801792000,12.0801792000,12.0801792000,12.0801792000,12.0684736000,12.0567680000,12.0450624000,12.0216512000,12.0216512000,12.0099456000,12.0216512000,12.0216512000,12.0216512000,12.0099456000,11.9982400000,11.9865344000,11.9748288000,11.9631232000,11.9748288000,11.9865344000,11.9982400000,12.0099456000,12.0099456000,12.0099456000,11.9982400000,11.9982400000,11.9865344000,11.9748288000,11.9514176000,11.9280064000,11.9280064000,11.9280064000,11.9397120000,11.9280064000,11.9865344000,11.9748288000,11.9514176000,11.9397120000,11.9397120000,11.9514176000,11.9514176000,11.9748288000,11.9865344000,11.9982400000,11.9982400000,11.9982400000,
Depth,11.8672200274,11.8462968506,11.8400160018,11.8404661911,11.8338824781,11.8646622142,11.8713996243,11.8715629736,11.8534638863,11.8440797376,11.8333878117,11.9047817010,11.9120816654,11.9040224934,12.0644184137,11.9211129481,11.9506469676,11.9487037789,11.9294726467,11.8908954961,11.9408866074,11.9409077484,11.9120916473,11.8794560321,11.9132344704,11.9086550204,11.9132339610,11.9234256092,11.9048898406,11.8811994009,11.8712302251,11.8603732493,12.0436742026,11.9109304557,11.9422768420,11.9270720100,11.8705983525,11.8754556356,11.9032740248,11.9051529048,11.9017971763,11.8974022083,11.8673329949,11.8303541224,11.8229990155,11.8233444905,12.0181767978,11.8615354327,11.8484623078,11.8421854172,11.8451059470,11.8562808875,11.8707106225,11.8751329137,11.8684766106,11.8566793539,11.8804583792,11.8921348182,11.8727757717,11.8597797379,11.8662958397,11.8864939222,11.8818097496,12.0492111342,11.8779929336,11.8776426772,11.8764291722,11.9156403551,11.9189181393,11.9192187153,11.9155755024,11.9356877571,11.9394511804,12.1296337470,11.9355301438,11.9373582434,11.9633913953,11.9236415206,11.9266842799,11.9324494656,11.9441724820,11.9540542131,11.9552134583,12.7265199795,12.7263435358,12.7318420121,12.7081582006,12.6773664607,12.6260315645,12.5063725086,12.4937595762,12.4991211751,12.4778028680,12.4663493577,12.4555265382,12.4429826085,12.4307836201,12.4046648089,12.3769213548,12.3467897205,12.3214475662,12.3100949693,12.2909188373,12.2853271002,12.2903593658,12.2828988759,12.2873815028,12.2904622983,12.2810419137,12.2696079081,12.2438446665,12.2137699686,12.1857340652,12.1738250535,12.1626905296,12.1530118026,12.1548469122,12.1572439978,12.1481291782,12.1248354334,12.2488171011,12.1002172837,12.0764115509,12.0654267641,12.0534025654,12.1752347769,12.0498223389,12.0589723894,12.0606495477,12.0646694945,12.0681177452,12.0583631406,12.0471097417,12.0320364116,12.0025281236,11.9984422857,11.9876845162,12.0029453328,12.0041911537,12.0043259300,11.9938956965,11.9839450913,11.9686491368,11.9484903337,11.9325927766,11.9432100700,11.9575426718,11.9665210545,11.9746951824,11.9695454529,11.9707811158,11.9615705637,11.9641524963,11.9534476036,11.9461168870,11.9272402739,11.9074074216,11.9016695963,11.8969623568,11.9113037800,11.8941241764,11.9530636072,11.9352478599,11.9122477314,11.9010049505,11.9045383921,11.9205552479,11.9229842657,11.9425031412,11.9495549398,11.9590975782,11.9584592506,11.9588911794,
Region_name,"Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
45.000,-57.337213,-60.248531,-60.180841,-57.340040,-52.720999,-57.692861,-58.760671,-57.925531,-58.599647,-57.633535,-54.100881,-61.003270,-58.399136,-59.340172,-57.856929,-50.169314,-48.594666,-47.595371,-47.751671,-57.504824,-67.212358,-59.600832,-53.491687,-54.310167,-58.770820,-58.458136,-58.085651,-59.923859,-58.570527,-59.105651,-52.133638,-48.434737,-50.138752,-50.489136,-61.469098,-57.926652,-58.925012,-55.427583,-57.055890,-48.980735,-48.281957,-50.846079,-62.207761,-56.998954,-55.242780,-58.832489,-59.842098,-61.680115,-60.600853,-59.882914,-47.872913,-52.381102,-51.523614,-46.786357,-57.434851,-54.516330,-52.562006,-59.081315,-69.872121,-54.456499,-53.302920,-50.868816,-58.024192,-60.991865,-62.386959,-60.835082,-60.655347,-62.885483,-60.179850,-58.217117,-54.668769,-57.754701,-50.404661,-50.120277,-52.848760,-63.098307,-60.523996,-54.012815,-52.666670,-51.916982,-49.790526,-53.334536,-54.924174,-50.244211,-57.194953,-59.128798,-52.704361,-53.235274,-51.213592,-49.526601,-54.251555,-63.264134,-49.531706,-44.881358,-44.580357,-47.576055,-48.653553,-50.816485,-48.274300,-46.388791,-46.907414,-49.473962,-52.073648,-48.846673,-45.632409,-44.340719,-48.011930,-53.955059,-57.285189,-56.760012,-57.954414,-56.654203,-49.461101,-47.538879,-46.227782,-51.257885,-56.338263,-63.567011,-62.786219,-51.316649,-56.287672,-50.526267,-46.999366,-54.378015,-52.394577,-49.096604,-54.984451,-56.184500,-48.354987,-49.255438,-50.774951,-50.050866,-46.408663,-52.491675,-62.667342,-54.994288,-51.031738,-59.067068,-62.029996,-52.709431,-47.160961,-45.710713,-45.955873,-47.149427,-48.495418,-48.774760,-49.361955,-49.037234,-50.765726,-51.494588,-55.227740,-58.160465,-67.946166,-64.536462,-79.602628,-57.781296,-47.438765,-52.429779,-67.515167,-61.506101,-54.598373,-53.857739,-51.644910,-48.588518,-54.230662,-55.420678,-50.236089,-58.962736,-61.538516,-55.509939,-61.762158,-53.121876,-47.881514,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-57.441915,-60.665882,-62.378492,-53.183419,-55.360331,-58.695754,-59.111603,-59.639071,-61.118870,-59.437690,-53.909961,-61.195814,-58.079533,-58.456825,-58.215948,-49.373438,-50.008931,-47.870998,-48.770973,-57.738735,-65.100228,-58.961409,-52.267810,-53.549232,-57.691427,-57.568718,-57.435464,-58.806082,-58.340633,-56.002821,-54.681547,-50.047913,-49.063907,-51.718793,-59.887340,-58.976112,-60.684127,-54.299156,-57.017660,-50.529337,-50.192629,-52.851068,-61.963892,-54.892909,-55.615158,-59.950892,-59.728134,-59.871418,-59.114758,-60.895120,-47.605688,-49.653426,-49.351146,-46.521757,-57.150674,-55.370949,-53.107871,-61.031009,-64.830006,-54.385964,-53.459105,-51.706361,-57.079507,-66.765313,-65.254192,-63.133839,-63.096357,-58.974583,-58.007225,-57.520038,-55.733989,-56.836577,-48.594844,-48.751812,-49.896330,-62.711889,-61.409334,-55.251832,-52.801451,-50.752778,-50.039141,-52.724591,-54.937475,-59.164968,-61.650286,-57.882543,-55.569803,-56.643792,-55.692386,-55.475220,-60.193431,-51.740030,-46.537095,-44.166136,-45.502932,-49.341344,-51.352915,-53.755560,-50.363965,-46.901168,-46.139906,-47.961121,-48.834200,-46.513780,-45.256937,-45.202854,-50.534704,-55.806617,-51.204461,-50.389029,-51.964554,-61.580981,-52.229859,-48.349290,-47.320925,-52.964528,-57.663480,-55.032431,-64.660572,-49.164832,-55.875315,-52.484617,-48.915028,-52.971549,-51.110246,-50.237493,-59.117900,-51.968562,-48.251949,-51.206963,-54.275741,-53.280377,-47.187413,-49.853366,-54.595341,-61.515607,-52.627790,-59.607207,-53.983987,-50.132172,-46.988841,-46.442331,-46.456615,-47.276313,-48.777346,-48.750091,-49.112431,-48.940962,-50.391332,-50.902854,-52.960278,-53.661888,-58.143797,-62.289289,-59.185445,-53.823923,-47.106365,-56.178342,-64.506310,-59.430177,-54.670397,-57.972618,-50.763949,-49.387535,-60.384425,-51.722846,-52.798222,-69.436621,-57.717203,-55.087615,-71.153481,-51.269721,-48.273689,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-57.564890,-60.043333,-66.795685,-51.171025,-59.846829,-59.021281,-58.345679,-61.608147,-66.196825,-61.703061,-54.367251,-58.610353,-57.042673,-57.388011,-58.055689,-49.400051,-52.078552,-48.693985,-50.335728,-55.958619,-63.673371,-57.581822,-51.710947,-53.386922,-55.920199,-56.223909,-56.542356,-58.316552,-57.974068,-54.579958,-59.194110,-52.462643,-48.974506,-52.764116,-58.106315,-60.195619,-63.721920,-53.421167,-54.249667,-51.982296,-52.465665,-54.715892,-57.079464,-53.573401,-56.231945,-62.680431,-59.151485,-58.252696,-58.971635,-58.848700,-48.072157,-47.738819,-47.573258,-46.749828,-55.655664,-55.775134,-53.901959,-61.709855,-63.416199,-54.466026,-53.188281,-52.543100,-56.463363,-64.049656,-66.432077,-64.629282,-64.664645,-56.873344,-56.611069,-56.577981,-56.727225,-56.215700,-47.604927,-46.588476,-47.984464,-63.209135,-61.285121,-56.915081,-53.775300,-50.925894,-51.245032,-52.476112,-54.714013,-61.498073,-52.613707,-49.969809,-52.812016,-54.054312,-59.224919,-79.252216,-56.149263,-47.903237,-44.806849,-43.976923,-46.710616,-51.194162,-54.654249,-56.123814,-53.145331,-47.957652,-45.915163,-47.002325,-46.908168,-45.195831,-45.138679,-46.788514,-53.768023,-52.417178,-47.828567,-47.288364,-48.677221,-54.930706,-56.068967,-49.927001,-49.268028,-53.984501,-54.983649,-51.380573,-55.627497,-46.887592,-54.487161,-55.539863,-52.649784,-52.237096,-50.597620,-52.296908,-55.122096,-49.896442,-48.801341,-54.150653,-60.013657,-58.451643,-48.697026,-48.564139,-49.974171,-57.557301,-54.650398,-53.336738,-50.420086,-48.826510,-47.454029,-47.881481,-47.752425,-48.208277,-49.855907,-49.492971,-49.619558,-49.488113,-50.753264,-50.957447,-51.862605,-51.044141,-53.350214,-54.906285,-53.395859,-50.461813,-47.465811,-62.486506,-61.075537,-57.852865,-55.201004,-65.650513,-50.502450,-50.946342,-68.605926,-49.500399,-56.947831,-62.264967,-55.840014,-55.245395,-69.924880,-50.464956,-49.249530,0,Fileset 1: TS pulse compressed wideband pings T1
