Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
2,"Region 2","070kHz_FishTracks",134,0.020224,75,108,0.000000,20220722, 16:07:09.9810,999.00000000,999.00000000,0.00091379387351,22,-28.780767,15.738179,0.6993,0.444813,4.198000,2.9357,0.020224,17.000000,15.704617,15.901197,15.427111,0.447254,1.050293,1.518517,1.251698,1.070517,1.538741,1.271922
9,"Region 9","070kHz_FishTracks",134,0.020224,411,636,0.000000,20220722, 16:08:04.3760,999.00000000,999.00000000,0.00083059771798,156,-31.139393,14.615567,1.3950,0.515046,28.212000,39.3563,0.020224,17.000000,14.593428,15.250467,14.018390,0.519161,1.705807,2.958306,2.378128,1.726031,2.978530,2.398351
11,"Region 11","070kHz_FishTracks",134,0.020224,687,755,0.000000,20220722, 16:08:29.1990,999.00000000,999.00000000,0.00031659854407,52,-40.081484,15.882473,1.2593,-0.210701,8.779000,11.0558,0.020224,17.000000,15.858810,16.138763,15.495508,-0.176881,0.816181,1.483400,1.064628,0.836405,1.503624,1.084852
12,"Region 12","070kHz_FishTracks",134,0.020224,763,1005,0.000000,20220722, 16:08:49.4660,999.00000000,999.00000000,0.00039913779745,208,-35.940398,15.208445,1.4591,-2.387942,29.726000,43.3721,0.020224,17.000000,15.191258,15.944872,12.979425,-2.410358,1.026882,4.000104,1.809086,1.047106,4.020328,1.829310
23,"Region 23","070kHz_FishTracks",134,0.020487,1013,1262,0.000000,20220722, 16:09:20.0940,999.00000000,999.00000000,0.00035769709826,108,-38.142302,13.205868,0.9118,0.374579,29.900000,27.2629,0.020487,17.000000,13.186331,13.631494,12.957390,0.359561,3.309474,4.023516,3.763357,3.329698,4.043739,3.783844
24,"Region 24","070kHz_FishTracks",134,0.020224,1332,1359,0.000000,20220722, 16:09:45.2030,999.00000000,999.00000000,0.00009381673943,28,-40.133345,14.759507,1.6020,0.561869,3.242000,5.1938,0.020224,17.000000,14.741618,15.020907,14.455332,0.565574,1.916508,2.490082,2.222107,1.936731,2.510306,2.242331
27,"Region 27","070kHz_FishTracks",134,0.020224,1406,1448,0.000000,20220722, 16:09:55.0760,999.00000000,999.00000000,0.00000260309750,19,-50.127564,14.911086,1.3865,-1.041798,5.072000,7.0323,0.020224,17.000000,14.882061,15.447137,14.387057,-1.042583,1.495106,2.583727,2.062419,1.515330,2.603951,2.082643
28,"Region 28","070kHz_FishTracks",134,0.020224,1573,1696,0.000000,20220722, 16:10:19.7700,999.00000000,999.00000000,0.00058316091979,117,-35.094860,15.489110,1.2702,-1.802662,14.669000,18.6330,0.020224,17.000000,15.470987,16.121439,14.175830,-1.794551,0.827887,2.771016,1.465512,0.848111,2.791240,1.485735
33,"Region 33","070kHz_FishTracks",134,0.020715,2772,2878,0.000000,20220722, 16:12:43.7530,999.00000000,999.00000000,0.00030191608900,32,-37.812972,13.123807,0.5148,0.023411,12.960000,6.6724,0.020715,17.000000,13.097573,13.341133,12.932281,0.019425,3.602114,4.023516,3.872178,3.622338,4.043739,3.892893
34,"Region 34","070kHz_FishTracks",134,0.020224,2934,3017,0.000000,20220722, 16:13:01.9060,999.00000000,999.00000000,0.00044900892701,78,-34.931763,14.609789,1.2146,1.732429,10.105000,12.2740,0.020224,17.000000,14.594044,15.541318,13.748235,1.742976,1.413167,3.215829,2.381805,1.433391,3.236053,2.402029
37,"Region 37","070kHz_FishTracks",134,0.020224,3024,3267,0.000000,20220722, 16:13:22.7590,999.00000000,999.00000000,0.00047006204290,203,-34.631759,14.667405,1.3516,-0.269229,29.646000,40.0687,0.020224,17.000000,14.646419,15.409924,14.086637,-0.294621,1.553634,2.864661,2.289360,1.573858,2.884885,2.309583
40,"Region 40","070kHz_FishTracks",134,0.020224,3275,3354,0.000000,20220722, 16:13:43.2080,999.00000000,999.00000000,0.00035333572479,60,-36.337108,15.564741,0.6818,0.760864,9.622000,6.5604,0.020224,17.000000,15.542659,15.928311,14.937683,0.753802,1.050293,2.021858,1.486766,1.070517,2.042082,1.506989
