Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Variable_index,Variable_name
Ping_index,328,329,330,331,332,333,335,336,337,338,339,340,341,343,344,345,
Ping_date,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,2022-07-26,
Ping_time,16:42:45,16:42:46,16:42:46,16:42:46,16:42:46,16:42:46,16:42:47,16:42:47,16:42:47,16:42:47,16:42:48,16:42:48,16:42:48,16:42:48,16:42:49,16:42:49,
Ping_milliseconds,915.0,116.0,316.0,516.0,717.0,915.0,316.0,516.0,716.0,915.0,116.0,315.0,515.0,917.0,115.0,315.0,
Range,16.0022179200,15.9557673600,15.9209294400,15.8744788800,15.9906052800,15.8048030400,15.9557673600,15.7931904000,15.7119019200,15.6770640000,15.6190008000,15.6073881600,15.5377123200,15.4564238400,15.7351272000,15.4331985600,
Depth,15.9827504354,15.9428189658,15.9174502324,15.8733024197,15.9868812496,15.8042923156,15.9553115536,15.7922410294,15.7074957797,15.6693662545,15.6075858567,15.5944036916,15.5193321286,15.4364306089,15.7255416308,15.4138106173,
45.000,-35.735151,-32.387784,-37.076145,-51.986591,-45.234539,-50.514348,-47.696081,-49.081842,-42.027169,-42.191068,-42.613381,-45.418669,-50.128236,-44.803398,-65.973900,-48.537301,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-35.151422,-31.234959,-38.193408,-60.840046,-47.290195,-46.155816,-44.752572,-46.359756,-41.468821,-40.209626,-42.959766,-64.431756,-48.805441,-43.812011,-62.777625,-47.794814,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-34.834757,-30.215251,-39.769323,-55.654089,-49.225869,-43.035546,-41.638869,-46.339556,-40.304311,-38.901374,-43.991408,-47.918695,-48.053029,-43.289552,-58.421249,-47.686198,0,Fileset 1: TS pulse compressed wideband pings T1
46.500,-34.805332,-29.584379,-41.847115,-50.251743,-53.211580,-40.952055,-39.872010,-48.318554,-39.159496,-38.218125,-44.824362,-42.878611,-48.083177,-43.385539,-55.943184,-48.564345,0,Fileset 1: TS pulse compressed wideband pings T1
47.000,-35.137900,-29.481318,-44.234396,-48.461348,-72.279049,-40.072902,-38.876995,-51.014696,-38.623681,-38.165860,-44.439560,-42.159599,-49.084120,-44.226374,-55.173944,-50.357543,0,Fileset 1: TS pulse compressed wideband pings T1
47.500,-35.862375,-29.844098,-45.989664,-47.768900,-54.190452,-40.269500,-38.356602,-53.439825,-38.794265,-38.674765,-43.259701,-44.755263,-50.700943,-45.994158,-54.973085,-52.276602,0,Fileset 1: TS pulse compressed wideband pings T1
48.000,-36.906305,-30.460006,-46.295108,-47.421711,-48.561892,-41.121428,-38.432825,-57.961095,-39.322452,-39.592885,-42.296038,-53.163230,-51.711824,-48.744372,-54.481230,-53.242573,0,Fileset 1: TS pulse compressed wideband pings T1
48.500,-38.168928,-31.104444,-45.995720,-47.717015,-46.537314,-42.167582,-39.058771,-62.123014,-39.839765,-40.782891,-42.000305,-55.144751,-51.275679,-51.742964,-54.236789,-52.876684,0,Fileset 1: TS pulse compressed wideband pings T1
49.000,-39.607786,-31.626203,-45.919779,-48.845776,-46.220511,-43.067331,-39.875504,-55.322312,-40.348990,-42.191095,-42.505542,-46.138157,-50.244011,-52.677851,-54.940936,-51.413564,0,Fileset 1: TS pulse compressed wideband pings T1
49.500,-41.250067,-31.968436,-46.228583,-50.502384,-46.914150,-43.620486,-40.544894,-51.587442,-41.128923,-43.865084,-43.970046,-43.506405,-49.573828,-51.669932,-56.976718,-49.399972,0,Fileset 1: TS pulse compressed wideband pings T1
50.000,-43.148685,-32.163928,-46.893109,-51.622693,-48.098202,-43.830123,-41.214207,-49.596645,-42.369320,-45.972864,-46.709669,-43.727274,-49.735904,-50.939941,-60.229479,-47.441906,0,Fileset 1: TS pulse compressed wideband pings T1
