Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
1,"Region 1","070kHz_FishTracks",352,0.020224,53,110,0.000000,20220727, 19:27:45.2000,999.00000000,999.00000000,0.00044222331159,47,-36.603376,15.374434,0.6910,-0.140467,11.299000,7.8081,0.020224,16.500000,15.348427,15.551415,15.077041,-0.144089,0.913167,1.381391,1.110245,0.933391,1.401615,1.130468
2,"Region 2","070kHz_FishTracks",352,0.020224,268,310,0.000000,20220727, 19:28:26.9000,999.00000000,999.00000000,0.00010668860246,38,-41.676131,15.536720,0.5981,0.269229,8.400000,5.0244,0.020224,16.500000,15.510372,15.723836,15.254520,0.261351,0.749288,1.182396,0.962439,0.769512,1.202619,0.982663
3,"Region 3","070kHz_FishTracks",352,0.020224,336,524,0.000000,20220727, 19:28:55.1000,999.00000000,999.00000000,0.00000775439292,137,-50.338031,15.633897,0.5003,-0.234112,37.601000,18.8123,0.020224,16.500000,15.618531,15.980890,15.160455,-0.224584,0.491765,1.276040,0.861390,0.511989,1.296264,0.881613
4,"Region 4","070kHz_FishTracks",352,0.020224,559,579,0.000000,20220727, 19:29:22.9010,999.00000000,999.00000000,0.00005604784223,15,-44.933320,15.288294,0.5000,-0.035117,4.000000,1.9998,0.020224,16.500000,15.248524,15.386598,15.169614,-0.036935,1.053634,1.264335,1.184068,1.073858,1.284559,1.204292
5,"Region 5","070kHz_FishTracks",352,0.020224,628,633,0.000000,20220727, 19:29:35.1000,999.00000000,999.00000000,0.00053051324566,6,-31.377194,14.694430,0.6850,0.222406,1.000000,0.6850,0.020224,16.500000,14.658873,14.772204,14.558135,0.214069,1.662325,1.884732,1.787185,1.682549,1.904955,1.807409
6,"Region 6","070kHz_FishTracks",352,0.020224,657,1017,0.000000,20220727, 19:30:16.8000,999.00000000,999.00000000,0.00000874225585,268,-49.209130,15.630339,0.5435,0.257523,72.300000,39.2931,0.020224,16.500000,15.615054,16.047875,15.226461,0.264559,0.421532,1.205807,0.843371,0.441755,1.226031,0.863595
7,"Region 7","070kHz_FishTracks",352,0.020224,1070,1285,0.000000,20220727, 19:31:24.8010,999.00000000,999.00000000,0.00018133693978,168,-43.671070,15.058070,0.5103,2.013363,43.000000,21.9420,0.020224,16.500000,15.030756,15.870674,13.489608,2.026172,0.573704,2.949941,1.480211,0.593928,2.970165,1.500435
8,"Region 8","070kHz_FishTracks",352,0.020224,1294,1426,0.000000,20220727, 19:32:01.4110,999.00000000,999.00000000,0.00000536933642,95,-50.742462,15.569187,0.4605,-0.831098,26.397000,12.1561,0.020224,16.500000,15.551269,15.902766,14.713634,-0.858313,0.561999,1.720853,0.929449,0.582223,1.741077,0.949673
9,"Region 9","070kHz_FishTracks",352,0.020224,1460,1486,0.000000,20220727, 19:32:23.9990,999.00000000,999.00000000,0.00002507168593,16,-46.658827,13.481925,0.3212,0.526752,5.200000,1.6701,0.020224,16.500000,13.442606,13.804106,13.278344,0.525762,2.633890,3.160642,2.949291,2.654114,3.180866,2.969515
10,"Region 10","070kHz_FishTracks",352,0.020224,1494,1585,0.000000,20220727, 19:32:37.2010,999.00000000,999.00000000,0.00034306700074,76,-38.683407,14.931263,0.4683,1.568550,18.200000,8.5230,0.020224,16.500000,14.907329,15.702384,14.083824,1.566713,0.737583,2.352956,1.568617,0.757807,2.373179,1.588840
