Region_ID,Region_name,Region_class,Process_ID,Ping_date,Ping_time,Target_range,TS_comp,TS_uncomp,Angle_minor_axis,Angle_major_axis,Distance_minor_axis,Distance_major_axis,PulseLengthDeterminationLevel,Samples_above_PLDL,StandDev_Angles_Minor_Axis,StandDev_Angles_Major_Axis,PulseLength_Normalized_6dB,PulseLength_Normalized_12dB,PulseLength_Normalized_18dB,PulseLength_Normalized_PLDL,Pulse_Start_Normalized_6dB,Pulse_Start_Normalized_12dB,Pulse_Start_Normalized_18dB,Pulse_Start_Normalized_PLDL,Target_on_axis_depth,Pulse_duration,Target_true_depth,Target_latitude,Target_longitude,Target_northing,Target_easting,Target_length,Target_length_manual,Target_perimeter,Target_area,Target_thickness,Target_compactness,Target_intensity_variation,Ping_number,Target_length_across_beams,Target_range_extent,Target_class,Target_orientation,Target_perimeter_edge_midpoints,Target_compactness_edge_midpoints,Target_area_edge_midpoints
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:39.7000,15.427981,-49.016707,-58.173414,-0.36781,4.3713,-0.098752,1.175880,6.000000,2,0.051256,0.001979,0.636689,0.636689,9.550338,0.636689,0.000000,0.000000,-5.093514,0.000000,15.427981,0.512000,15.382787,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,53,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:40.1000,15.439686,-46.924790,-56.358747,-0.088621,4.4482,-0.023809,1.197455,6.000000,2,0.107683,0.008966,0.636689,3.820135,3.820135,0.636689,-0.636689,-3.183446,-3.183446,-0.636689,15.439686,0.512000,15.393162,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,55,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:40.3020,15.439686,-52.790184,-62.735766,0.056958,4.5676,0.015300,1.229542,6.000000,2,0.207907,0.103891,0.636689,6.366892,7.003581,0.636689,0.000000,-2.546757,-2.546757,0.000000,15.439686,0.512000,15.390643,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,56,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:41.3000,15.427981,-41.576658,-47.005751,-0.54871,3.3356,-0.147498,0.897638,6.000000,2,0.049936,0.014012,0.636689,1.273378,1.273378,0.636689,0.000000,-0.636689,-0.636689,0.000000,15.427981,0.512000,15.401139,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,61,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:41.5000,15.463098,-46.690211,-51.735857,0.44803,3.2261,0.120723,0.870180,6.000000,2,0.349829,0.025317,0.636689,4.456825,5.093514,0.636689,-0.636689,-3.820135,-4.456825,-0.636689,15.463098,0.512000,15.438122,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,62,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:41.7010,15.474803,-44.359283,-50.343129,0.41081,3.5227,0.110745,0.950807,6.000000,3,0.279343,0.225950,1.273378,3.183446,3.183446,1.273378,-1.273378,-1.910068,-1.910068,-1.273378,15.474803,0.512000,15.445169,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,63,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:41.8990,15.474803,-47.724886,-56.028752,0.081405,4.1732,0.021928,1.126137,6.000000,3,0.227548,0.229078,1.273378,1.910068,3.183446,1.273378,-0.636689,-0.636689,-0.636689,-0.636689,15.474803,0.512000,15.433757,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,64,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:42.0030,15.451392,-54.304501,-64.051372,0.27177,4.516,0.073062,1.216581,6.000000,2,0.125255,0.070074,0.636689,4.456825,5.093514,0.636689,-0.636689,-0.636689,-1.273378,-0.636689,15.451392,0.512000,15.403250,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,65,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:42.4000,15.486509,-41.392731,-48.964403,0.051767,3.9853,0.013958,1.076327,6.000000,2,0.022398,0.120469,0.636689,2.546757,5.093514,0.636689,0.000000,-0.636689,-2.546757,0.000000,15.486509,0.512000,15.449054,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,67,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",352,20220727, 19:27:42.6010,15.486509,-37.244860,-41.112379,-0.32441,2.8314,-0.087577,0.764982,6.000000,3,0.143776,0.097725,1.273378,1.273378,1.910068,1.273378,-0.636689,-0.636689,-0.636689,-0.636689,15.486509,0.512000,15.467356,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,68,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
