Region_ID,Region_name,Region_class,Process_ID,Ping_date,Ping_time,Target_range,TS_comp,TS_uncomp,Angle_minor_axis,Angle_major_axis,Distance_minor_axis,Distance_major_axis,PulseLengthDeterminationLevel,Samples_above_PLDL,StandDev_Angles_Minor_Axis,StandDev_Angles_Major_Axis,PulseLength_Normalized_6dB,PulseLength_Normalized_12dB,PulseLength_Normalized_18dB,PulseLength_Normalized_PLDL,Pulse_Start_Normalized_6dB,Pulse_Start_Normalized_12dB,Pulse_Start_Normalized_18dB,Pulse_Start_Normalized_PLDL,Target_on_axis_depth,Pulse_duration,Target_true_depth,Target_latitude,Target_longitude,Target_northing,Target_easting,Target_length,Target_length_manual,Target_perimeter,Target_area,Target_thickness,Target_compactness,Target_intensity_variation,Ping_number,Target_length_across_beams,Target_range_extent,Target_class,Target_orientation,Target_perimeter_edge_midpoints,Target_compactness_edge_midpoints,Target_area_edge_midpoints
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:53.6030,15.228986,-54.547685,-57.738973,1.7223,-1.9433,0.457460,-0.516196,6.000000,2,0.101182,0.052146,0.636689,0.636689,3.183446,0.636689,-0.636689,-0.636689,-0.636689,-0.636689,15.228986,0.512000,15.213358,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,894,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:54.2020,15.252397,-53.976256,-56.183035,0.53231,-2.0865,0.141608,-0.555280,6.000000,2,0.030371,0.001371,0.636689,3.820135,5.093514,0.636689,-0.636689,-3.820135,-3.820135,-0.636689,15.252397,0.512000,15.241628,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,897,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:54.4030,15.252397,-55.887630,-57.585259,0.35745,-1.8534,0.095104,-0.493295,6.000000,3,0.024987,0.067101,1.273378,1.910068,1.910068,1.273378,0.000000,0.000000,0.000000,0.000000,15.252397,0.512000,15.244121,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,898,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:55.2020,15.334336,-54.471354,-56.183259,0.06227,-1.8941,0.016656,-0.506838,6.000000,3,0.060058,0.019938,1.273378,2.546757,2.546757,1.273378,-0.636689,-0.636689,-0.636689,-0.636689,15.334336,0.512000,15.325949,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,902,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:55.8020,15.439686,-56.209212,-57.528019,-0.84293,-1.4316,-0.227068,-0.385701,6.000000,2,0.032548,0.010189,0.636689,4.456825,4.456825,0.636689,-0.636689,-2.546757,-2.546757,-0.636689,15.439686,0.512000,15.433198,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,905,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:56.4030,15.521626,-53.423063,-55.164643,-0.77259,-1.7493,-0.209194,-0.473781,6.000000,3,0.053767,0.090707,1.273378,3.820135,5.730203,1.273378,-0.636689,-2.546757,-4.456825,-0.636689,15.521626,0.512000,15.512983,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,908,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:56.6040,15.545037,-54.125054,-55.607904,-0.8857,-1.5239,-0.240206,-0.413350,6.000000,3,0.067202,0.007354,1.273378,3.820135,5.093514,1.273378,-0.636689,-2.546757,-2.546757,-0.636689,15.545037,0.512000,15.537684,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,909,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:56.8030,15.615270,-56.876418,-58.194527,-0.94148,-1.3668,-0.256504,-0.372422,6.000000,2,0.018180,0.007150,0.636689,2.546757,5.093514,0.636689,-0.636689,-2.546757,-2.546757,-0.636689,15.615270,0.512000,15.608721,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,910,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:58.0020,15.708915,-51.142704,-53.791666,-1.5303,-1.7985,-0.419312,-0.492833,6.000000,3,0.023078,0.010391,1.273378,1.273378,1.910068,1.273378,-0.636689,-0.636689,-1.273378,-0.636689,15.708915,0.512000,15.695582,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,916,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
1,"Region 1","070kHz_FishTracks",327,20220728, 14:23:58.2010,15.720621,-51.482728,-54.725263,-1.7737,-1.9246,-0.486310,-0.527707,6.000000,3,0.158120,0.091528,1.273378,1.910068,3.183446,1.273378,-0.636689,-1.273378,-1.273378,-0.636689,15.720621,0.512000,15.704233,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37,917,-9.9e+37,-9.9e+37,"Unclassified targets",-9.9e+37,-9.9e+37,-9.9e+37,-9.9e+37
