Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,Variable_index,Variable_name
Ping_index,894,897,898,902,905,908,909,910,916,917,922,923,924,932,933,934,935,936,937,939,940,941,943,944,945,947,949,950,951,954,955,956,957,959,962,963,964,965,967,968,970,973,974,1017,1023,1026,1027,1028,1030,1031,1032,1033,1038,1039,1040,1042,1043,1054,1055,1057,1061,1064,1065,1070,2595,2597,2598,2600,2602,2603,2605,2606,2607,2608,2609,2610,2611,2612,2613,2615,2616,2617,2619,2620,2622,2623,2624,2626,2627,2628,2629,2630,2631,2632,2633,2634,2638,2639,2640,2641,2642,2644,2645,2646,2648,2649,2650,2651,2652,2654,2656,2658,2659,2660,2661,2664,2667,2675,2676,2677,2678,2680,2681,2685,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,14:23:53,14:23:54,14:23:54,14:23:55,14:23:55,14:23:56,14:23:56,14:23:56,14:23:58,14:23:58,14:23:59,14:23:59,14:23:59,14:24:01,14:24:01,14:24:01,14:24:01,14:24:02,14:24:02,14:24:02,14:24:02,14:24:03,14:24:03,14:24:03,14:24:03,14:24:04,14:24:04,14:24:04,14:24:05,14:24:05,14:24:05,14:24:06,14:24:06,14:24:06,14:24:07,14:24:07,14:24:07,14:24:07,14:24:08,14:24:08,14:24:08,14:24:09,14:24:09,14:24:18,14:24:19,14:24:20,14:24:20,14:24:20,14:24:20,14:24:21,14:24:21,14:24:21,14:24:22,14:24:22,14:24:22,14:24:23,14:24:23,14:24:25,14:24:25,14:24:26,14:24:27,14:24:27,14:24:27,14:24:28,14:29:34,14:29:34,14:29:34,14:29:35,14:29:35,14:29:35,14:29:36,14:29:36,14:29:36,14:29:36,14:29:36,14:29:37,14:29:37,14:29:37,14:29:37,14:29:38,14:29:38,14:29:38,14:29:38,14:29:39,14:29:39,14:29:39,14:29:39,14:29:40,14:29:40,14:29:40,14:29:40,14:29:41,14:29:41,14:29:41,14:29:41,14:29:41,14:29:42,14:29:42,14:29:43,14:29:43,14:29:43,14:29:43,14:29:44,14:29:44,14:29:44,14:29:44,14:29:45,14:29:45,14:29:45,14:29:45,14:29:46,14:29:46,14:29:46,14:29:47,14:29:47,14:29:47,14:29:48,14:29:50,14:29:50,14:29:50,14:29:50,14:29:51,14:29:51,14:29:52,
Ping_milliseconds,603.0,202.0,403.0,202.0,802.0,403.0,604.0,803.0,002.0,201.0,202.0,402.0,602.0,203.0,403.0,603.0,803.0,003.0,214.0,603.0,803.0,004.0,402.0,603.0,802.0,202.0,615.0,803.0,002.0,603.0,803.0,004.0,202.0,603.0,202.0,403.0,603.0,803.0,203.0,402.0,803.0,403.0,603.0,202.0,402.0,001.0,202.0,402.0,804.0,003.0,203.0,403.0,402.0,612.0,802.0,202.0,403.0,603.0,803.0,201.0,003.0,602.0,803.0,803.0,103.0,503.0,701.0,104.0,502.0,703.0,103.0,312.0,502.0,701.0,901.0,101.0,301.0,501.0,702.0,103.0,302.0,501.0,902.0,103.0,502.0,701.0,900.0,301.0,502.0,702.0,902.0,102.0,302.0,503.0,702.0,901.0,702.0,901.0,103.0,302.0,502.0,902.0,113.0,302.0,703.0,903.0,102.0,302.0,503.0,902.0,313.0,702.0,903.0,103.0,303.0,902.0,503.0,103.0,303.0,503.0,702.0,103.0,303.0,103.0,
Range,15.2289856000,15.2523968000,15.2523968000,15.3343360000,15.4396864000,15.5216256000,15.5450368000,15.6152704000,15.7089152000,15.7206208000,15.8259712000,15.8376768000,15.8259712000,15.9196160000,15.9313216000,15.9196160000,15.9313216000,15.9079104000,15.8844992000,15.9781440000,15.9781440000,15.9664384000,15.9196160000,16.0015552000,16.0366720000,15.9781440000,15.9430272000,16.0015552000,16.0249664000,16.0600832000,16.0483776000,15.9781440000,16.0366720000,16.0600832000,16.0952000000,16.0834944000,16.0600832000,16.0366720000,16.0132608000,16.0132608000,16.0483776000,16.0483776000,16.0249664000,15.9196160000,15.9781440000,15.9781440000,15.9781440000,16.0015552000,16.0366720000,16.0483776000,16.0132608000,16.0132608000,16.0834944000,16.1069056000,16.1186112000,16.0600832000,16.1303168000,16.0366720000,16.0717888000,16.0600832000,16.0717888000,16.0600832000,16.0366720000,16.0952000000,15.2523968000,15.2641024000,15.2758080000,15.2758080000,15.2992192000,15.3226304000,15.3343360000,15.3577472000,15.3694528000,15.3928640000,15.4162752000,15.4279808000,15.4513920000,15.4748032000,15.4865088000,15.5450368000,15.5684480000,15.5918592000,15.6503872000,15.6737984000,15.6972096000,15.7206208000,15.7557376000,15.7791488000,15.8025600000,15.8142656000,15.8376768000,15.8610880000,15.8610880000,15.8727936000,15.8727936000,15.8844992000,15.9547328000,15.9664384000,15.9664384000,15.9781440000,15.9781440000,16.0132608000,16.0132608000,16.0249664000,15.9898496000,16.0600832000,16.0600832000,16.0483776000,16.0600832000,16.0952000000,16.1186112000,16.0834944000,16.0717888000,16.0834944000,16.0952000000,16.0717888000,16.1069056000,16.1420224000,16.1420224000,16.1654336000,16.1654336000,16.1069056000,16.1654336000,16.1537280000,
Depth,15.2133583762,15.2416278115,15.2441209415,15.3259485168,15.4331976669,15.5129826199,15.5376835857,15.6087211808,15.6955824448,15.7042333419,15.8070999570,15.8212715592,15.8114956431,15.9148223512,15.9264000440,15.9160127733,15.9302710630,15.9072094969,15.8837341964,15.9773047175,15.9771962054,15.9663163396,15.9188498789,16.0011226982,16.0358259613,15.9770660950,15.9402220147,15.9983379254,16.0211730432,16.0553243365,16.0415177317,15.9707260337,16.0316304434,16.0574009093,16.0879195640,16.0772533072,16.0521796513,16.0242936378,16.0022087935,16.0006727437,16.0305995680,16.0384287387,16.0083669424,15.9022380859,15.9650351265,15.9667516854,15.9668703619,15.9931360930,16.0294853831,16.0397256808,16.0026726732,16.0036640028,16.0751823159,16.0975826848,16.1084953239,16.0528203202,16.1252896469,16.0247652093,16.0636450220,16.0541930357,16.0544648916,16.0457063224,16.0212383876,16.0767525323,15.2380612595,15.2526875939,15.2630510600,15.2568037724,15.2870988259,15.3104075883,15.3250009809,15.3467514217,15.3565733610,15.3800641997,15.4040517956,15.4157166164,15.4398422213,15.4631042583,15.4733333122,15.5323969480,15.5594625659,15.5818129806,15.6420184057,15.6660408080,15.6881763153,15.7112654895,15.7487942716,15.7745581297,15.7985563828,15.8093183804,15.8329493925,15.8571810098,15.8569424236,15.8700602232,15.8699722625,15.8821367025,15.9543448463,15.9657538766,15.9654754112,15.9771371400,15.9775018701,16.0131871393,16.0132434582,16.0243287915,15.9868058609,16.0574880634,16.0581532381,16.0462840619,16.0579740237,16.0905681066,16.1115657939,16.0782819996,16.0663723620,16.0777268233,16.0885182731,16.0613967637,16.0919092698,16.1274208724,16.1330068922,16.1555942530,16.1531207794,16.0919353282,16.1489548394,16.1337433103,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6",
45.000,-64.323730,-53.460655,-60.909649,-68.064112,-55.715621,-74.054945,-61.144589,-57.926505,-65.264577,-57.630388,-57.111276,-55.859230,-52.832785,-71.167583,-63.476980,-60.607648,-61.772831,-65.952570,-62.914137,-56.375402,-59.559482,-61.437957,-61.169600,-60.583978,-59.335779,-56.523982,-61.004788,-61.826712,-63.105842,-57.950593,-61.913303,-65.136353,-58.268596,-56.336035,-58.558723,-55.119856,-54.334673,-55.135057,-62.569709,-60.678856,-55.315654,-64.177759,-61.929828,-69.037845,-66.223974,-57.197049,-65.549255,-55.234724,-64.975381,-68.073995,-56.075815,-58.519157,-56.982376,-64.225434,-58.198596,-57.297093,-58.789110,-61.807469,-70.348124,-62.040124,-67.323540,-61.473840,-59.469028,-63.634811,-57.107531,-55.842785,-50.460593,-56.068259,-49.821952,-51.414133,-60.474196,-53.128503,-50.678392,-56.138159,-56.941977,-59.559926,-57.116994,-50.332149,-55.464205,-55.504543,-66.376730,-79.780402,-67.747486,-67.299712,-58.592351,-61.248090,-62.122346,-60.971510,-60.863218,-54.950615,-56.201072,-64.915033,-60.902845,-57.012892,-66.439440,-61.247764,-63.196565,-71.537550,-65.118378,-80.912106,-58.423258,-56.555951,-56.969271,-63.518614,-53.984255,-54.490081,-57.063936,-59.503403,-63.920185,-52.739205,-54.824517,-59.917756,-67.388087,-63.193274,-59.262814,-56.330671,-61.621481,-69.654994,-53.319319,-52.422230,-65.809993,-64.873264,-68.358940,-60.355205,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-64.300512,-51.419581,-59.157187,-65.755230,-57.020253,-86.445461,-61.130432,-57.179951,-66.162885,-56.172899,-58.909372,-57.055519,-55.328364,-68.029877,-69.678927,-66.766732,-62.292092,-65.469766,-63.631720,-54.870961,-57.142971,-60.271151,-60.381190,-60.103303,-58.202118,-56.094824,-59.566107,-61.463358,-63.337949,-57.712457,-60.414174,-62.004253,-58.288804,-55.899766,-58.343523,-54.663443,-53.765969,-54.034284,-60.144199,-59.728884,-54.469820,-60.810735,-62.642392,-70.492894,-72.098348,-55.462430,-61.793052,-53.324193,-64.589637,-64.498629,-55.339854,-57.316838,-56.537783,-61.180391,-58.702944,-57.310719,-58.424893,-61.045916,-68.362154,-62.008748,-65.731044,-61.267757,-59.121350,-62.264475,-58.236864,-53.995200,-50.284023,-55.558457,-50.297113,-50.459264,-57.730277,-54.877216,-54.309941,-59.070117,-56.643111,-61.570309,-58.199127,-50.960203,-55.170352,-53.923856,-77.570210,-73.386782,-74.306832,-64.697965,-60.264555,-64.042367,-59.484715,-59.494574,-59.038201,-55.179725,-56.261934,-70.241159,-58.123353,-54.991305,-63.182411,-62.424692,-63.131725,-65.231970,-62.102801,-69.082089,-57.181317,-57.178692,-57.292588,-64.180673,-54.380727,-52.992220,-58.018723,-61.377330,-64.662197,-53.072908,-53.888749,-60.557045,-63.605319,-59.817215,-58.840508,-56.350601,-61.220515,-66.462220,-53.083242,-52.949122,-67.763949,-62.197693,-68.462785,-58.454619,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-62.488456,-50.351952,-56.672342,-65.609026,-58.275253,-69.925960,-61.576840,-57.304556,-67.871373,-54.623324,-61.207815,-59.230920,-57.338537,-64.308049,-68.734802,-67.657084,-62.427901,-64.413118,-63.267465,-54.108243,-55.583631,-59.108676,-59.913313,-60.502823,-57.964763,-55.442444,-58.571694,-61.499459,-62.182133,-57.426461,-59.063921,-60.335061,-58.305484,-54.831386,-57.922934,-54.362864,-53.729407,-53.658776,-58.906635,-59.068299,-54.058532,-58.908604,-62.760008,-67.966406,-81.978281,-54.864807,-60.003376,-52.654748,-63.696884,-59.440924,-54.915532,-56.299946,-56.282393,-60.414429,-59.114039,-57.062384,-58.338017,-60.679010,-66.071021,-62.299590,-64.884475,-61.473971,-59.116030,-60.382939,-57.422315,-52.061119,-49.984200,-55.384746,-50.087425,-49.608375,-55.371737,-55.760366,-59.990345,-62.915689,-56.289107,-62.164167,-61.310378,-52.672918,-55.356795,-54.369994,-70.887786,-67.550739,-64.221464,-61.747014,-60.407345,-65.165680,-57.598777,-58.844200,-57.665700,-55.393687,-57.142901,-66.443415,-56.543079,-53.888756,-62.461221,-64.500468,-61.279793,-62.479297,-61.980169,-62.738392,-56.938501,-58.151292,-57.691386,-64.885277,-54.869102,-52.677493,-58.852617,-63.028143,-64.321496,-54.291818,-52.981503,-61.327367,-60.047283,-58.636113,-58.828618,-56.553220,-60.615288,-63.168676,-52.580273,-54.178749,-66.688380,-60.656673,-67.090502,-57.592583,0,Fileset 1: TS pulse compressed wideband pings T1
