Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,Variable_index,Variable_name
Ping_index,894,897,898,902,905,908,909,910,916,917,922,923,924,932,933,934,935,936,937,939,940,941,943,944,945,947,949,950,951,954,955,956,957,959,962,963,964,965,967,968,970,973,974,1017,1023,1026,1027,1028,1030,1031,1032,1033,1038,1039,1040,1042,1043,1054,1055,1057,1061,1064,1065,1070,2595,2597,2598,2600,2602,2603,2605,2606,2607,2608,2609,2610,2611,2612,2613,2615,2616,2617,2619,2620,2622,2623,2624,2626,2627,2628,2629,2630,2631,2632,2633,2634,2638,2639,2640,2641,2642,2644,2645,2646,2648,2649,2650,2651,2652,2654,2656,2658,2659,2660,2661,2664,2667,2675,2676,2677,2678,2680,2681,2685,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,14:23:53,14:23:54,14:23:54,14:23:55,14:23:55,14:23:56,14:23:56,14:23:56,14:23:58,14:23:58,14:23:59,14:23:59,14:23:59,14:24:01,14:24:01,14:24:01,14:24:01,14:24:02,14:24:02,14:24:02,14:24:02,14:24:03,14:24:03,14:24:03,14:24:03,14:24:04,14:24:04,14:24:04,14:24:05,14:24:05,14:24:05,14:24:06,14:24:06,14:24:06,14:24:07,14:24:07,14:24:07,14:24:07,14:24:08,14:24:08,14:24:08,14:24:09,14:24:09,14:24:18,14:24:19,14:24:20,14:24:20,14:24:20,14:24:20,14:24:21,14:24:21,14:24:21,14:24:22,14:24:22,14:24:22,14:24:23,14:24:23,14:24:25,14:24:25,14:24:26,14:24:27,14:24:27,14:24:27,14:24:28,14:29:34,14:29:34,14:29:34,14:29:35,14:29:35,14:29:35,14:29:36,14:29:36,14:29:36,14:29:36,14:29:36,14:29:37,14:29:37,14:29:37,14:29:37,14:29:38,14:29:38,14:29:38,14:29:38,14:29:39,14:29:39,14:29:39,14:29:39,14:29:40,14:29:40,14:29:40,14:29:40,14:29:41,14:29:41,14:29:41,14:29:41,14:29:41,14:29:42,14:29:42,14:29:43,14:29:43,14:29:43,14:29:43,14:29:44,14:29:44,14:29:44,14:29:44,14:29:45,14:29:45,14:29:45,14:29:45,14:29:46,14:29:46,14:29:46,14:29:47,14:29:47,14:29:47,14:29:48,14:29:50,14:29:50,14:29:50,14:29:50,14:29:51,14:29:51,14:29:52,
Ping_milliseconds,603.0,202.0,403.0,202.0,802.0,403.0,604.0,803.0,002.0,201.0,202.0,402.0,602.0,203.0,403.0,603.0,803.0,003.0,214.0,603.0,803.0,004.0,402.0,603.0,802.0,202.0,615.0,803.0,002.0,603.0,803.0,004.0,202.0,603.0,202.0,403.0,603.0,803.0,203.0,402.0,803.0,403.0,603.0,202.0,402.0,001.0,202.0,402.0,804.0,003.0,203.0,403.0,402.0,612.0,802.0,202.0,403.0,603.0,803.0,201.0,003.0,602.0,803.0,803.0,103.0,503.0,701.0,104.0,502.0,703.0,103.0,312.0,502.0,701.0,901.0,101.0,301.0,501.0,702.0,103.0,302.0,501.0,902.0,103.0,502.0,701.0,900.0,301.0,502.0,702.0,902.0,102.0,302.0,503.0,702.0,901.0,702.0,901.0,103.0,302.0,502.0,902.0,113.0,302.0,703.0,903.0,102.0,302.0,503.0,902.0,313.0,702.0,903.0,103.0,303.0,902.0,503.0,103.0,303.0,503.0,702.0,103.0,303.0,103.0,
Range,15.2289856000,15.2523968000,15.2523968000,15.3343360000,15.4396864000,15.5216256000,15.5450368000,15.6152704000,15.7089152000,15.7206208000,15.8259712000,15.8376768000,15.8259712000,15.9196160000,15.9313216000,15.9196160000,15.9313216000,15.9079104000,15.8844992000,15.9781440000,15.9781440000,15.9664384000,15.9196160000,16.0015552000,16.0366720000,15.9781440000,15.9430272000,16.0015552000,16.0249664000,16.0600832000,16.0483776000,15.9781440000,16.0366720000,16.0600832000,16.0952000000,16.0834944000,16.0600832000,16.0366720000,16.0132608000,16.0132608000,16.0483776000,16.0483776000,16.0249664000,15.9196160000,15.9781440000,15.9781440000,15.9781440000,16.0015552000,16.0366720000,16.0483776000,16.0132608000,16.0132608000,16.0834944000,16.1069056000,16.1186112000,16.0600832000,16.1303168000,16.0366720000,16.0717888000,16.0600832000,16.0717888000,16.0600832000,16.0366720000,16.0952000000,15.2523968000,15.2641024000,15.2758080000,15.2758080000,15.2992192000,15.3226304000,15.3343360000,15.3577472000,15.3694528000,15.3928640000,15.4162752000,15.4279808000,15.4513920000,15.4748032000,15.4865088000,15.5450368000,15.5684480000,15.5918592000,15.6503872000,15.6737984000,15.6972096000,15.7206208000,15.7557376000,15.7791488000,15.8025600000,15.8142656000,15.8376768000,15.8610880000,15.8610880000,15.8727936000,15.8727936000,15.8844992000,15.9547328000,15.9664384000,15.9664384000,15.9781440000,15.9781440000,16.0132608000,16.0132608000,16.0249664000,15.9898496000,16.0600832000,16.0600832000,16.0483776000,16.0600832000,16.0952000000,16.1186112000,16.0834944000,16.0717888000,16.0834944000,16.0952000000,16.0717888000,16.1069056000,16.1420224000,16.1420224000,16.1654336000,16.1654336000,16.1069056000,16.1654336000,16.1537280000,
Depth,15.2133583762,15.2416278115,15.2441209415,15.3259485168,15.4331976669,15.5129826199,15.5376835857,15.6087211808,15.6955824448,15.7042333419,15.8070999570,15.8212715592,15.8114956431,15.9148223512,15.9264000440,15.9160127733,15.9302710630,15.9072094969,15.8837341964,15.9773047175,15.9771962054,15.9663163396,15.9188498789,16.0011226982,16.0358259613,15.9770660950,15.9402220147,15.9983379254,16.0211730432,16.0553243365,16.0415177317,15.9707260337,16.0316304434,16.0574009093,16.0879195640,16.0772533072,16.0521796513,16.0242936378,16.0022087935,16.0006727437,16.0305995680,16.0384287387,16.0083669424,15.9022380859,15.9650351265,15.9667516854,15.9668703619,15.9931360930,16.0294853831,16.0397256808,16.0026726732,16.0036640028,16.0751823159,16.0975826848,16.1084953239,16.0528203202,16.1252896469,16.0247652093,16.0636450220,16.0541930357,16.0544648916,16.0457063224,16.0212383876,16.0767525323,15.2380612595,15.2526875939,15.2630510600,15.2568037724,15.2870988259,15.3104075883,15.3250009809,15.3467514217,15.3565733610,15.3800641997,15.4040517956,15.4157166164,15.4398422213,15.4631042583,15.4733333122,15.5323969480,15.5594625659,15.5818129806,15.6420184057,15.6660408080,15.6881763153,15.7112654895,15.7487942716,15.7745581297,15.7985563828,15.8093183804,15.8329493925,15.8571810098,15.8569424236,15.8700602232,15.8699722625,15.8821367025,15.9543448463,15.9657538766,15.9654754112,15.9771371400,15.9775018701,16.0131871393,16.0132434582,16.0243287915,15.9868058609,16.0574880634,16.0581532381,16.0462840619,16.0579740237,16.0905681066,16.1115657939,16.0782819996,16.0663723620,16.0777268233,16.0885182731,16.0613967637,16.0919092698,16.1274208724,16.1330068922,16.1555942530,16.1531207794,16.0919353282,16.1489548394,16.1337433103,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6",
45.000,-65.884463,-54.511579,-61.716356,-68.875655,-56.350180,-74.889424,-61.858250,-58.562790,-66.555978,-59.217931,-58.928133,-57.446623,-54.238912,-71.630753,-63.958923,-60.963556,-61.877847,-66.023360,-62.991413,-56.453369,-59.647863,-61.450196,-61.243169,-60.624152,-59.419444,-56.628779,-61.267867,-62.126221,-63.458057,-58.400890,-62.565476,-65.840956,-58.739131,-56.590627,-59.285513,-55.742715,-55.121166,-56.342710,-63.617360,-61.871278,-57.013105,-65.167801,-63.560135,-70.773952,-67.542215,-58.334249,-66.668270,-56.076248,-65.688590,-68.935124,-57.136622,-59.481208,-57.812798,-65.148825,-59.200107,-58.019681,-59.285212,-62.977348,-71.138754,-62.623478,-69.054292,-62.898120,-60.999109,-65.469287,-58.502044,-56.952594,-51.701466,-57.919740,-51.005459,-52.611914,-61.409237,-54.223058,-51.950438,-57.399683,-58.145428,-60.767735,-58.256766,-51.491113,-56.780611,-56.776243,-67.267180,-80.768421,-68.569169,-68.068126,-59.494534,-62.171324,-62.805253,-61.421849,-61.257269,-55.442463,-56.668110,-65.294093,-61.301472,-57.272420,-66.708748,-61.476594,-63.233141,-71.601519,-65.207861,-81.005697,-58.483193,-56.563037,-56.970903,-63.580849,-54.290036,-54.749697,-57.256591,-59.706980,-64.124258,-53.201076,-55.523100,-60.435285,-67.926311,-63.768847,-59.929883,-57.366061,-63.080671,-71.088784,-54.194193,-53.383619,-67.024282,-66.352905,-69.973406,-62.289311,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-65.814727,-52.447411,-59.946586,-66.549962,-57.638193,-87.259783,-61.825489,-57.798707,-67.416252,-57.712494,-60.670433,-58.592428,-56.689073,-68.478697,-70.144217,-67.109717,-62.392995,-65.537633,-63.705829,-54.947302,-57.229417,-60.282895,-60.452644,-60.142625,-58.282594,-56.196167,-59.823147,-61.756306,-63.682563,-58.150266,-61.047343,-62.689290,-58.748324,-56.147160,-59.040298,-55.260709,-54.520838,-55.198408,-61.162126,-60.887422,-56.113050,-61.761061,-64.211411,-72.160331,-73.362155,-56.554254,-62.868663,-54.131735,-65.274809,-65.325211,-56.357157,-58.239331,-57.333904,-62.066953,-59.664428,-58.004295,-58.901521,-62.171931,-69.125129,-62.569279,-67.390536,-62.635744,-60.591106,-64.024373,-59.602520,-55.081916,-51.498394,-57.368124,-51.452848,-51.626766,-58.635996,-55.938500,-55.545404,-60.295594,-57.812133,-62.743197,-59.304959,-52.082980,-56.442385,-55.149738,-78.431799,-74.344155,-75.102804,-65.440431,-61.134095,-64.934394,-60.144953,-59.930244,-59.418977,-55.653660,-56.712512,-70.608482,-58.510565,-55.244298,-63.444540,-62.646502,-63.167407,-65.294514,-62.190429,-69.173713,-57.239925,-57.185560,-57.294179,-64.240752,-54.673894,-53.241115,-58.203520,-61.573933,-64.859499,-53.515815,-54.559251,-61.053889,-64.122018,-60.369145,-59.480017,-57.343910,-62.626251,-67.840342,-53.926647,-53.874119,-68.929866,-63.618663,-70.014678,-60.318067,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-63.958431,-51.357478,-57.445002,-66.387465,-58.877294,-70.720916,-62.254093,-57.906583,-69.088549,-56.117344,-62.915877,-60.719949,-58.656199,-64.743245,-69.184352,-67.987877,-62.524935,-64.478238,-63.338599,-54.183009,-55.668209,-59.119955,-59.982751,-60.541320,-58.042236,-55.540517,-58.822915,-61.786069,-62.519398,-57.852356,-59.678999,-61.001432,-58.754404,-55.071918,-58.591515,-54.936087,-54.454544,-54.781820,-59.896233,-60.194545,-55.650347,-59.821590,-64.271271,-69.569247,-83.190958,-55.913960,-61.038132,-53.430347,-64.355678,-60.235025,-55.891962,-57.185277,-57.046294,-61.266360,-60.037883,-57.728683,-58.796323,-61.763686,-66.807867,-62.838644,-66.477027,-62.789003,-60.529034,-62.072750,-58.760002,-53.125459,-51.172932,-57.154090,-51.216437,-50.746855,-56.249631,-56.790036,-61.190963,-64.106819,-57.425325,-63.303800,-62.383932,-53.761348,-56.586844,-55.552635,-71.722026,-68.479018,-64.993038,-62.464932,-61.246082,-66.028182,-58.237554,-59.265972,-58.033916,-55.850723,-57.577931,-66.799595,-56.919417,-54.135485,-62.716489,-64.715611,-61.314617,-62.540467,-62.066000,-62.828111,-56.995828,-58.157954,-57.692939,-64.943319,-55.150419,-52.916319,-59.030031,-63.218152,-64.512389,-54.716910,-53.625605,-61.804761,-60.543741,-59.165832,-59.442242,-57.506982,-61.970605,-64.494400,-53.393977,-55.069463,-67.808806,-62.022460,-68.583494,-59.389377,0,Fileset 1: TS pulse compressed wideband pings T1
