Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
1,"Region 1","070kHz_FishTracks",333,0.020224,86,100,0.000000,20220727, 23:48:23.3690,999.00000000,999.00000000,0.00005791415047,7,-41.385525,13.441373,0.4191,-0.058528,2.602000,1.0905,0.020224,15.000000,13.431650,13.472107,13.391577,-0.053312,1.496764,1.578703,1.531880,1.516987,1.598927,1.552104
2,"Region 2","070kHz_FishTracks",333,0.020224,157,184,0.000000,20220727, 23:48:36.8690,999.00000000,999.00000000,0.00059841298463,21,-34.594642,12.764678,0.4227,0.245818,5.312000,2.2454,0.020224,15.000000,12.754784,13.011999,12.665724,0.238373,1.953282,2.304450,2.194710,1.973506,2.324674,2.214934
3,"Region 3","070kHz_FishTracks",333,0.020224,391,405,0.000000,20220727, 23:49:14.8680,999.00000000,999.00000000,0.00000595203168,10,-49.092857,13.147730,0.5899,0.058528,2.400000,1.4158,0.020224,15.000000,13.137109,13.175730,13.085223,0.059392,1.801109,1.883048,1.837787,1.821333,1.903272,1.858010
4,"Region 4","070kHz_FishTracks",333,0.020224,474,495,0.000000,20220727, 23:49:27.8690,999.00000000,999.00000000,0.00008890582947,21,-39.935647,13.750736,0.8549,0.093645,2.999000,2.5639,0.020224,15.000000,13.743189,13.785622,13.655233,0.089211,1.192418,1.321180,1.229131,1.212642,1.341403,1.249355
5,"Region 5","070kHz_FishTracks",333,0.020224,1300,1372,0.000000,20220727, 23:51:20.0680,999.00000000,999.00000000,0.00002121496477,38,-44.234990,12.548095,0.2547,0.081939,10.199000,2.5976,0.020224,15.000000,12.538394,12.755157,12.456794,0.074486,2.210805,2.515151,2.420624,2.231029,2.535375,2.440848
6,"Region 6","070kHz_FishTracks",333,0.020224,1552,1633,0.000000,20220727, 23:51:55.4690,999.00000000,999.00000000,0.00001696811262,44,-47.781363,12.515681,0.3473,-0.210701,12.501000,4.3411,0.020224,15.000000,12.503853,12.754613,12.336804,-0.212631,2.210805,2.632207,2.470184,2.231029,2.652431,2.490408
7,"Region 7","070kHz_FishTracks",333,0.020224,1840,1924,0.000000,20220727, 23:52:42.8690,999.00000000,999.00000000,0.00000413591244,52,-51.908634,12.567988,0.3389,0.222406,13.900000,4.7104,0.020224,15.000000,12.557116,12.749392,12.381382,0.221769,2.222511,2.585384,2.422883,2.242735,2.605608,2.443107
8,"Region 8","070kHz_FishTracks",333,0.020224,1933,1940,0.000000,20220727, 23:52:52.0690,999.00000000,999.00000000,0.00000225027264,8,-50.069775,12.608394,0.2976,-0.058528,1.300000,0.3869,0.020224,15.000000,12.595520,12.609031,12.548496,-0.055142,2.362978,2.421506,2.373220,2.383202,2.441730,2.393444
9,"Region 9","070kHz_FishTracks",333,0.020224,1949,1998,0.000000,20220727, 23:52:58.7700,999.00000000,999.00000000,0.00004186620912,43,-46.362335,12.645315,0.3252,0.175584,8.699000,2.8290,0.020224,15.000000,12.634274,12.719747,12.551025,0.168327,2.245922,2.421506,2.330202,2.266146,2.441730,2.350426
10,"Region 10","070kHz_FishTracks",333,0.020224,2279,2405,0.000000,20220727, 23:54:11.2700,999.00000000,999.00000000,0.00033313886011,104,-38.952288,12.333538,0.3688,-0.351168,25.098000,9.2562,0.020224,15.000000,12.325059,12.736321,12.041575,-0.355086,2.234216,2.936552,2.642161,2.254440,2.956776,2.662385
11,"Region 11","070kHz_FishTracks",333,0.020224,2426,2499,0.000000,20220727, 23:54:35.3710,999.00000000,999.00000000,0.00020017816358,46,-39.716557,12.590136,0.2697,0.222406,14.600000,3.9377,0.020224,15.000000,12.578439,12.791338,12.468882,0.219472,2.175688,2.503445,2.386310,2.195912,2.523669,2.406534
12,"Region 12","070kHz_FishTracks",333,0.020224,2676,2728,0.000000,20220727, 23:55:23.6690,999.00000000,999.00000000,0.00000169746737,24,-53.176266,12.763981,0.2003,0.081939,10.399000,2.0830,0.020224,15.000000,12.751052,12.828842,12.696488,0.078201,2.140572,2.269333,2.221407,2.160795,2.289557,2.241630
13,"Region 13","070kHz_FishTracks",333,0.020224,2743,2755,0.000000,20220727, 23:55:33.0690,999.00000000,999.00000000,0.00000152898591,5,-54.110513,12.866796,0.1167,-0.058528,2.409000,0.2812,0.020224,15.000000,12.851267,12.907352,12.815254,-0.056769,2.058632,2.152277,2.112208,2.078856,2.172501,2.132432
14,"Region 14","070kHz_FishTracks",333,0.020224,2762,2777,0.000000,20220727, 23:55:37.0700,999.00000000,999.00000000,0.00000171923206,8,-52.229239,12.779589,0.1791,-0.070234,3.001000,0.5374,0.020224,15.000000,12.765400,12.794246,12.722610,-0.067558,2.175688,2.245922,2.202026,2.195912,2.266146,2.222250
15,"Region 15","070kHz_FishTracks",333,0.020224,2788,2804,0.000000,20220727, 23:55:42.4690,999.00000000,999.00000000,0.00000205242475,8,-53.646912,12.791294,0.9918,-0.081939,3.200000,3.1738,0.020224,15.000000,12.781103,12.890412,12.677643,-0.080907,2.082044,2.292744,2.201510,2.102267,2.312968,2.221733
16,"Region 16","070kHz_FishTracks",333,0.020224,2869,2955,0.000000,20220727, 23:56:05.8680,999.00000000,999.00000000,0.00000277481283,39,-53.272181,12.897770,0.6573,-0.128762,17.311000,11.3793,0.020224,15.000000,12.890861,13.033377,12.712553,-0.123705,1.941576,2.257628,2.098458,1.961800,2.277851,2.118682
17,"Region 17","070kHz_FishTracks",333,0.020224,2962,2996,0.000000,20220727, 23:56:19.2680,999.00000000,999.00000000,0.00000110327334,17,-54.806644,12.854126,0.5111,0.175584,6.800000,3.4752,0.020224,15.000000,12.845405,12.934194,12.719515,0.181507,2.035221,2.245922,2.128197,2.055445,2.266146,2.148421
18,"Region 18","070kHz_FishTracks",333,0.020224,3102,3113,0.000000,20220727, 23:56:44.8780,999.00000000,999.00000000,0.00000272583788,6,-53.457550,12.864454,0.4171,-0.198995,2.211000,0.9222,0.020224,15.000000,12.859818,12.968265,12.762836,-0.205428,2.011810,2.210805,2.113746,2.032034,2.231029,2.133970
19,"Region 19","070kHz_FishTracks",333,0.020224,3120,3133,0.000000,20220727, 23:56:48.6700,999.00000000,999.00000000,0.00000058171514,6,-55.352044,12.688870,0.2297,-0.081939,2.600000,0.5972,0.020224,15.000000,12.677719,12.736008,12.650687,-0.081983,2.234216,2.316156,2.301942,2.254440,2.336379,2.322165
