Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,Variable_index,Variable_name
Ping_index,3384,3385,3386,3387,3388,3389,3390,3391,3392,3393,3394,3395,3396,3397,3398,3399,3400,3401,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3413,3414,3415,3416,3417,3418,3419,3420,3421,3422,3424,3425,3426,3427,3428,9718,9719,9720,9721,9722,9723,9724,9725,9726,9727,9728,9729,9730,9731,9732,9733,9734,9735,9736,9737,9738,9739,9740,9741,9742,9743,9744,9745,9746,9747,9748,9751,9752,9753,9754,9755,9756,9757,9760,9761,9762,9763,9764,10159,10160,10165,10166,10167,10169,10171,10172,10173,10174,10175,10176,10177,10178,10180,10181,10184,10185,10186,10187,10188,10189,10191,10197,10199,10200,10201,10202,10203,10204,10205,10206,10207,10208,10209,10210,10211,10212,10213,10214,10215,10216,10218,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,15:11:04,15:11:05,15:11:05,15:11:05,15:11:05,15:11:05,15:11:06,15:11:06,15:11:06,15:11:06,15:11:06,15:11:07,15:11:07,15:11:07,15:11:07,15:11:07,15:11:08,15:11:08,15:11:08,15:11:08,15:11:08,15:11:09,15:11:09,15:11:09,15:11:09,15:11:09,15:11:10,15:11:10,15:11:10,15:11:10,15:11:10,15:11:11,15:11:11,15:11:11,15:11:11,15:11:11,15:11:12,15:11:12,15:11:12,15:11:12,15:11:13,15:11:13,15:11:13,15:11:13,15:31:50,15:31:50,15:31:50,15:31:51,15:31:51,15:31:51,15:31:51,15:31:51,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:55,15:31:55,15:31:55,15:31:55,15:31:55,15:31:56,15:31:56,15:31:56,15:31:56,15:31:57,15:31:57,15:31:57,15:31:58,15:31:58,15:31:58,15:31:58,15:31:58,15:33:09,15:33:09,15:33:10,15:33:10,15:33:10,15:33:11,15:33:11,15:33:11,15:33:11,15:33:11,15:33:12,15:33:12,15:33:12,15:33:12,15:33:12,15:33:13,15:33:13,15:33:13,15:33:14,15:33:14,15:33:14,15:33:14,15:33:15,15:33:16,15:33:16,15:33:16,15:33:16,15:33:17,15:33:17,15:33:17,15:33:17,15:33:17,15:33:18,15:33:18,15:33:18,15:33:18,15:33:18,15:33:19,15:33:19,15:33:19,15:33:19,15:33:19,15:33:20,
Ping_milliseconds,903.0,102.0,313.0,502.0,702.0,903.0,102.0,303.0,503.0,702.0,902.0,103.0,304.0,503.0,702.0,902.0,113.0,304.0,502.0,702.0,902.0,103.0,301.0,503.0,703.0,902.0,103.0,302.0,503.0,703.0,903.0,103.0,302.0,502.0,702.0,902.0,113.0,303.0,503.0,902.0,103.0,302.0,503.0,703.0,603.0,703.0,902.0,102.0,201.0,402.0,611.0,803.0,003.0,203.0,403.0,504.0,702.0,903.0,102.0,302.0,502.0,602.0,702.0,902.0,102.0,202.0,304.0,503.0,601.0,802.0,013.0,202.0,403.0,603.0,804.0,303.0,503.0,703.0,801.0,003.0,203.0,403.0,002.0,212.0,403.0,602.0,803.0,012.0,202.0,202.0,402.0,602.0,003.0,401.0,502.0,601.0,803.0,002.0,213.0,403.0,603.0,904.0,103.0,702.0,903.0,103.0,302.0,502.0,703.0,103.0,201.0,503.0,702.0,903.0,103.0,303.0,502.0,602.0,802.0,003.0,201.0,404.0,603.0,803.0,002.0,211.0,403.0,602.0,701.0,102.0,
Range,13.0634496000,13.0868608000,13.1219776000,13.1453888000,13.1688000000,13.1805056000,13.1922112000,13.2156224000,13.2390336000,13.2507392000,13.2741504000,13.2858560000,13.2975616000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.3209728000,13.3326784000,13.3443840000,13.3443840000,13.3560896000,13.3677952000,13.3677952000,13.3912064000,13.4029120000,13.4146176000,13.4263232000,13.4263232000,13.4263232000,13.4263232000,13.4380288000,13.4380288000,13.4497344000,13.4614400000,13.4731456000,13.4731456000,13.4731456000,13.4848512000,13.5082624000,13.5199680000,13.5433792000,13.5667904000,13.2858560000,13.2858560000,13.2858560000,13.2858560000,13.2741504000,13.2741504000,13.2741504000,13.2858560000,13.3092672000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.2975616000,13.2039168000,13.1805056000,13.1688000000,13.1688000000,13.1805056000,13.1102720000,13.0868608000,13.0634496000,13.0634496000,13.0634496000,13.0517440000,13.0517440000,12.8761600000,12.8761600000,12.8995712000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9229824000,12.9229824000,12.9229824000,12.9346880000,12.9346880000,12.9229824000,12.9346880000,12.9580992000,12.9346880000,12.9229824000,12.9229824000,12.9346880000,12.9698048000,12.9932160000,12.9932160000,12.9932160000,13.0049216000,13.0049216000,13.0166272000,13.0166272000,13.0400384000,13.0517440000,13.0517440000,13.0634496000,13.0751552000,13.0868608000,13.0985664000,13.0985664000,13.0985664000,13.1102720000,13.1219776000,13.1336832000,
Depth,13.0483092479,13.0770865027,13.1107019354,13.1303303111,13.1526026363,13.1681611044,13.1852695281,13.2103695590,13.2325166324,13.2413511937,13.2645670371,13.2779315012,13.2915176153,13.3046632027,13.3175650528,13.3176986566,13.3062191401,13.3070379021,13.3189576203,13.3299452979,13.3414256768,13.3420816651,13.3550319113,13.3673180025,13.3672272041,13.3908563601,13.4028156605,13.4146049665,13.4262978993,13.4262587503,13.4258055948,13.4252301399,13.4358261470,13.4356142320,13.4476840440,13.4593150578,13.4699916095,13.4686104208,13.4679445773,13.4757214049,13.4965918446,13.5061641736,13.5281744981,13.5511606075,13.2695422573,13.2728105802,13.2777815731,13.2756655114,13.2619655561,13.2634776616,13.2683638688,13.2804137832,13.3008741019,13.3112240015,13.3020775039,13.3033018773,13.2919280203,13.2911468493,13.2894340539,13.3031822350,13.3037566748,13.3146588849,13.3127711685,13.2998569999,13.3000462046,13.2891068989,13.2900695205,13.2901059408,13.2895135293,13.2861063657,13.2842489015,13.2889126139,13.3062985418,13.3076234311,13.2935108524,13.1961876824,13.1735565895,13.1620014049,13.1628071964,13.1777959699,13.1084264424,13.0835631834,13.0594944237,13.0597458277,13.0558924330,13.0417787172,13.0418491354,12.8657437712,12.8629697701,12.8884404888,12.8981840052,12.8963214774,12.8992995135,12.9160070671,12.9040159341,12.9039474968,12.9015652686,12.9108717907,12.9146891357,12.9191590892,12.9195391675,12.9293377008,12.9309220770,12.9218706535,12.9336527986,12.9565556897,12.9333680002,12.9211353380,12.9212842109,12.9322885200,12.9655817049,12.9908394683,12.9928576667,12.9931826331,13.0044971164,13.0030634562,13.0147753619,13.0141095314,13.0360066369,13.0473234598,13.0480390871,13.0608003316,13.0718163727,13.0849276241,13.0975238271,13.0952752084,13.0916776164,13.1036534989,13.1158318473,13.1211520229,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3",
90.000,-38.232310,-43.145069,-51.745568,-47.676014,-38.958914,-47.428131,-47.689206,-39.923311,-44.316858,-36.642968,-34.835262,-37.057848,-36.427032,-44.924386,-41.673982,-39.381235,-41.209688,-42.351102,-39.581956,-35.778591,-37.729190,-36.998527,-38.438196,-36.605892,-36.106351,-37.921762,-36.556531,-38.087678,-37.869004,-36.236801,-41.002261,-41.223155,-43.280620,-43.033094,-43.159706,-39.869508,-37.599538,-41.270738,-40.035650,-37.692434,-38.953606,-36.835860,-37.092223,-34.710946,-43.187848,-42.289906,-43.416575,-46.018329,-48.526840,-44.432283,-44.310152,-51.236815,-46.414356,-46.370555,-52.857491,-55.581493,-50.491557,-50.150020,-52.404435,-60.259953,-51.579441,-54.024691,-52.015394,-49.513685,-49.758605,-50.059986,-47.808849,-49.819964,-50.667752,-58.003313,-56.877557,-49.807965,-65.430449,-56.259794,-49.626121,-45.291064,-47.401898,-58.335870,-56.594904,-56.024748,-61.598277,-51.466685,-48.277717,-59.362749,-51.787913,-54.350011,-50.572341,-49.099157,-49.146089,-54.986495,-51.259184,-46.341681,-57.122389,-63.458674,-57.134618,-61.134221,-62.122154,-51.551848,-48.942741,-48.049597,-52.919250,-60.378518,-53.820628,-53.822204,-51.341255,-51.405127,-57.083211,-53.363526,-58.180514,-50.240397,-59.766670,-60.737797,-49.291580,-49.582120,-53.322238,-47.796840,-43.314129,-48.216218,-47.855620,-42.033345,-44.068180,-46.515812,-43.936954,-44.755238,-42.288233,-47.174301,-47.932308,-43.490260,-42.907366,-48.013891,0,Fileset 1: TS pulse compressed wideband pings T3
90.500,-37.883451,-43.653716,-47.325586,-49.066163,-39.546999,-45.360087,-47.589009,-39.806814,-42.956134,-36.516985,-34.835809,-37.308124,-36.377520,-44.719057,-41.861064,-39.410699,-40.973919,-42.893300,-39.797019,-35.702597,-36.997002,-37.312968,-38.546551,-36.498478,-36.161773,-37.836970,-36.559766,-38.024443,-37.878852,-36.251183,-40.839128,-41.220440,-42.803736,-42.114421,-42.643689,-39.797239,-37.779104,-40.707819,-40.174285,-37.310285,-37.496522,-37.113632,-37.125280,-34.687226,-43.161204,-42.121273,-42.892882,-44.676047,-47.420450,-43.255843,-43.480135,-49.915224,-46.416878,-45.510245,-53.861816,-54.258323,-50.149876,-48.991329,-51.475462,-56.318694,-50.293813,-51.969216,-52.884173,-49.932626,-48.389166,-49.636628,-47.075275,-48.969466,-48.371129,-54.774946,-58.084370,-49.526800,-65.598064,-55.710227,-49.444761,-45.346188,-47.348276,-59.689378,-56.690673,-53.958309,-58.238302,-53.504022,-48.128030,-57.560169,-51.331786,-53.025556,-50.266127,-48.132348,-48.628032,-53.348834,-51.469917,-46.126913,-55.445355,-62.512779,-55.006480,-64.474384,-70.699567,-51.396306,-48.869185,-47.723247,-53.055017,-61.494242,-53.444033,-53.388508,-50.726715,-51.495885,-56.064208,-53.714450,-59.014993,-50.024658,-63.394958,-60.392613,-49.457600,-49.900893,-51.335321,-47.312186,-43.271606,-47.600805,-46.163037,-41.272106,-43.784552,-45.433458,-43.665627,-44.672696,-42.567264,-46.032424,-47.042373,-42.699899,-42.677247,-47.343103,0,Fileset 1: TS pulse compressed wideband pings T3
91.000,-37.704568,-43.860292,-44.831372,-51.724410,-40.322001,-43.675337,-46.892344,-40.004921,-41.657005,-36.293108,-34.886361,-37.379741,-36.381099,-44.622306,-42.360179,-39.577424,-40.823255,-43.053971,-39.887945,-35.688486,-36.561563,-37.310291,-38.912578,-36.699252,-35.999679,-38.032763,-36.714240,-37.898325,-37.688074,-36.399569,-40.920489,-41.395122,-42.630671,-40.919330,-41.815986,-39.883510,-38.185892,-40.251466,-40.496380,-37.222970,-36.729113,-37.196739,-37.284641,-34.790755,-42.851268,-42.259963,-42.624278,-43.792688,-46.114218,-42.387287,-42.757902,-48.761775,-46.437961,-44.889844,-55.005089,-53.692642,-49.643326,-48.139339,-50.800450,-53.851647,-49.217937,-50.485187,-53.811301,-49.997656,-47.302668,-48.807150,-46.504006,-47.570922,-46.954415,-51.549125,-58.478215,-48.976077,-66.634229,-55.776198,-49.560817,-45.320855,-47.702472,-62.133963,-57.508601,-52.031373,-55.208727,-56.629924,-48.155324,-56.191125,-50.932408,-51.528993,-49.530718,-47.580144,-48.366923,-52.114614,-51.757087,-46.063584,-53.751389,-61.576198,-52.856054,-62.728488,-73.875286,-51.600881,-49.141595,-47.706502,-52.633707,-64.048334,-53.261424,-53.188985,-50.465645,-51.496406,-55.309938,-54.252433,-59.000180,-50.304251,-72.736675,-57.501399,-49.639790,-50.069875,-50.248602,-47.273023,-43.407822,-46.609036,-45.028074,-40.525257,-43.289968,-44.742868,-43.552111,-44.425923,-42.859451,-45.054391,-46.271307,-42.050893,-42.355578,-46.136510,0,Fileset 1: TS pulse compressed wideband pings T3
