Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,Variable_index,Variable_name
Ping_index,3384,3385,3386,3387,3388,3389,3390,3391,3392,3393,3394,3395,3396,3397,3398,3399,3400,3401,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3413,3414,3415,3416,3417,3418,3419,3420,3421,3422,3424,3425,3426,3427,3428,9718,9719,9720,9721,9722,9723,9724,9725,9726,9727,9728,9729,9730,9731,9732,9733,9734,9735,9736,9737,9738,9739,9740,9741,9742,9743,9744,9745,9746,9747,9748,9751,9752,9753,9754,9755,9756,9757,9760,9761,9762,9763,9764,10159,10160,10165,10166,10167,10169,10171,10172,10173,10174,10175,10176,10177,10178,10180,10181,10184,10185,10186,10187,10188,10189,10191,10197,10199,10200,10201,10202,10203,10204,10205,10206,10207,10208,10209,10210,10211,10212,10213,10214,10215,10216,10218,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,15:11:04,15:11:05,15:11:05,15:11:05,15:11:05,15:11:05,15:11:06,15:11:06,15:11:06,15:11:06,15:11:06,15:11:07,15:11:07,15:11:07,15:11:07,15:11:07,15:11:08,15:11:08,15:11:08,15:11:08,15:11:08,15:11:09,15:11:09,15:11:09,15:11:09,15:11:09,15:11:10,15:11:10,15:11:10,15:11:10,15:11:10,15:11:11,15:11:11,15:11:11,15:11:11,15:11:11,15:11:12,15:11:12,15:11:12,15:11:12,15:11:13,15:11:13,15:11:13,15:11:13,15:31:50,15:31:50,15:31:50,15:31:51,15:31:51,15:31:51,15:31:51,15:31:51,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:52,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:53,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:54,15:31:55,15:31:55,15:31:55,15:31:55,15:31:55,15:31:56,15:31:56,15:31:56,15:31:56,15:31:57,15:31:57,15:31:57,15:31:58,15:31:58,15:31:58,15:31:58,15:31:58,15:33:09,15:33:09,15:33:10,15:33:10,15:33:10,15:33:11,15:33:11,15:33:11,15:33:11,15:33:11,15:33:12,15:33:12,15:33:12,15:33:12,15:33:12,15:33:13,15:33:13,15:33:13,15:33:14,15:33:14,15:33:14,15:33:14,15:33:15,15:33:16,15:33:16,15:33:16,15:33:16,15:33:17,15:33:17,15:33:17,15:33:17,15:33:17,15:33:18,15:33:18,15:33:18,15:33:18,15:33:18,15:33:19,15:33:19,15:33:19,15:33:19,15:33:19,15:33:20,
Ping_milliseconds,903.0,102.0,313.0,502.0,702.0,903.0,102.0,303.0,503.0,702.0,902.0,103.0,304.0,503.0,702.0,902.0,113.0,304.0,502.0,702.0,902.0,103.0,301.0,503.0,703.0,902.0,103.0,302.0,503.0,703.0,903.0,103.0,302.0,502.0,702.0,902.0,113.0,303.0,503.0,902.0,103.0,302.0,503.0,703.0,603.0,703.0,902.0,102.0,201.0,402.0,611.0,803.0,003.0,203.0,403.0,504.0,702.0,903.0,102.0,302.0,502.0,602.0,702.0,902.0,102.0,202.0,304.0,503.0,601.0,802.0,013.0,202.0,403.0,603.0,804.0,303.0,503.0,703.0,801.0,003.0,203.0,403.0,002.0,212.0,403.0,602.0,803.0,012.0,202.0,202.0,402.0,602.0,003.0,401.0,502.0,601.0,803.0,002.0,213.0,403.0,603.0,904.0,103.0,702.0,903.0,103.0,302.0,502.0,703.0,103.0,201.0,503.0,702.0,903.0,103.0,303.0,502.0,602.0,802.0,003.0,201.0,404.0,603.0,803.0,002.0,211.0,403.0,602.0,701.0,102.0,
Range,13.0634496000,13.0868608000,13.1219776000,13.1453888000,13.1688000000,13.1805056000,13.1922112000,13.2156224000,13.2390336000,13.2507392000,13.2741504000,13.2858560000,13.2975616000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.3209728000,13.3326784000,13.3443840000,13.3443840000,13.3560896000,13.3677952000,13.3677952000,13.3912064000,13.4029120000,13.4146176000,13.4263232000,13.4263232000,13.4263232000,13.4263232000,13.4380288000,13.4380288000,13.4497344000,13.4614400000,13.4731456000,13.4731456000,13.4731456000,13.4848512000,13.5082624000,13.5199680000,13.5433792000,13.5667904000,13.2858560000,13.2858560000,13.2858560000,13.2858560000,13.2741504000,13.2741504000,13.2741504000,13.2858560000,13.3092672000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.3209728000,13.3209728000,13.3092672000,13.3092672000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.2975616000,13.3092672000,13.3092672000,13.2975616000,13.2039168000,13.1805056000,13.1688000000,13.1688000000,13.1805056000,13.1102720000,13.0868608000,13.0634496000,13.0634496000,13.0634496000,13.0517440000,13.0517440000,12.8761600000,12.8761600000,12.8995712000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9112768000,12.9112768000,12.9112768000,12.9229824000,12.9229824000,12.9229824000,12.9229824000,12.9346880000,12.9346880000,12.9229824000,12.9346880000,12.9580992000,12.9346880000,12.9229824000,12.9229824000,12.9346880000,12.9698048000,12.9932160000,12.9932160000,12.9932160000,13.0049216000,13.0049216000,13.0166272000,13.0166272000,13.0400384000,13.0517440000,13.0517440000,13.0634496000,13.0751552000,13.0868608000,13.0985664000,13.0985664000,13.0985664000,13.1102720000,13.1219776000,13.1336832000,
Depth,13.0483092479,13.0770865027,13.1107019354,13.1303303111,13.1526026363,13.1681611044,13.1852695281,13.2103695590,13.2325166324,13.2413511937,13.2645670371,13.2779315012,13.2915176153,13.3046632027,13.3175650528,13.3176986566,13.3062191401,13.3070379021,13.3189576203,13.3299452979,13.3414256768,13.3420816651,13.3550319113,13.3673180025,13.3672272041,13.3908563601,13.4028156605,13.4146049665,13.4262978993,13.4262587503,13.4258055948,13.4252301399,13.4358261470,13.4356142320,13.4476840440,13.4593150578,13.4699916095,13.4686104208,13.4679445773,13.4757214049,13.4965918446,13.5061641736,13.5281744981,13.5511606075,13.2695422573,13.2728105802,13.2777815731,13.2756655114,13.2619655561,13.2634776616,13.2683638688,13.2804137832,13.3008741019,13.3112240015,13.3020775039,13.3033018773,13.2919280203,13.2911468493,13.2894340539,13.3031822350,13.3037566748,13.3146588849,13.3127711685,13.2998569999,13.3000462046,13.2891068989,13.2900695205,13.2901059408,13.2895135293,13.2861063657,13.2842489015,13.2889126139,13.3062985418,13.3076234311,13.2935108524,13.1961876824,13.1735565895,13.1620014049,13.1628071964,13.1777959699,13.1084264424,13.0835631834,13.0594944237,13.0597458277,13.0558924330,13.0417787172,13.0418491354,12.8657437712,12.8629697701,12.8884404888,12.8981840052,12.8963214774,12.8992995135,12.9160070671,12.9040159341,12.9039474968,12.9015652686,12.9108717907,12.9146891357,12.9191590892,12.9195391675,12.9293377008,12.9309220770,12.9218706535,12.9336527986,12.9565556897,12.9333680002,12.9211353380,12.9212842109,12.9322885200,12.9655817049,12.9908394683,12.9928576667,12.9931826331,13.0044971164,13.0030634562,13.0147753619,13.0141095314,13.0360066369,13.0473234598,13.0480390871,13.0608003316,13.0718163727,13.0849276241,13.0975238271,13.0952752084,13.0916776164,13.1036534989,13.1158318473,13.1211520229,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3",
45.000,-45.588248,-44.153219,-44.551840,-45.372189,-45.738339,-48.439845,-41.392161,-39.676490,-39.632159,-37.638913,-37.949770,-40.058304,-42.015281,-43.778231,-44.266068,-45.042501,-44.284047,-44.998583,-43.737180,-41.081924,-41.495919,-40.495785,-39.332978,-38.232384,-37.417801,-36.800583,-37.447076,-39.812009,-41.075086,-41.874299,-42.931910,-43.265429,-46.005180,-43.755849,-44.389208,-46.694306,-46.212740,-45.036952,-41.865988,-40.595476,-39.918203,-40.684708,-38.758278,-38.263968,-48.549069,-48.308343,-48.282921,-46.766717,-47.908861,-48.065278,-49.664626,-49.196948,-49.783978,-52.069364,-52.880700,-56.687912,-56.225197,-53.137644,-60.470878,-56.617829,-56.408241,-52.547679,-52.051906,-53.563284,-56.921464,-52.759188,-51.119026,-51.186415,-52.065194,-55.437327,-61.591260,-56.063450,-52.759656,-54.620400,-58.010627,-59.158033,-67.697817,-57.037984,-57.523107,-65.969550,-72.485100,-60.134451,-57.487072,-58.645168,-57.665220,-55.782014,-53.208671,-59.040274,-60.108756,-55.576695,-59.481673,-58.868920,-58.803672,-54.841665,-55.118668,-55.653585,-54.156392,-55.271954,-55.598895,-54.801298,-54.297279,-53.416730,-57.377539,-54.347734,-53.627102,-52.873381,-57.705312,-54.047324,-53.476198,-59.341465,-57.993105,-51.902840,-55.499616,-53.199737,-54.535702,-51.503744,-50.756672,-48.539558,-47.327850,-46.948331,-48.770044,-47.183187,-49.500357,-47.345758,-48.667158,-49.511825,-49.277843,-50.681492,-49.740798,-53.603478,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-44.698665,-43.806230,-44.307855,-45.167823,-44.960017,-48.251778,-41.024266,-39.373010,-39.339036,-37.141132,-37.398264,-39.368711,-41.495860,-43.540756,-44.420823,-45.017378,-44.121768,-44.827845,-43.573898,-40.732883,-41.298783,-39.432651,-38.736512,-37.559856,-36.810957,-36.278214,-36.733243,-39.167474,-40.425660,-41.119676,-42.658820,-43.079452,-46.274681,-43.822596,-43.960060,-46.859494,-46.468681,-45.140157,-41.867435,-39.742016,-39.149653,-39.786492,-38.253550,-37.717674,-48.334259,-48.127378,-48.026283,-46.448276,-47.732262,-47.919665,-49.520595,-49.017182,-49.387019,-51.855973,-53.654949,-57.645779,-56.364812,-52.819633,-61.424313,-58.290261,-57.413580,-52.968358,-52.296531,-53.878766,-57.749243,-52.589649,-51.547250,-51.350198,-52.289193,-56.379934,-62.543088,-55.492878,-52.431409,-53.930920,-58.357973,-57.269212,-69.635881,-57.546444,-58.133434,-62.985733,-74.888584,-59.710435,-57.929878,-57.973013,-58.657186,-55.320537,-54.038464,-58.059994,-58.797196,-55.099637,-60.885248,-58.352919,-59.037928,-53.810319,-54.610011,-55.419242,-52.959968,-55.244861,-56.105219,-53.962514,-53.684253,-53.021206,-57.409692,-53.581378,-52.715171,-52.610974,-58.417480,-53.071127,-52.507627,-60.430934,-58.587937,-51.480573,-55.304435,-52.475182,-54.293324,-51.205387,-50.105769,-48.342229,-46.943473,-46.730921,-48.210895,-47.252161,-49.455926,-46.795782,-47.987274,-48.989887,-48.984574,-50.496562,-49.736469,-53.794592,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-43.975813,-43.566417,-44.227235,-44.815587,-44.337462,-47.704772,-40.805992,-39.231100,-39.082081,-36.707922,-37.050935,-38.898486,-40.860371,-43.378665,-44.858601,-45.410753,-43.858695,-44.651272,-43.475875,-40.544613,-41.306417,-38.506364,-38.218200,-37.130024,-36.125303,-35.997356,-36.301333,-38.712125,-40.016488,-40.598209,-42.759717,-43.068752,-46.671565,-44.033384,-43.767798,-47.429240,-47.120370,-45.399130,-42.040897,-39.157469,-38.623028,-38.852600,-37.764223,-37.376945,-48.193409,-48.208364,-48.105573,-46.406398,-47.682397,-47.994824,-49.668126,-48.826481,-49.137491,-51.782544,-54.765613,-58.947759,-56.799604,-52.512834,-62.658845,-60.810345,-58.613687,-53.478939,-52.777259,-54.818265,-58.877307,-52.462347,-51.806044,-51.783444,-52.636130,-57.794768,-64.783773,-55.413281,-52.304148,-53.343116,-58.806654,-56.408691,-70.430951,-58.316083,-58.719512,-60.701447,-69.823645,-59.048546,-58.447733,-57.344798,-59.542158,-55.271644,-55.278093,-57.283887,-57.926383,-54.571363,-62.033513,-57.488802,-58.595852,-52.941581,-54.151794,-55.005315,-52.043186,-55.561082,-57.008097,-53.706465,-53.462852,-52.776276,-57.365356,-52.975547,-52.077675,-52.219545,-59.557112,-52.421454,-51.800718,-61.021070,-58.789447,-51.174166,-55.712167,-52.247245,-54.384622,-51.234710,-49.510474,-48.051970,-46.800186,-46.748923,-47.790533,-47.693869,-49.588823,-46.476614,-47.568773,-48.687544,-48.885912,-50.190233,-49.850719,-54.084940,0,Fileset 1: TS pulse compressed wideband pings T1
