Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Variable_index,Variable_name
Ping_index,1358,1359,1360,1361,1362,1365,1366,1367,1368,1369,1370,1371,1372,1373,1375,1376,1377,1378,1379,1382,1383,1384,1386,1387,1388,1389,1394,1395,1396,1397,1398,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,19:03:10,19:03:10,19:03:11,19:03:11,19:03:11,19:03:12,19:03:12,19:03:12,19:03:12,19:03:12,19:03:13,19:03:13,19:03:13,19:03:13,19:03:14,19:03:14,19:03:14,19:03:14,19:03:14,19:03:16,19:03:16,19:03:16,19:03:16,19:03:17,19:03:17,19:03:17,19:03:18,19:03:18,19:03:18,19:03:19,19:03:19,
Ping_milliseconds,712.0,917.0,111.0,324.0,511.0,112.0,311.0,511.0,715.0,925.0,111.0,321.0,526.0,714.0,118.0,310.0,524.0,711.0,917.0,010.0,211.0,427.0,811.0,011.0,209.0,417.0,416.0,612.0,821.0,022.0,212.0,
Range,8.5450880000,8.5333824000,8.5216768000,8.5333824000,8.5450880000,8.5684992000,8.5684992000,8.5567936000,8.5567936000,8.5567936000,8.5567936000,8.5802048000,8.6036160000,8.6036160000,8.5802048000,8.5684992000,8.5684992000,8.5802048000,8.6036160000,8.6036160000,8.5919104000,8.5919104000,8.6270272000,8.6270272000,8.6270272000,8.6387328000,8.6270272000,8.6153216000,8.5919104000,8.5919104000,8.6036160000,
Depth,8.5403849678,8.5273711085,8.5130001958,8.5252371179,8.5344327018,8.5605274765,8.5641670618,8.5545423105,8.5542754354,8.5532246726,8.5508111576,8.5704062358,8.5930592269,8.5959863523,8.5795983281,8.5682284869,8.5664945589,8.5762362843,8.5946588814,8.6012589335,8.5904497132,8.5895929076,8.6187184798,8.6176938815,8.6182185430,8.6280068038,8.6174595756,8.6087516220,8.5881193662,8.5883562854,8.5965100201,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2",
160.000,-54.188628,-62.157074,-60.177141,-61.927370,-57.725197,-63.630780,-63.003164,-62.543480,-57.353706,-67.895405,-62.412552,-73.182369,-68.217866,-60.431149,-64.550135,-57.655650,-79.677396,-61.963265,-61.652914,-69.523354,-59.884900,-65.146760,-56.229266,-60.083778,-55.135734,-59.769617,-53.289068,-56.701411,-71.005018,-64.980912,-58.608049,0,Fileset 1: TS pulse compressed wideband pings T2
160.500,-55.128603,-67.536450,-60.717545,-60.157298,-57.516725,-63.471442,-65.085051,-63.978916,-57.643932,-64.831940,-62.596374,-64.768399,-72.118667,-57.610537,-73.555389,-59.570393,-76.133388,-61.064625,-66.681325,-61.238216,-57.365381,-63.388647,-58.210228,-59.693829,-56.416127,-62.281376,-54.228686,-55.533797,-64.458725,-64.487575,-65.917554,0,Fileset 1: TS pulse compressed wideband pings T2
161.000,-56.481959,-69.957520,-60.219334,-59.300007,-57.657201,-62.100337,-68.582357,-63.236969,-57.896746,-62.281896,-63.614781,-61.938424,-73.733880,-56.459790,-63.389375,-63.829690,-68.202800,-60.594852,-69.372810,-57.466810,-58.395055,-58.940178,-61.918089,-59.579654,-59.260281,-59.342021,-55.460981,-55.698368,-61.624921,-57.885121,-63.228134,0,Fileset 1: TS pulse compressed wideband pings T2
161.500,-57.160967,-63.997224,-59.286632,-58.655341,-58.151303,-60.423833,-72.305559,-60.987340,-59.217510,-60.559590,-65.300995,-60.560357,-70.322216,-57.305414,-59.373532,-65.991940,-62.966543,-60.876520,-61.199628,-56.975123,-61.861422,-57.654681,-66.921129,-58.259900,-61.759272,-56.356329,-56.322888,-55.852016,-60.224047,-54.580292,-57.737802,0,Fileset 1: TS pulse compressed wideband pings T2
162.000,-56.617310,-60.796500,-58.837256,-57.930400,-58.922334,-59.103092,-73.143201,-59.676272,-60.917201,-59.521419,-67.317615,-59.478082,-66.117100,-60.150316,-58.903963,-64.131124,-60.579101,-62.151823,-59.076194,-58.277325,-68.123942,-58.182414,-63.876997,-55.597869,-61.367796,-54.155750,-56.109817,-55.433019,-60.049361,-53.828783,-55.561949,0,Fileset 1: TS pulse compressed wideband pings T2
162.500,-55.207753,-59.195849,-59.088069,-57.134244,-59.755414,-58.321221,-71.087329,-60.121759,-60.289002,-59.102765,-69.382028,-58.726360,-63.465915,-64.404586,-61.649705,-63.608235,-60.473397,-63.906527,-60.361338,-60.296787,-77.987125,-59.230339,-58.748603,-53.925614,-58.645902,-52.347705,-54.364516,-55.073399,-60.905888,-54.939316,-56.058306,0,Fileset 1: TS pulse compressed wideband pings T2
163.000,-53.879069,-58.367110,-59.579053,-56.358484,-60.307185,-57.858808,-68.902355,-62.380146,-58.769512,-59.289554,-71.039809,-58.756367,-62.150663,-68.140256,-68.683879,-62.906066,-62.104622,-65.041037,-64.357176,-62.173425,-63.593230,-60.301920,-55.636022,-53.752020,-55.945370,-51.349990,-52.606418,-54.752553,-62.292974,-56.929181,-59.285122,0,Fileset 1: TS pulse compressed wideband pings T2
163.500,-53.407141,-58.190312,-59.623566,-55.722794,-60.338936,-57.352637,-67.914693,-65.917458,-58.201973,-60.026105,-71.852868,-59.663923,-61.423071,-69.671016,-69.852003,-61.258128,-64.342309,-65.323797,-68.721287,-61.513811,-58.721043,-62.159466,-53.956482,-54.633787,-54.462040,-51.418924,-51.949226,-54.085178,-63.798338,-58.432323,-65.700674,0,Fileset 1: TS pulse compressed wideband pings T2
164.000,-54.021928,-58.858725,-58.980722,-55.319552,-59.974319,-56.710323,-68.123243,-68.651274,-58.220883,-61.184405,-72.123434,-61.035130,-60.514740,-66.228390,-67.560298,-60.157759,-64.956578,-64.383472,-69.912772,-58.254143,-57.192234,-64.784031,-53.279139,-55.765680,-54.196634,-52.244841,-52.400857,-53.399428,-64.874364,-59.445829,-73.371587,0,Fileset 1: TS pulse compressed wideband pings T2
164.500,-55.590750,-60.578584,-58.005862,-55.151499,-59.533465,-56.129097,-68.659452,-69.207105,-58.168003,-62.604833,-71.915252,-61.966689,-59.060464,-62.768880,-73.311034,-59.974982,-62.904805,-62.244228,-71.046263,-55.727714,-57.870495,-65.677785,-53.316148,-56.252629,-54.703800,-52.946115,-53.517541,-53.112301,-63.859815,-60.563434,-73.352445,0,Fileset 1: TS pulse compressed wideband pings T2
165.000,-57.604884,-63.566970,-57.202120,-55.159662,-59.251693,-55.779816,-68.403269,-69.341790,-58.063526,-64.177058,-71.202998,-61.737774,-57.214420,-61.278538,-72.919187,-60.473402,-59.994868,-60.309154,-70.664072,-54.522032,-59.960167,-64.556388,-53.870583,-55.722434,-55.302313,-52.736815,-54.675571,-53.199404,-61.402838,-61.237094,-65.891449,0,Fileset 1: TS pulse compressed wideband pings T2
165.500,-58.958655,-68.159958,-56.899795,-55.265609,-59.232535,-55.669046,-67.637766,-70.027968,-58.340778,-65.903512,-70.742606,-60.620905,-55.391507,-61.325557,-62.890464,-61.573459,-57.722935,-59.304422,-68.413711,-54.334724,-61.016807,-63.731904,-54.802263,-54.730751,-55.338272,-51.940575,-55.269379,-53.359943,-59.568452,-61.167767,-60.867106,0,Fileset 1: TS pulse compressed wideband pings T2
166.000,-58.680113,-74.618518,-57.197000,-55.354285,-59.502245,-55.670250,-67.209807,-72.016169,-59.288162,-67.735371,-71.260727,-59.223373,-53.966891,-62.075749,-59.475776,-63.400936,-56.510691,-59.240643,-66.568253,-54.773166,-59.429016,-63.259658,-55.952410,-54.120096,-54.728153,-51.209690,-54.960477,-53.296782,-58.954740,-60.982979,-58.999177,0,Fileset 1: TS pulse compressed wideband pings T2
166.500,-57.359945,-77.552600,-57.987810,-55.269795,-60.042011,-55.617227,-67.076555,-76.753235,-61.019443,-68.722584,-72.962552,-57.973775,-53.131796,-62.624814,-58.696439,-65.884275,-56.305791,-59.839330,-64.902035,-55.508783,-57.728977,-62.434216,-56.967430,-54.379239,-53.971152,-50.823594,-54.221898,-52.894905,-59.521330,-60.613407,-59.947105,0,Fileset 1: TS pulse compressed wideband pings T2
167.000,-56.170280,-74.322163,-59.080001,-54.940877,-60.783837,-55.425183,-66.627134,-89.055632,-63.575996,-67.172233,-75.681321,-57.156937,-52.887458,-62.986741,-59.402936,-68.523708,-56.822179,-60.736056,-63.278842,-56.354487,-56.967008,-61.047712,-57.226089,-55.594514,-53.602997,-50.816600,-54.023806,-52.215970,-60.928456,-59.609535,-64.402473,0,Fileset 1: TS pulse compressed wideband pings T2
167.500,-55.707328,-71.671997,-60.426160,-54.469829,-61.606222,-55.131528,-65.557275,-89.537520,-66.839896,-64.256689,-79.652993,-56.913567,-53.101906,-63.590248,-60.427016,-69.752171,-57.683402,-61.621075,-61.761783,-57.199075,-57.271039,-59.496884,-56.490671,-57.473379,-53.883059,-51.003371,-54.969261,-51.444847,-62.429301,-58.159933,-79.950379,0,Fileset 1: TS pulse compressed wideband pings T2
