Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Variable_index,Variable_name
Ping_index,1358,1359,1360,1361,1362,1365,1366,1367,1368,1369,1370,1371,1372,1373,1375,1376,1377,1378,1379,1382,1383,1384,1386,1387,1388,1389,1394,1395,1396,1397,1398,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,19:03:10,19:03:10,19:03:11,19:03:11,19:03:11,19:03:12,19:03:12,19:03:12,19:03:12,19:03:12,19:03:13,19:03:13,19:03:13,19:03:13,19:03:14,19:03:14,19:03:14,19:03:14,19:03:14,19:03:16,19:03:16,19:03:16,19:03:16,19:03:17,19:03:17,19:03:17,19:03:18,19:03:18,19:03:18,19:03:19,19:03:19,
Ping_milliseconds,712.0,917.0,111.0,324.0,511.0,112.0,311.0,511.0,715.0,925.0,111.0,321.0,526.0,714.0,118.0,310.0,524.0,711.0,917.0,010.0,211.0,427.0,811.0,011.0,209.0,417.0,416.0,612.0,821.0,022.0,212.0,
Range,8.5450880000,8.5333824000,8.5216768000,8.5333824000,8.5450880000,8.5684992000,8.5684992000,8.5567936000,8.5567936000,8.5567936000,8.5567936000,8.5802048000,8.6036160000,8.6036160000,8.5802048000,8.5684992000,8.5684992000,8.5802048000,8.6036160000,8.6036160000,8.5919104000,8.5919104000,8.6270272000,8.6270272000,8.6270272000,8.6387328000,8.6270272000,8.6153216000,8.5919104000,8.5919104000,8.6036160000,
Depth,8.5403849678,8.5273711085,8.5130001958,8.5252371179,8.5344327018,8.5605274765,8.5641670618,8.5545423105,8.5542754354,8.5532246726,8.5508111576,8.5704062358,8.5930592269,8.5959863523,8.5795983281,8.5682284869,8.5664945589,8.5762362843,8.5946588814,8.6012589335,8.5904497132,8.5895929076,8.6187184798,8.6176938815,8.6182185430,8.6280068038,8.6174595756,8.6087516220,8.5881193662,8.5883562854,8.5965100201,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2",
45.000,-55.058421,-56.696771,-52.036584,-60.571441,-55.648339,-51.526008,-57.318008,-54.489088,-54.848872,-58.880990,-55.381846,-52.935679,-51.529839,-54.546664,-51.638381,-54.064678,-52.451328,-52.368697,-52.484793,-53.890866,-54.891678,-58.696711,-52.723370,-58.824543,-59.825557,-59.351502,-56.958080,-56.264700,-52.891076,-55.861233,-54.312055,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-53.944125,-57.244682,-52.027262,-60.831850,-54.560304,-50.737972,-56.974512,-54.303136,-53.610428,-58.509971,-55.441322,-52.492458,-50.869567,-53.323859,-50.675324,-53.661332,-52.380168,-51.321485,-51.305158,-53.437822,-55.433714,-56.801149,-51.643033,-57.287444,-60.412265,-58.546980,-56.840989,-55.227780,-51.967909,-55.721474,-54.626390,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-52.947843,-58.200131,-51.993521,-60.633275,-53.584917,-50.079496,-56.091786,-54.125030,-52.457223,-58.148765,-55.838885,-52.136836,-50.397861,-52.202612,-49.949382,-53.493462,-52.338801,-50.433699,-50.362463,-53.125222,-56.140847,-54.897943,-50.717555,-55.705324,-60.878900,-57.542278,-56.428055,-54.244821,-51.153962,-56.094908,-55.040050,0,Fileset 1: TS pulse compressed wideband pings T1
46.500,-51.663995,-59.048149,-51.770995,-59.727934,-52.373531,-49.264608,-54.349291,-53.505608,-51.001852,-57.567320,-56.244594,-51.604897,-49.870635,-51.036904,-49.192704,-53.241714,-52.087653,-49.371631,-49.355006,-52.510690,-56.227889,-53.200352,-49.689995,-54.172638,-61.159484,-56.301342,-55.291580,-52.968856,-50.163969,-56.440638,-55.131159,0,Fileset 1: TS pulse compressed wideband pings T1
47.000,-50.683717,-59.985212,-51.963952,-58.717537,-51.539722,-48.899801,-52.683459,-52.941884,-49.869308,-57.471196,-57.071606,-51.535284,-49.966885,-50.466995,-48.960923,-53.563084,-52.265072,-48.779254,-48.895176,-52.110054,-55.721057,-52.405758,-49.227797,-53.401206,-61.748078,-55.605642,-54.139425,-52.043432,-49.585569,-56.824874,-55.225828,0,Fileset 1: TS pulse compressed wideband pings T1
47.500,-49.672406,-60.426052,-52.118200,-57.239887,-50.711056,-48.594954,-51.022429,-52.073368,-48.752055,-57.340400,-57.471399,-51.551990,-50.327180,-50.046634,-48.778991,-54.084055,-52.408096,-48.308590,-48.593192,-51.519933,-54.317574,-51.997601,-48.976516,-52.907006,-61.408892,-55.078493,-52.806336,-51.166760,-49.002798,-56.248891,-54.756768,0,Fileset 1: TS pulse compressed wideband pings T1
48.000,-48.944623,-60.761913,-52.452568,-55.741209,-50.127013,-48.602930,-49.770982,-51.261411,-47.960605,-57.089956,-57.187818,-51.895037,-51.163430,-49.941374,-48.828618,-54.904488,-52.594445,-48.205440,-48.673910,-51.022106,-52.829990,-52.041680,-49.169204,-52.791361,-60.129025,-54.922776,-51.717689,-50.659693,-48.648829,-54.985208,-54.060480,0,Fileset 1: TS pulse compressed wideband pings T1
48.500,-48.320090,-60.969981,-52.778505,-54.241426,-49.554008,-48.724430,-48.755258,-50.406887,-47.301135,-56.363157,-56.066577,-52.343533,-52.198126,-49.880380,-48.866683,-55.495036,-52.493892,-48.222089,-48.889233,-50.446196,-51.418608,-52.206618,-49.554214,-52.748938,-58.536411,-54.900559,-50.754805,-50.339280,-48.309100,-53.374763,-53.138855,0,Fileset 1: TS pulse compressed wideband pings T1
49.000,-47.748079,-61.100558,-53.076118,-52.818953,-48.939300,-48.937966,-47.915536,-49.547543,-46.724587,-55.292278,-54.552894,-52.868404,-53.338143,-49.796595,-48.845445,-55.488959,-52.100470,-48.277414,-49.169640,-49.779197,-50.162196,-52.418894,-50.062956,-52.706950,-57.131930,-54.955522,-49.912029,-50.163320,-47.946447,-51.766617,-52.125934,0,Fileset 1: TS pulse compressed wideband pings T1
49.500,-47.254696,-61.207647,-53.382763,-51.564338,-48.350347,-49.325463,-47.276325,-48.792522,-46.276729,-54.156361,-53.051434,-53.572848,-54.611509,-49.754695,-48.839646,-54.842477,-51.594484,-48.404510,-49.564028,-49.097097,-49.129495,-52.758475,-50.759332,-52.726907,-56.061251,-55.122665,-49.254788,-50.181814,-47.632587,-50.340593,-51.188515,0,Fileset 1: TS pulse compressed wideband pings T1
50.000,-46.758515,-61.151339,-53.587553,-50.429944,-47.765136,-49.853959,-46.758153,-48.128546,-45.899482,-53.011680,-51.640543,-54.484640,-55.907167,-49.743404,-48.841101,-53.654803,-51.022446,-48.548636,-50.025179,-48.373785,-48.251252,-53.210214,-51.629807,-52.785395,-55.226215,-55.327505,-48.726929,-50.341489,-47.344320,-49.051493,-50.342974,0,Fileset 1: TS pulse compressed wideband pings T1
50.500,-46.435105,-60.946290,-53.815564,-49.593298,-47.405289,-50.702156,-46.526668,-47.768383,-45.773659,-52.054947,-50.537697,-55.893549,-57.200869,-50.008645,-49.093651,-52.346216,-50.596630,-48.908759,-50.732884,-47.837905,-47.691661,-53.963813,-52.903012,-53.109297,-54.754999,-55.743062,-48.497193,-50.832456,-47.304079,-48.069264,-49.813942,0,Fileset 1: TS pulse compressed wideband pings T1
51.000,-46.176352,-60.270904,-53.932070,-48.908097,-47.173450,-51.697307,-46.442705,-47.598795,-45.767489,-51.137865,-49.621053,-57.803743,-57.974581,-50.483009,-49.528317,-50.998985,-50.169934,-49.382145,-51.525894,-47.419437,-47.306186,-54.822309,-54.460772,-53.605382,-54.473040,-56.236516,-48.411329,-51.539375,-47.421793,-47.264112,-49.486728,0,Fileset 1: TS pulse compressed wideband pings T1
51.500,-46.093266,-59.198102,-54.070624,-48.427501,-47.160977,-52.829364,-46.574581,-47.696377,-45.954252,-50.338762,-48.964575,-60.484632,-58.097215,-51.287484,-50.270701,-49.841212,-49.807645,-50.071075,-52.421279,-47.246453,-47.157222,-55.715286,-56.309841,-54.362121,-54.410298,-56.869882,-48.514569,-52.558387,-47.802779,-46.721972,-49.426963,0,Fileset 1: TS pulse compressed wideband pings T1
52.000,-46.083036,-57.854215,-54.178647,-48.007462,-47.240197,-53.850405,-46.784084,-47.925294,-46.205174,-49.562800,-48.429112,-64.187342,-57.732622,-52.326772,-51.234744,-48.827025,-49.409734,-50.863854,-53.236527,-47.220425,-47.102254,-56.349192,-58.139640,-55.248814,-54.388837,-57.475097,-48.651529,-53.789635,-48.337197,-46.322136,-49.483996,0,Fileset 1: TS pulse compressed wideband pings T1
52.500,-46.086021,-56.428090,-54.235864,-47.580307,-47.342606,-54.558381,-46.993374,-48.216212,-46.457273,-48.779743,-47.933042,-69.892028,-57.237858,-53.575613,-52.402252,-47.916278,-48.961942,-51.699513,-53.893427,-47.287367,-47.062143,-56.550292,-59.614216,-56.192018,-54.304294,-57.902043,-48.742618,-55.208878,-48.975858,-45.999346,-49.574990,0,Fileset 1: TS pulse compressed wideband pings T1
