Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,Variable_index,Variable_name
Ping_index,4628,4629,4630,4631,4636,4637,4638,4639,4640,4641,4647,4648,4649,4650,4655,4656,4657,4658,5984,5985,5986,5991,5992,5993,5995,5996,5997,5998,6000,6001,6002,6003,6004,6006,6007,6954,6958,6959,6960,6961,6963,6965,6967,6968,6969,6970,6971,6972,6973,6974,6975,6976,6977,6978,6979,6980,6982,6983,6985,6986,6987,6988,6989,6990,6992,6993,6995,6996,6997,6998,6999,7000,7001,7002,7003,7004,7005,7006,7008,7009,7010,7013,7014,7015,7016,7021,7022,7023,7024,7025,7031,7032,7039,7040,7041,7042,7043,7044,7045,7046,7047,7048,7049,7050,7051,7052,7053,7054,7055,7056,7057,7058,7062,7063,7064,7066,7067,7070,7071,7072,7073,7074,7077,7079,7080,7081,7085,7086,7493,7494,7495,7496,7497,7498,7503,7504,7507,7513,7514,7515,7516,7517,8080,8081,8084,8089,8090,8091,8092,8093,8094,8097,8099,8100,8103,8108,8109,8110,8111,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,22:45:41,22:45:41,22:45:41,22:45:41,22:45:42,22:45:43,22:45:43,22:45:43,22:45:43,22:45:43,22:45:45,22:45:45,22:45:45,22:45:45,22:45:46,22:45:46,22:45:47,22:45:47,22:50:12,22:50:12,22:50:13,22:50:14,22:50:14,22:50:14,22:50:14,22:50:15,22:50:15,22:50:15,22:50:15,22:50:16,22:50:16,22:50:16,22:50:16,22:50:17,22:50:17,22:53:26,22:53:27,22:53:27,22:53:28,22:53:28,22:53:28,22:53:29,22:53:29,22:53:29,22:53:29,22:53:30,22:53:30,22:53:30,22:53:30,22:53:30,22:53:31,22:53:31,22:53:31,22:53:31,22:53:31,22:53:32,22:53:32,22:53:32,22:53:33,22:53:33,22:53:33,22:53:33,22:53:33,22:53:34,22:53:34,22:53:34,22:53:35,22:53:35,22:53:35,22:53:35,22:53:35,22:53:36,22:53:36,22:53:36,22:53:36,22:53:36,22:53:37,22:53:37,22:53:37,22:53:37,22:53:38,22:53:38,22:53:38,22:53:39,22:53:39,22:53:40,22:53:40,22:53:40,22:53:40,22:53:41,22:53:42,22:53:42,22:53:43,22:53:44,22:53:44,22:53:44,22:53:44,22:53:44,22:53:45,22:53:45,22:53:45,22:53:45,22:53:45,22:53:46,22:53:46,22:53:46,22:53:46,22:53:46,22:53:47,22:53:47,22:53:47,22:53:47,22:53:48,22:53:48,22:53:48,22:53:49,22:53:49,22:53:50,22:53:50,22:53:50,22:53:50,22:53:50,22:53:51,22:53:51,22:53:52,22:53:52,22:53:53,22:53:53,22:55:14,22:55:14,22:55:15,22:55:15,22:55:15,22:55:15,22:55:16,22:55:16,22:55:17,22:55:18,22:55:18,22:55:19,22:55:19,22:55:19,22:57:12,22:57:12,22:57:12,22:57:13,22:57:14,22:57:14,22:57:14,22:57:14,22:57:14,22:57:15,22:57:15,22:57:16,22:57:16,22:57:17,22:57:17,22:57:18,22:57:18,
Ping_milliseconds,264.0,464.0,665.0,862.0,864.0,064.0,264.0,464.0,664.0,864.0,064.0,264.0,464.0,664.0,664.0,863.0,064.0,274.0,764.0,962.0,163.0,163.0,365.0,564.0,964.0,164.0,365.0,564.0,964.0,164.0,364.0,564.0,765.0,165.0,365.0,864.0,663.0,864.0,064.0,264.0,662.0,063.0,464.0,673.0,864.0,063.0,261.0,464.0,664.0,864.0,064.0,263.0,464.0,662.0,864.0,064.0,474.0,664.0,074.0,264.0,464.0,665.0,864.0,064.0,465.0,664.0,064.0,264.0,464.0,664.0,864.0,064.0,262.0,462.0,662.0,864.0,064.0,262.0,664.0,864.0,064.0,664.0,864.0,064.0,264.0,263.0,463.0,664.0,864.0,063.0,264.0,475.0,864.0,064.0,264.0,464.0,663.0,864.0,064.0,265.0,464.0,664.0,864.0,063.0,264.0,465.0,664.0,862.0,064.0,264.0,464.0,664.0,464.0,663.0,865.0,264.0,463.0,064.0,263.0,465.0,664.0,864.0,464.0,864.0,065.0,262.0,064.0,264.0,664.0,865.0,065.0,264.0,462.0,664.0,665.0,864.0,464.0,665.0,864.0,064.0,263.0,465.0,175.0,365.0,964.0,965.0,164.0,364.0,564.0,764.0,975.0,564.0,974.0,164.0,764.0,764.0,964.0,164.0,364.0,
Range,12.1152960000,12.1152960000,12.1270016000,12.1387072000,12.1387072000,12.1270016000,12.1270016000,12.1504128000,12.1504128000,12.1621184000,12.1035904000,12.0918848000,12.0216512000,12.0918848000,11.9982400000,12.0684736000,12.0567680000,12.0567680000,11.4129600000,11.4363712000,11.4597824000,11.6002496000,11.6236608000,11.6353664000,11.6704832000,11.7173056000,11.7407168000,11.7524224000,11.7875392000,11.8109504000,11.8343616000,11.8577728000,11.8928896000,11.9982400000,11.9865344000,11.7407168000,11.8226560000,11.9163008000,11.8577728000,11.9397120000,11.9514176000,12.0099456000,12.1152960000,12.0918848000,12.0333568000,12.0333568000,12.0684736000,12.1152960000,12.1504128000,12.1855296000,12.2089408000,12.1504128000,12.1504128000,12.1504128000,12.2674688000,12.2791744000,12.2440576000,12.2557632000,12.2557632000,12.3142912000,12.3142912000,12.3142912000,12.3142912000,12.2557632000,12.3259968000,12.3611136000,12.3962304000,12.3845248000,12.4547584000,12.3377024000,12.3259968000,12.3142912000,12.3025856000,12.3142912000,12.3494080000,12.3259968000,12.4196416000,12.4196416000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.1855296000,12.2791744000,12.3025856000,12.2089408000,12.2791744000,12.2791744000,12.2791744000,12.2674688000,12.2206464000,12.2206464000,12.1972352000,12.1738240000,12.1738240000,12.1738240000,12.1855296000,12.1738240000,12.2089408000,12.2089408000,12.1972352000,12.1504128000,12.1738240000,12.1035904000,12.0918848000,12.1621184000,12.1855296000,12.2323520000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.2791744000,12.3142912000,12.3142912000,12.2908800000,12.2908800000,12.3259968000,12.3377024000,12.3377024000,12.2791744000,12.3377024000,12.3025856000,12.3494080000,12.3494080000,12.3611136000,12.3728192000,12.3494080000,12.3962304000,12.4313472000,12.4430528000,12.4313472000,12.4547584000,12.4664640000,12.5132864000,12.5015808000,12.3142912000,12.4781696000,12.4547584000,12.4547584000,12.4430528000,12.4547584000,12.0099456000,11.9982400000,11.9865344000,12.0801792000,12.0801792000,12.0684736000,12.0333568000,12.0216512000,12.0216512000,12.0918848000,12.1621184000,12.1972352000,12.3611136000,12.4313472000,12.3728192000,12.3728192000,12.3845248000,
Depth,12.1026564920,12.1044106875,12.1186300162,12.1275077835,12.1299263127,12.1229615901,12.1252337089,12.1494665435,12.1487186765,12.1563713206,12.1005910495,12.0832240311,12.0164944697,12.0810639178,11.9910366759,12.0591262905,12.0432950016,12.0436868379,11.4035312068,11.4286304926,11.4494264154,11.5931003522,11.6232282398,11.6335588498,11.6691427371,11.7091586348,11.7285477566,11.7443097625,11.7808239097,11.8019672493,11.8247239301,11.8524661856,11.8859105948,11.9850543784,11.9736389797,11.7316456996,11.8123251647,11.9062676551,11.8542639250,11.9334341371,11.9462578567,12.0015727878,12.1057055406,12.0876533259,12.0307957819,12.0291751092,12.0653265156,12.1135353120,12.1470274432,12.1803084603,12.2005003449,12.1481346563,12.1495062700,12.1500142254,12.2657069881,12.2774624359,12.2405356225,12.2527646413,12.2535209125,12.3110146737,12.3107870212,12.3125683945,12.3141561607,12.2532947622,12.3191471603,12.3579096626,12.3934069835,12.3802376548,12.4499999387,12.3349319277,12.3239023834,12.3115222752,12.2977618314,12.3073558649,12.3431155458,12.3225395326,12.4157136679,12.4091486987,12.2487638919,12.2520375755,12.1762032090,12.1845912086,12.1769861588,12.2683396032,12.2935871910,12.1953559918,12.2679431373,12.2680673972,12.2688354403,12.2535545006,12.2084836876,12.2096825456,12.1848420482,12.1638434455,12.1613559984,12.1599533036,12.1724270312,12.1612847475,12.1968407333,12.1937370859,12.1832601298,12.1383083705,12.1609336622,12.0903709065,12.0788891809,12.1501151612,12.1757956091,12.2237892719,12.2478663512,12.2488946598,12.1795622446,12.1866629729,12.2663947958,12.3046965329,12.3101595519,12.2841718001,12.2754125502,12.3145298157,12.3293832028,12.3303656299,12.2703507589,12.3224400161,12.2919199355,12.3419569815,12.3394832937,12.3456673240,12.3585799038,12.3374618739,12.3802819392,12.4208739810,12.4382746546,12.4283359498,12.4481937708,12.4539597603,12.5027880520,12.4946143553,12.3027317403,12.4662407916,12.4451045776,12.4473186303,12.4332177034,12.4399821721,11.9979498452,11.9850798678,11.9718115032,12.0656844834,12.0686303396,12.0607637530,12.0270382753,12.0108053666,12.0072030965,12.0765372040,12.1535900217,12.1909987777,12.3512900071,12.4201863147,12.3674869239,12.3679233622,12.3780954573,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
90.000,-47.059073,-48.519064,-49.485077,-51.147413,-49.552194,-49.027532,-52.947578,-50.221438,-54.463364,-51.920304,-61.985085,-60.318536,-53.069924,-62.049519,-59.786576,-48.764665,-61.911322,-55.002269,-41.082511,-39.473036,-44.844917,-38.700743,-36.170592,-50.100830,-40.404911,-47.169033,-42.623433,-50.722762,-34.784619,-32.667492,-31.622286,-36.324320,-65.626683,-39.951924,-43.883007,-43.645927,-40.448474,-44.913388,-47.128130,-49.207424,-45.966907,-45.962855,-42.296221,-40.254664,-36.785292,-43.113124,-53.788941,-48.927106,-50.065837,-35.957908,-41.618077,-41.163517,-43.608151,-40.199213,-37.085340,-48.651020,-41.695337,-49.092877,-58.264030,-57.844789,-50.961815,-60.907658,-43.871952,-43.775552,-45.575460,-49.621018,-50.989161,-58.553078,-55.518455,-55.403364,-61.696736,-48.272628,-53.094616,-48.515589,-53.932892,-54.625475,-56.666664,-44.296797,-52.374678,-49.816299,-48.993843,-48.126196,-56.491073,-59.888647,-58.238061,-51.768666,-61.807983,-46.193126,-44.941915,-50.618299,-49.275951,-50.153963,-41.685149,-42.221148,-53.578225,-48.615993,-46.294322,-47.395956,-51.195061,-49.809390,-53.238326,-54.055919,-49.676472,-61.318809,-51.572194,-49.899772,-53.862893,-46.780970,-53.946647,-48.641327,-51.622938,-48.469148,-60.676626,-50.992970,-48.877895,-55.828044,-60.615353,-44.281786,-59.533704,-44.060299,-46.682625,-45.676775,-52.510509,-57.359935,-58.062513,-41.737275,-56.561958,-57.451734,-54.614822,-54.040707,-57.190129,-62.917660,-53.598589,-63.037060,-56.588765,-53.834929,-57.389246,-57.173933,-57.505134,-55.011553,-51.407199,-45.156038,-42.180068,-52.252963,-51.783262,-75.112254,-50.845525,-52.932661,-52.590937,-53.944356,-56.974211,-56.415534,-58.936363,-48.098777,-46.546425,-50.609658,-50.318644,-56.114154,-56.010188,0,Fileset 1: TS pulse compressed wideband pings T3
90.500,-48.523790,-48.282758,-49.493309,-50.103070,-50.290041,-48.194465,-55.018870,-51.161214,-57.896339,-52.241787,-62.465838,-57.540403,-51.272331,-75.406892,-56.293114,-48.124232,-56.152963,-51.937136,-40.084479,-38.477355,-44.084743,-37.979439,-35.731887,-47.892720,-41.135336,-46.710428,-42.920683,-53.206855,-34.362316,-31.730732,-30.925507,-35.978016,-75.563457,-39.880171,-44.196207,-43.779800,-40.247629,-44.085604,-44.657273,-47.363739,-44.961115,-44.630596,-39.136727,-38.819366,-36.373469,-43.883496,-49.558388,-46.545983,-54.699005,-35.297783,-41.323268,-40.951757,-44.580257,-39.915693,-38.510451,-56.978653,-41.403099,-47.921519,-67.536216,-54.291533,-52.760555,-65.129778,-42.903767,-43.353833,-43.825662,-48.679830,-55.673617,-55.112258,-48.604018,-54.980917,-58.040238,-51.712112,-55.008971,-45.929462,-51.535551,-53.645491,-58.154398,-42.089330,-51.049541,-48.616676,-51.849203,-48.820603,-54.915967,-61.209176,-55.457658,-50.544383,-68.682463,-47.493569,-43.227020,-53.900861,-48.789273,-48.088115,-42.256071,-41.936582,-52.772006,-47.850326,-46.004917,-50.058910,-54.742869,-54.107276,-54.243533,-57.389381,-49.359673,-65.755073,-52.541030,-51.226078,-50.272552,-47.580202,-55.938453,-51.672036,-50.993873,-50.569282,-66.711470,-52.679700,-46.276765,-51.226438,-66.251934,-46.677751,-50.223293,-43.842927,-45.535505,-43.370499,-52.188386,-57.177567,-58.423478,-41.796976,-57.272833,-56.167282,-54.982375,-52.811408,-55.886226,-59.586917,-52.907240,-57.865516,-54.038299,-52.767973,-62.663135,-57.019892,-55.617786,-57.827175,-52.103494,-44.593926,-42.124716,-53.949193,-54.158952,-62.578711,-48.943864,-50.800945,-53.441320,-49.862238,-52.225486,-58.458830,-61.533907,-49.146823,-45.301884,-50.585673,-50.244399,-54.608750,-54.125966,0,Fileset 1: TS pulse compressed wideband pings T3
91.000,-47.835136,-48.750359,-50.354672,-49.789465,-51.760971,-48.437033,-54.561051,-53.389211,-62.814381,-53.625219,-62.194108,-55.590620,-49.779307,-59.504017,-53.468356,-44.617205,-50.680773,-48.711096,-39.222110,-37.575836,-43.767356,-36.689322,-35.372627,-45.534875,-42.433158,-46.363639,-43.350574,-55.457967,-33.920977,-30.619266,-30.102062,-35.673230,-85.684089,-40.268339,-44.377115,-43.983489,-40.150662,-40.787752,-42.872829,-45.098943,-44.066048,-43.292380,-36.984760,-38.521417,-36.390377,-43.635270,-46.767019,-44.310449,-54.210573,-34.755138,-40.320662,-40.613656,-46.874920,-39.493177,-39.725792,-71.890717,-41.412264,-46.482497,-56.715723,-51.808104,-55.207127,-63.283098,-42.387980,-42.979946,-42.748315,-48.073095,-57.625023,-52.354318,-46.367301,-51.323173,-52.976349,-51.437185,-63.875517,-43.874347,-48.736642,-51.151879,-52.116250,-40.881587,-49.743789,-47.488962,-55.000768,-47.201711,-53.423511,-61.019734,-52.970197,-49.389412,-67.150922,-49.800971,-42.561085,-54.824503,-47.792370,-46.436583,-44.118634,-42.276819,-50.652164,-48.126693,-46.992394,-55.682904,-58.248241,-61.251305,-54.911618,-54.205115,-49.475006,-68.309175,-54.439917,-50.260897,-47.952127,-47.871781,-58.787390,-56.047270,-52.575981,-50.844293,-57.938876,-52.586688,-44.526603,-48.946359,-62.119721,-49.954182,-46.684097,-44.281863,-44.755419,-41.734628,-52.187338,-59.557795,-54.846874,-42.186277,-56.439473,-55.809600,-54.705428,-52.618785,-54.805382,-55.867935,-52.088479,-54.630927,-51.769118,-51.553085,-75.659446,-57.344051,-54.000239,-60.278837,-54.384931,-44.838315,-41.914867,-55.958328,-53.991991,-56.248456,-47.237925,-49.443543,-55.413354,-47.506661,-49.401383,-52.818393,-52.233690,-50.286268,-44.872335,-47.957157,-51.040503,-51.772854,-51.204913,0,Fileset 1: TS pulse compressed wideband pings T3
