Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,Variable_index,Variable_name
Ping_index,4628,4629,4630,4631,4636,4637,4638,4639,4640,4641,4647,4648,4649,4650,4655,4656,4657,4658,5984,5985,5986,5991,5992,5993,5995,5996,5997,5998,6000,6001,6002,6003,6004,6006,6007,6954,6958,6959,6960,6961,6963,6965,6967,6968,6969,6970,6971,6972,6973,6974,6975,6976,6977,6978,6979,6980,6982,6983,6985,6986,6987,6988,6989,6990,6992,6993,6995,6996,6997,6998,6999,7000,7001,7002,7003,7004,7005,7006,7008,7009,7010,7013,7014,7015,7016,7021,7022,7023,7024,7025,7031,7032,7039,7040,7041,7042,7043,7044,7045,7046,7047,7048,7049,7050,7051,7052,7053,7054,7055,7056,7057,7058,7062,7063,7064,7066,7067,7070,7071,7072,7073,7074,7077,7079,7080,7081,7085,7086,7493,7494,7495,7496,7497,7498,7503,7504,7507,7513,7514,7515,7516,7517,8080,8081,8084,8089,8090,8091,8092,8093,8094,8097,8099,8100,8103,8108,8109,8110,8111,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,22:45:41,22:45:41,22:45:41,22:45:41,22:45:42,22:45:43,22:45:43,22:45:43,22:45:43,22:45:43,22:45:45,22:45:45,22:45:45,22:45:45,22:45:46,22:45:46,22:45:47,22:45:47,22:50:12,22:50:12,22:50:13,22:50:14,22:50:14,22:50:14,22:50:14,22:50:15,22:50:15,22:50:15,22:50:15,22:50:16,22:50:16,22:50:16,22:50:16,22:50:17,22:50:17,22:53:26,22:53:27,22:53:27,22:53:28,22:53:28,22:53:28,22:53:29,22:53:29,22:53:29,22:53:29,22:53:30,22:53:30,22:53:30,22:53:30,22:53:30,22:53:31,22:53:31,22:53:31,22:53:31,22:53:31,22:53:32,22:53:32,22:53:32,22:53:33,22:53:33,22:53:33,22:53:33,22:53:33,22:53:34,22:53:34,22:53:34,22:53:35,22:53:35,22:53:35,22:53:35,22:53:35,22:53:36,22:53:36,22:53:36,22:53:36,22:53:36,22:53:37,22:53:37,22:53:37,22:53:37,22:53:38,22:53:38,22:53:38,22:53:39,22:53:39,22:53:40,22:53:40,22:53:40,22:53:40,22:53:41,22:53:42,22:53:42,22:53:43,22:53:44,22:53:44,22:53:44,22:53:44,22:53:44,22:53:45,22:53:45,22:53:45,22:53:45,22:53:45,22:53:46,22:53:46,22:53:46,22:53:46,22:53:46,22:53:47,22:53:47,22:53:47,22:53:47,22:53:48,22:53:48,22:53:48,22:53:49,22:53:49,22:53:50,22:53:50,22:53:50,22:53:50,22:53:50,22:53:51,22:53:51,22:53:52,22:53:52,22:53:53,22:53:53,22:55:14,22:55:14,22:55:15,22:55:15,22:55:15,22:55:15,22:55:16,22:55:16,22:55:17,22:55:18,22:55:18,22:55:19,22:55:19,22:55:19,22:57:12,22:57:12,22:57:12,22:57:13,22:57:14,22:57:14,22:57:14,22:57:14,22:57:14,22:57:15,22:57:15,22:57:16,22:57:16,22:57:17,22:57:17,22:57:18,22:57:18,
Ping_milliseconds,264.0,464.0,665.0,862.0,864.0,064.0,264.0,464.0,664.0,864.0,064.0,264.0,464.0,664.0,664.0,863.0,064.0,274.0,764.0,962.0,163.0,163.0,365.0,564.0,964.0,164.0,365.0,564.0,964.0,164.0,364.0,564.0,765.0,165.0,365.0,864.0,663.0,864.0,064.0,264.0,662.0,063.0,464.0,673.0,864.0,063.0,261.0,464.0,664.0,864.0,064.0,263.0,464.0,662.0,864.0,064.0,474.0,664.0,074.0,264.0,464.0,665.0,864.0,064.0,465.0,664.0,064.0,264.0,464.0,664.0,864.0,064.0,262.0,462.0,662.0,864.0,064.0,262.0,664.0,864.0,064.0,664.0,864.0,064.0,264.0,263.0,463.0,664.0,864.0,063.0,264.0,475.0,864.0,064.0,264.0,464.0,663.0,864.0,064.0,265.0,464.0,664.0,864.0,063.0,264.0,465.0,664.0,862.0,064.0,264.0,464.0,664.0,464.0,663.0,865.0,264.0,463.0,064.0,263.0,465.0,664.0,864.0,464.0,864.0,065.0,262.0,064.0,264.0,664.0,865.0,065.0,264.0,462.0,664.0,665.0,864.0,464.0,665.0,864.0,064.0,263.0,465.0,175.0,365.0,964.0,965.0,164.0,364.0,564.0,764.0,975.0,564.0,974.0,164.0,764.0,764.0,964.0,164.0,364.0,
Range,12.1152960000,12.1152960000,12.1270016000,12.1387072000,12.1387072000,12.1270016000,12.1270016000,12.1504128000,12.1504128000,12.1621184000,12.1035904000,12.0918848000,12.0216512000,12.0918848000,11.9982400000,12.0684736000,12.0567680000,12.0567680000,11.4129600000,11.4363712000,11.4597824000,11.6002496000,11.6236608000,11.6353664000,11.6704832000,11.7173056000,11.7407168000,11.7524224000,11.7875392000,11.8109504000,11.8343616000,11.8577728000,11.8928896000,11.9982400000,11.9865344000,11.7407168000,11.8226560000,11.9163008000,11.8577728000,11.9397120000,11.9514176000,12.0099456000,12.1152960000,12.0918848000,12.0333568000,12.0333568000,12.0684736000,12.1152960000,12.1504128000,12.1855296000,12.2089408000,12.1504128000,12.1504128000,12.1504128000,12.2674688000,12.2791744000,12.2440576000,12.2557632000,12.2557632000,12.3142912000,12.3142912000,12.3142912000,12.3142912000,12.2557632000,12.3259968000,12.3611136000,12.3962304000,12.3845248000,12.4547584000,12.3377024000,12.3259968000,12.3142912000,12.3025856000,12.3142912000,12.3494080000,12.3259968000,12.4196416000,12.4196416000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.1855296000,12.2791744000,12.3025856000,12.2089408000,12.2791744000,12.2791744000,12.2791744000,12.2674688000,12.2206464000,12.2206464000,12.1972352000,12.1738240000,12.1738240000,12.1738240000,12.1855296000,12.1738240000,12.2089408000,12.2089408000,12.1972352000,12.1504128000,12.1738240000,12.1035904000,12.0918848000,12.1621184000,12.1855296000,12.2323520000,12.2557632000,12.2557632000,12.1855296000,12.1972352000,12.2791744000,12.3142912000,12.3142912000,12.2908800000,12.2908800000,12.3259968000,12.3377024000,12.3377024000,12.2791744000,12.3377024000,12.3025856000,12.3494080000,12.3494080000,12.3611136000,12.3728192000,12.3494080000,12.3962304000,12.4313472000,12.4430528000,12.4313472000,12.4547584000,12.4664640000,12.5132864000,12.5015808000,12.3142912000,12.4781696000,12.4547584000,12.4547584000,12.4430528000,12.4547584000,12.0099456000,11.9982400000,11.9865344000,12.0801792000,12.0801792000,12.0684736000,12.0333568000,12.0216512000,12.0216512000,12.0918848000,12.1621184000,12.1972352000,12.3611136000,12.4313472000,12.3728192000,12.3728192000,12.3845248000,
Depth,12.1026564920,12.1044106875,12.1186300162,12.1275077835,12.1299263127,12.1229615901,12.1252337089,12.1494665435,12.1487186765,12.1563713206,12.1005910495,12.0832240311,12.0164944697,12.0810639178,11.9910366759,12.0591262905,12.0432950016,12.0436868379,11.4035312068,11.4286304926,11.4494264154,11.5931003522,11.6232282398,11.6335588498,11.6691427371,11.7091586348,11.7285477566,11.7443097625,11.7808239097,11.8019672493,11.8247239301,11.8524661856,11.8859105948,11.9850543784,11.9736389797,11.7316456996,11.8123251647,11.9062676551,11.8542639250,11.9334341371,11.9462578567,12.0015727878,12.1057055406,12.0876533259,12.0307957819,12.0291751092,12.0653265156,12.1135353120,12.1470274432,12.1803084603,12.2005003449,12.1481346563,12.1495062700,12.1500142254,12.2657069881,12.2774624359,12.2405356225,12.2527646413,12.2535209125,12.3110146737,12.3107870212,12.3125683945,12.3141561607,12.2532947622,12.3191471603,12.3579096626,12.3934069835,12.3802376548,12.4499999387,12.3349319277,12.3239023834,12.3115222752,12.2977618314,12.3073558649,12.3431155458,12.3225395326,12.4157136679,12.4091486987,12.2487638919,12.2520375755,12.1762032090,12.1845912086,12.1769861588,12.2683396032,12.2935871910,12.1953559918,12.2679431373,12.2680673972,12.2688354403,12.2535545006,12.2084836876,12.2096825456,12.1848420482,12.1638434455,12.1613559984,12.1599533036,12.1724270312,12.1612847475,12.1968407333,12.1937370859,12.1832601298,12.1383083705,12.1609336622,12.0903709065,12.0788891809,12.1501151612,12.1757956091,12.2237892719,12.2478663512,12.2488946598,12.1795622446,12.1866629729,12.2663947958,12.3046965329,12.3101595519,12.2841718001,12.2754125502,12.3145298157,12.3293832028,12.3303656299,12.2703507589,12.3224400161,12.2919199355,12.3419569815,12.3394832937,12.3456673240,12.3585799038,12.3374618739,12.3802819392,12.4208739810,12.4382746546,12.4283359498,12.4481937708,12.4539597603,12.5027880520,12.4946143553,12.3027317403,12.4662407916,12.4451045776,12.4473186303,12.4332177034,12.4399821721,11.9979498452,11.9850798678,11.9718115032,12.0656844834,12.0686303396,12.0607637530,12.0270382753,12.0108053666,12.0072030965,12.0765372040,12.1535900217,12.1909987777,12.3512900071,12.4201863147,12.3674869239,12.3679233622,12.3780954573,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7",
45.000,-47.096030,-45.598228,-45.406547,-45.769025,-50.106140,-66.572426,-48.266664,-51.308943,-69.218056,-60.869850,-58.521016,-60.424464,-62.410547,-63.821527,-58.141866,-51.243483,-50.356836,-51.239622,-46.261426,-45.531933,-46.335701,-40.646850,-40.504053,-47.066377,-58.664718,-45.880365,-51.381448,-46.672078,-38.402843,-35.215740,-40.961098,-46.782450,-43.509117,-44.643232,-50.438922,-56.491756,-41.182160,-40.199183,-44.013887,-51.876840,-47.854993,-70.000002,-41.034874,-46.113477,-49.584558,-48.219330,-45.014388,-35.855135,-58.355507,-37.743976,-42.003615,-44.494925,-47.260031,-65.817552,-46.222204,-47.034100,-58.978661,-48.790002,-46.213721,-56.337611,-51.586052,-53.278418,-59.354566,-47.493450,-48.999005,-48.820098,-48.135420,-56.587738,-55.949283,-60.893487,-56.565001,-54.376269,-54.643220,-54.280395,-55.932620,-49.561144,-50.025379,-49.577465,-53.359059,-53.995559,-51.350687,-55.101762,-51.031928,-52.115621,-50.495757,-54.368686,-55.640691,-60.128043,-56.751884,-52.306878,-57.232753,-52.773036,-54.366032,-75.866177,-57.965948,-58.876867,-49.041252,-53.679702,-49.468262,-55.724266,-52.283286,-50.583609,-54.494429,-56.527274,-57.992845,-48.779979,-48.373175,-48.441577,-55.730357,-53.590508,-51.875537,-51.494387,-47.170319,-48.742041,-55.552500,-56.523508,-51.622576,-53.262413,-49.617339,-52.368796,-48.472549,-53.031248,-53.268865,-59.524436,-66.258735,-49.314308,-53.229127,-54.617103,-53.295647,-56.160239,-52.545999,-51.557072,-52.532181,-54.496919,-57.896206,-59.589862,-59.485169,-59.070268,-58.807521,-53.513261,-55.212809,-51.252972,-50.719380,-51.196391,-49.548344,-50.710146,-51.381122,-51.501821,-57.645308,-60.978164,-53.935209,-54.231183,-52.062017,-55.722786,-47.686183,-50.886371,-48.492227,-49.212160,-50.577899,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-46.985694,-45.512800,-45.147926,-45.831080,-49.772520,-62.624878,-48.261819,-49.913297,-67.948187,-66.196741,-57.085137,-63.947004,-64.347284,-64.136279,-57.692951,-51.461434,-51.127822,-51.694050,-45.770188,-45.488149,-46.417309,-40.170996,-39.443155,-46.556290,-57.826518,-45.102192,-50.059205,-46.326998,-38.371222,-34.877730,-40.640743,-45.637312,-43.042079,-43.910656,-51.220973,-59.105679,-40.433089,-39.260465,-43.094249,-50.182298,-46.684751,-63.033412,-40.726011,-45.934630,-48.452239,-48.454052,-44.735358,-35.300605,-63.165744,-37.714603,-41.703819,-44.413444,-46.848555,-68.583621,-46.214915,-44.728778,-58.540858,-48.121918,-46.477176,-56.845730,-50.523676,-51.661502,-56.979551,-48.477110,-47.668786,-48.517401,-47.446245,-59.205366,-56.233849,-56.849395,-58.468777,-57.973560,-53.568985,-52.811805,-52.439563,-50.890169,-48.352055,-49.140601,-53.889777,-55.352032,-50.771713,-54.378467,-49.847604,-50.575190,-49.613605,-54.567179,-55.234613,-57.657393,-58.258754,-51.858801,-57.284152,-53.125454,-56.775919,-62.309096,-55.596885,-55.504269,-48.837905,-52.310784,-48.839133,-55.762583,-52.212483,-50.217657,-55.189499,-55.384407,-56.381581,-49.859567,-47.615925,-49.293555,-56.738099,-54.462645,-51.793574,-52.385268,-48.502874,-48.191967,-58.154666,-55.607806,-50.982734,-52.416111,-48.573722,-51.336484,-48.783992,-51.301968,-52.558226,-54.058088,-67.627663,-48.750889,-52.530355,-52.958747,-53.093910,-56.196476,-52.863504,-50.875686,-52.746779,-55.541466,-57.894766,-60.180947,-59.355053,-57.514255,-58.091900,-52.314597,-55.949109,-50.341229,-52.088511,-49.236471,-49.557831,-50.454198,-50.930945,-51.462885,-60.651930,-61.315950,-52.165180,-54.828226,-50.749161,-53.370071,-46.037271,-49.372956,-48.185113,-49.504842,-51.020688,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-47.320161,-45.738468,-44.992910,-46.324998,-49.245201,-58.148558,-48.714231,-48.821518,-70.493786,-67.250774,-57.031696,-68.986884,-65.937472,-62.410648,-58.333266,-51.278499,-52.440319,-53.222530,-45.307940,-45.618158,-46.705513,-39.716433,-38.466135,-46.096634,-57.364501,-44.237549,-48.991812,-46.127509,-38.475343,-34.686367,-40.333339,-44.397377,-42.566576,-43.346529,-52.001687,-63.974570,-39.748529,-38.485527,-42.348202,-48.821453,-45.888171,-58.802188,-40.968150,-45.772363,-47.675725,-49.405580,-44.538739,-34.786992,-61.228107,-37.911138,-41.223696,-44.299709,-46.991281,-83.979794,-46.035147,-42.801585,-58.240337,-47.466539,-46.635230,-57.747467,-49.653498,-50.185806,-55.109166,-49.661951,-47.214221,-48.355821,-46.952410,-62.110403,-54.222307,-53.694340,-56.441789,-58.662733,-52.387748,-51.193416,-49.648584,-52.121982,-48.259929,-49.322954,-54.755363,-55.871177,-50.084964,-54.158462,-49.168436,-49.624621,-49.084044,-54.909362,-53.502178,-55.198513,-58.559294,-50.845096,-56.720578,-53.570667,-57.970204,-56.725864,-54.181379,-53.454101,-49.027488,-51.161216,-48.679701,-56.021417,-52.720099,-49.543926,-54.947720,-54.153099,-55.191754,-50.850044,-47.258064,-50.379046,-56.761459,-54.783113,-51.605955,-53.340221,-50.052693,-48.301246,-62.932820,-56.046811,-51.523521,-51.578957,-49.013922,-50.344503,-49.223580,-50.627924,-52.287837,-51.626410,-59.676708,-48.747945,-52.181602,-51.617811,-53.543195,-56.516407,-53.469073,-50.293154,-53.131722,-57.135460,-57.687174,-60.027621,-59.111222,-56.153683,-57.842307,-51.175206,-56.161891,-49.927084,-52.496594,-47.429795,-49.837494,-50.063390,-50.609160,-51.451747,-65.366747,-62.031700,-50.777091,-54.801692,-49.926155,-51.686487,-44.782054,-48.352951,-48.352078,-50.137766,-51.448806,0,Fileset 1: TS pulse compressed wideband pings T1
