Region_ID,Region_name,Region_class,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
1,"Region 1","070kHz_FishTracks",343,0.020224,828,844,0.000000,20220728, 23:12:48.0640,999.00000000,999.00000000,0.00002443707175,11,-44.598395,8.154547,0.4831,-0.351168,3.201000,1.5465,0.020224,11.000000,8.149782,8.280862,7.932514,-0.348348,2.694050,3.045218,2.837960,2.714274,3.065442,2.858184
2,"Region 2","070kHz_FishTracks",343,0.020224,1953,1969,0.000000,20220728, 23:16:33.1650,999.00000000,999.00000000,0.00002152873879,11,-46.569447,7.825726,0.3999,0.011706,3.200000,1.2796,0.020224,11.000000,7.820623,7.895262,7.776679,0.013666,3.080335,3.197391,3.154700,3.100559,3.217615,3.174923
3,"Region 3","070kHz_FishTracks",343,0.020224,2800,2827,0.000000,20220728, 23:19:23.6640,999.00000000,999.00000000,0.00000515670490,14,-50.942502,9.073512,0.3944,-1.580256,5.401000,2.1300,0.020224,11.000000,9.065083,9.855862,8.280761,-1.575101,1.113794,2.694050,1.866924,1.134018,2.714274,1.887148
4,"Region 4","070kHz_FishTracks",343,0.020224,3765,3774,0.000000,20220728, 23:22:34.9630,999.00000000,999.00000000,0.00000683629177,6,-47.191471,8.037845,0.5815,0.046822,1.801000,1.0473,0.020224,11.000000,8.030962,8.078728,7.989336,0.043102,2.893045,2.986690,2.956256,2.913269,3.006914,2.976479
5,"Region 5","070kHz_FishTracks",343,0.020224,4296,4306,0.000000,20220728, 23:24:21.3640,999.00000000,999.00000000,0.00000937313403,5,-47.569755,8.130710,0.2558,-0.257523,2.010000,0.5142,0.020224,11.000000,8.122346,8.208732,7.952001,-0.256731,2.764284,3.021807,2.887192,2.784507,3.042031,2.907416
6,"Region 6","070kHz_FishTracks",343,0.020224,4749,4772,0.000000,20220728, 23:25:53.2640,999.00000000,999.00000000,0.00000729544727,11,-46.796201,8.318425,0.2469,-0.362874,4.600000,1.1358,0.020224,11.000000,8.310921,8.476723,8.114607,-0.362116,2.495055,2.857928,2.704780,2.515279,2.878152,2.725004
7,"Region 7","070kHz_FishTracks",343,0.020224,5060,5071,0.000000,20220728, 23:26:54.2630,999.00000000,999.00000000,0.00010962073749,8,-39.492271,10.576010,0.5153,-0.292640,2.200000,1.1336,0.020224,11.000000,10.566939,10.698214,10.404805,-0.293409,0.270991,0.563631,0.389998,0.291215,0.583855,0.410221
8,"Region 8","070kHz_FishTracks",343,0.020224,6223,6234,0.000000,20220728, 23:30:47.1630,999.00000000,999.00000000,0.00000461365515,7,-47.142398,8.247431,0.2430,-0.011706,2.190000,0.5321,0.020224,11.000000,8.241514,8.261402,8.199383,-0.012950,2.717461,2.775989,2.731606,2.737685,2.796213,2.751829
9,"Region 9","070kHz_FishTracks",343,0.020224,6727,6742,0.000000,20220728, 23:32:28.4740,999.00000000,999.00000000,0.00000852738107,11,-43.239421,8.067287,0.3509,-0.175584,2.999000,1.0524,0.020224,11.000000,8.062143,8.142207,7.965684,-0.172852,2.834517,3.010101,2.904385,2.854741,3.030325,2.924609
10,"Region 10","070kHz_FishTracks",343,0.020224,6975,6994,0.000000,20220728, 23:33:18.4640,999.00000000,999.00000000,0.00000947241772,11,-47.210999,7.984283,0.3431,0.280934,3.900000,1.3380,0.020224,11.000000,7.978332,8.114827,7.836435,0.278392,2.857928,3.138863,3.012442,2.878152,3.159087,3.032666
