Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,Variable_index,Variable_name
Ping_index,828,829,830,832,833,836,837,838,839,843,844,1953,1956,1957,1959,1961,1962,1963,1966,1967,1968,1969,2800,2802,2807,2808,2809,2814,2815,2816,2817,2818,2820,2821,2825,2827,3765,3766,3767,3772,3773,3774,4296,4297,4299,4300,4306,4749,4750,4751,4753,4754,4755,4758,4760,4765,4771,4772,5060,5061,5066,5067,5068,5069,5070,5071,6223,6225,6226,6231,6232,6233,6234,6727,6729,6731,6732,6733,6736,6737,6739,6740,6741,6742,6975,6977,6978,6983,6984,6985,6987,6991,6992,6993,6994,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,23:12:46,23:12:46,23:12:46,23:12:47,23:12:47,23:12:48,23:12:48,23:12:48,23:12:48,23:12:49,23:12:49,23:16:31,23:16:32,23:16:32,23:16:32,23:16:33,23:16:33,23:16:33,23:16:34,23:16:34,23:16:34,23:16:34,23:19:21,23:19:21,23:19:22,23:19:22,23:19:22,23:19:23,23:19:24,23:19:24,23:19:24,23:19:24,23:19:25,23:19:25,23:19:26,23:19:26,23:22:34,23:22:34,23:22:34,23:22:35,23:22:35,23:22:35,23:24:20,23:24:20,23:24:20,23:24:21,23:24:22,23:25:51,23:25:51,23:25:51,23:25:51,23:25:52,23:25:52,23:25:52,23:25:53,23:25:54,23:25:55,23:25:55,23:26:53,23:26:53,23:26:54,23:26:54,23:26:54,23:26:55,23:26:55,23:26:55,23:30:46,23:30:46,23:30:46,23:30:47,23:30:47,23:30:48,23:30:48,23:32:27,23:32:27,23:32:27,23:32:28,23:32:28,23:32:28,23:32:29,23:32:29,23:32:29,23:32:29,23:32:30,23:33:16,23:33:17,23:33:17,23:33:18,23:33:18,23:33:18,23:33:19,23:33:19,23:33:20,23:33:20,23:33:20,
Ping_milliseconds,463.0,664.0,864.0,263.0,464.0,064.0,264.0,464.0,664.0,464.0,664.0,564.0,164.0,365.0,763.0,165.0,364.0,564.0,164.0,364.0,564.0,764.0,064.0,465.0,464.0,664.0,864.0,864.0,065.0,264.0,465.0,664.0,063.0,265.0,064.0,465.0,164.0,364.0,564.0,564.0,764.0,965.0,364.0,564.0,965.0,165.0,374.0,064.0,263.0,465.0,865.0,064.0,264.0,864.0,264.0,264.0,464.0,664.0,264.0,464.0,476.0,665.0,863.0,065.0,264.0,464.0,175.0,564.0,764.0,764.0,964.0,165.0,365.0,065.0,475.0,864.0,065.0,263.0,864.0,064.0,464.0,664.0,865.0,064.0,664.0,064.0,264.0,264.0,464.0,664.0,065.0,964.0,165.0,364.0,564.0,
Range,8.2875648000,8.2758592000,8.2641536000,8.2290368000,8.2173312000,8.1353920000,8.1588032000,8.1002752000,8.1470976000,7.9481024000,7.9363968000,7.8895744000,7.8310464000,7.8427520000,7.8193408000,7.8193408000,7.8076352000,7.8193408000,7.7842240000,7.7842240000,7.7842240000,7.9012800000,9.8678208000,9.8092928000,9.5166528000,9.4581248000,9.3995968000,9.0952512000,9.0367232000,8.9899008000,8.9313728000,8.8728448000,8.7206720000,8.6504384000,8.3929152000,8.2875648000,8.0417472000,8.0183360000,7.9949248000,8.0183360000,8.0651584000,8.0885696000,8.2173312000,8.2056256000,8.1470976000,8.1236864000,7.9598080000,8.4865600000,8.4748544000,8.4514432000,8.4046208000,8.3695040000,8.3460928000,8.2524480000,8.2056256000,8.2524480000,8.1353920000,8.1236864000,10.7106240000,10.6638016000,10.5818624000,10.6169792000,10.5935680000,10.5584512000,10.4648064000,10.4179840000,8.2524480000,8.2641536000,8.2641536000,8.2407424000,8.2641536000,8.2056256000,8.2407424000,8.1470976000,8.1353920000,8.1470976000,8.1353920000,8.1236864000,8.0651584000,8.0534528000,7.9949248000,7.9832192000,7.9832192000,7.9715136000,7.8427520000,7.8778688000,7.8778688000,7.9246912000,7.9949248000,7.9832192000,8.0183360000,8.0417472000,8.0651584000,8.0768640000,8.1236864000,
Depth,8.2808623221,8.2714390066,8.2588041201,8.2201912832,8.2090373337,8.1292570261,8.1569091501,8.0987152634,8.1462212000,7.9436520357,7.9325142037,7.8815964190,7.8287927434,7.8424224509,7.8177666645,7.8181153974,7.8005729122,7.8097905340,7.7766793873,7.7786192494,7.7772330772,7.8952623559,9.8558619907,9.7989231665,9.5089195631,9.4517292855,9.3945323648,9.0842026612,9.0319831334,8.9856727179,8.9237932069,8.8624978913,8.7099303948,8.6398117356,8.3825495793,8.2807612810,8.0356254410,8.0164223742,7.9893364375,8.0094325300,8.0562272621,8.0787277501,8.2087316643,8.1969653871,8.1394173959,8.1146127833,7.9520005798,8.4767232453,8.4662284115,8.4440102633,8.3961167736,8.3615362206,8.3402076866,8.2460140483,8.2030156478,8.2458477588,8.1258235909,8.1146069868,10.6982141910,10.6511754664,10.5707093533,10.6103588482,10.5895925127,10.5542757381,10.4563792171,10.4048048621,8.2466376647,8.2614015462,8.2591144806,8.2325515673,8.2578196274,8.1993832113,8.2336881328,8.1385360109,8.1248970544,8.1422074214,8.1337509351,8.1233255565,8.0647937711,8.0507259509,7.9865892269,7.9754710719,7.9775943430,7.9656843841,7.8364348253,7.8738808520,7.8741023308,7.9177930318,7.9931928432,7.9822881650,8.0083235083,8.0321058258,8.0584168034,8.0702844718,8.1148267137,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10",
90.000,-55.545706,-55.558835,-48.558943,-48.292248,-52.247507,-46.581948,-46.241501,-47.520814,-55.805615,-66.164610,-52.999395,-54.253991,-49.664435,-46.892961,-65.711244,-45.258669,-56.882533,-59.585058,-48.782006,-51.469522,-44.640334,-54.814417,-55.545151,-50.416695,-54.165497,-52.809299,-54.780821,-62.609775,-58.163013,-56.314885,-61.913479,-59.318144,-56.845088,-55.314428,-50.110572,-52.227683,-51.745714,-51.879063,-62.193635,-60.877555,-47.994577,-43.145575,-50.565711,-50.334632,-48.028412,-58.957710,-50.069012,-56.321759,-55.645199,-62.585675,-51.730474,-53.022113,-58.983420,-49.237182,-54.283662,-50.185806,-54.079261,-63.072838,-46.588485,-45.624678,-45.273353,-43.851735,-40.329178,-41.930318,-43.310220,-39.627798,-67.523091,-54.340439,-46.106850,-62.747672,-57.534923,-56.193159,-61.445114,-46.910636,-53.416572,-47.526971,-44.405688,-48.693910,-46.260412,-54.105608,-50.382148,-57.444756,-50.907387,-50.436376,-48.171171,-48.755678,-47.538595,-41.183687,-46.342544,-58.382211,-50.477764,-46.740480,-40.717079,-41.765080,-46.107281,0,Fileset 1: TS pulse compressed wideband pings T3
90.500,-53.780337,-52.853101,-48.925676,-46.605234,-52.313807,-46.616953,-44.891608,-48.662882,-57.837754,-70.299068,-51.778450,-53.141976,-49.550092,-45.862603,-68.098603,-44.712466,-61.757880,-56.386227,-48.450866,-53.309249,-43.708588,-53.899564,-53.486212,-51.205062,-54.376632,-51.506520,-55.359584,-61.044943,-58.102569,-57.053185,-59.933093,-62.289822,-58.821476,-55.154564,-50.920899,-51.624457,-51.356536,-51.593672,-64.532274,-56.599582,-48.448505,-42.234157,-50.452407,-48.893018,-47.509192,-60.831037,-50.626797,-55.836572,-52.938318,-62.711476,-50.860724,-50.377010,-59.566856,-48.276965,-54.027390,-50.475133,-53.335083,-61.316041,-45.413563,-45.883990,-44.197919,-41.827373,-40.661891,-39.649110,-40.823752,-39.781678,-70.658871,-54.895766,-45.886923,-61.746211,-61.614754,-52.903009,-60.027391,-46.651457,-54.901519,-45.475938,-44.175925,-48.732469,-45.899447,-56.012642,-51.277219,-55.433140,-52.517421,-50.473007,-48.416607,-49.264742,-47.596994,-40.698874,-46.041954,-55.816648,-48.546200,-45.332266,-40.550372,-41.122228,-45.612845,0,Fileset 1: TS pulse compressed wideband pings T3
91.000,-52.278624,-50.293625,-49.964243,-45.176015,-51.281896,-47.009945,-44.162579,-49.415072,-57.959102,-67.857278,-51.623642,-52.397168,-50.081110,-44.892421,-62.893261,-43.729197,-79.391474,-53.660887,-48.798451,-54.859744,-42.724567,-50.698035,-50.954881,-52.016508,-54.067079,-50.321464,-53.792597,-58.826143,-57.512384,-56.042048,-57.687632,-65.187300,-61.262762,-55.233941,-52.688495,-51.998974,-50.514914,-52.202207,-59.472956,-52.778058,-48.659619,-41.653798,-51.502559,-47.991823,-47.590618,-59.878263,-52.066984,-55.996356,-51.580240,-60.749646,-49.217506,-47.961401,-62.193671,-47.604770,-52.683733,-50.416020,-52.198122,-60.146529,-44.836837,-46.134696,-43.179815,-40.417393,-41.530823,-38.582499,-39.081041,-40.177425,-66.522679,-55.933627,-45.483976,-61.040793,-66.175387,-50.293676,-58.668698,-46.090003,-57.352895,-44.187356,-44.329935,-47.904521,-45.427846,-58.483859,-51.937809,-53.781275,-54.416575,-51.401385,-48.434021,-49.286942,-47.723479,-40.326830,-45.253632,-54.115347,-47.382521,-44.226084,-40.161210,-40.476018,-45.372064,0,Fileset 1: TS pulse compressed wideband pings T3
