Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,Variable_index,Variable_name
Ping_index,828,829,830,832,833,836,837,838,839,843,844,1953,1956,1957,1959,1961,1962,1963,1966,1967,1968,1969,2800,2802,2807,2808,2809,2814,2815,2816,2817,2818,2820,2821,2825,2827,3765,3766,3767,3772,3773,3774,4296,4297,4299,4300,4306,4749,4750,4751,4753,4754,4755,4758,4760,4765,4771,4772,5060,5061,5066,5067,5068,5069,5070,5071,6223,6225,6226,6231,6232,6233,6234,6727,6729,6731,6732,6733,6736,6737,6739,6740,6741,6742,6975,6977,6978,6983,6984,6985,6987,6991,6992,6993,6994,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,
Ping_time,23:12:46,23:12:46,23:12:46,23:12:47,23:12:47,23:12:48,23:12:48,23:12:48,23:12:48,23:12:49,23:12:49,23:16:31,23:16:32,23:16:32,23:16:32,23:16:33,23:16:33,23:16:33,23:16:34,23:16:34,23:16:34,23:16:34,23:19:21,23:19:21,23:19:22,23:19:22,23:19:22,23:19:23,23:19:24,23:19:24,23:19:24,23:19:24,23:19:25,23:19:25,23:19:26,23:19:26,23:22:34,23:22:34,23:22:34,23:22:35,23:22:35,23:22:35,23:24:20,23:24:20,23:24:20,23:24:21,23:24:22,23:25:51,23:25:51,23:25:51,23:25:51,23:25:52,23:25:52,23:25:52,23:25:53,23:25:54,23:25:55,23:25:55,23:26:53,23:26:53,23:26:54,23:26:54,23:26:54,23:26:55,23:26:55,23:26:55,23:30:46,23:30:46,23:30:46,23:30:47,23:30:47,23:30:48,23:30:48,23:32:27,23:32:27,23:32:27,23:32:28,23:32:28,23:32:28,23:32:29,23:32:29,23:32:29,23:32:29,23:32:30,23:33:16,23:33:17,23:33:17,23:33:18,23:33:18,23:33:18,23:33:19,23:33:19,23:33:20,23:33:20,23:33:20,
Ping_milliseconds,463.0,664.0,864.0,263.0,464.0,064.0,264.0,464.0,664.0,464.0,664.0,564.0,164.0,365.0,763.0,165.0,364.0,564.0,164.0,364.0,564.0,764.0,064.0,465.0,464.0,664.0,864.0,864.0,065.0,264.0,465.0,664.0,063.0,265.0,064.0,465.0,164.0,364.0,564.0,564.0,764.0,965.0,364.0,564.0,965.0,165.0,374.0,064.0,263.0,465.0,865.0,064.0,264.0,864.0,264.0,264.0,464.0,664.0,264.0,464.0,476.0,665.0,863.0,065.0,264.0,464.0,175.0,564.0,764.0,764.0,964.0,165.0,365.0,065.0,475.0,864.0,065.0,263.0,864.0,064.0,464.0,664.0,865.0,064.0,664.0,064.0,264.0,264.0,464.0,664.0,065.0,964.0,165.0,364.0,564.0,
Range,8.2875648000,8.2758592000,8.2641536000,8.2290368000,8.2173312000,8.1353920000,8.1588032000,8.1002752000,8.1470976000,7.9481024000,7.9363968000,7.8895744000,7.8310464000,7.8427520000,7.8193408000,7.8193408000,7.8076352000,7.8193408000,7.7842240000,7.7842240000,7.7842240000,7.9012800000,9.8678208000,9.8092928000,9.5166528000,9.4581248000,9.3995968000,9.0952512000,9.0367232000,8.9899008000,8.9313728000,8.8728448000,8.7206720000,8.6504384000,8.3929152000,8.2875648000,8.0417472000,8.0183360000,7.9949248000,8.0183360000,8.0651584000,8.0885696000,8.2173312000,8.2056256000,8.1470976000,8.1236864000,7.9598080000,8.4865600000,8.4748544000,8.4514432000,8.4046208000,8.3695040000,8.3460928000,8.2524480000,8.2056256000,8.2524480000,8.1353920000,8.1236864000,10.7106240000,10.6638016000,10.5818624000,10.6169792000,10.5935680000,10.5584512000,10.4648064000,10.4179840000,8.2524480000,8.2641536000,8.2641536000,8.2407424000,8.2641536000,8.2056256000,8.2407424000,8.1470976000,8.1353920000,8.1470976000,8.1353920000,8.1236864000,8.0651584000,8.0534528000,7.9949248000,7.9832192000,7.9832192000,7.9715136000,7.8427520000,7.8778688000,7.8778688000,7.9246912000,7.9949248000,7.9832192000,8.0183360000,8.0417472000,8.0651584000,8.0768640000,8.1236864000,
Depth,8.2808623221,8.2714390066,8.2588041201,8.2201912832,8.2090373337,8.1292570261,8.1569091501,8.0987152634,8.1462212000,7.9436520357,7.9325142037,7.8815964190,7.8287927434,7.8424224509,7.8177666645,7.8181153974,7.8005729122,7.8097905340,7.7766793873,7.7786192494,7.7772330772,7.8952623559,9.8558619907,9.7989231665,9.5089195631,9.4517292855,9.3945323648,9.0842026612,9.0319831334,8.9856727179,8.9237932069,8.8624978913,8.7099303948,8.6398117356,8.3825495793,8.2807612810,8.0356254410,8.0164223742,7.9893364375,8.0094325300,8.0562272621,8.0787277501,8.2087316643,8.1969653871,8.1394173959,8.1146127833,7.9520005798,8.4767232453,8.4662284115,8.4440102633,8.3961167736,8.3615362206,8.3402076866,8.2460140483,8.2030156478,8.2458477588,8.1258235909,8.1146069868,10.6982141910,10.6511754664,10.5707093533,10.6103588482,10.5895925127,10.5542757381,10.4563792171,10.4048048621,8.2466376647,8.2614015462,8.2591144806,8.2325515673,8.2578196274,8.1993832113,8.2336881328,8.1385360109,8.1248970544,8.1422074214,8.1337509351,8.1233255565,8.0647937711,8.0507259509,7.9865892269,7.9754710719,7.9775943430,7.9656843841,7.8364348253,7.8738808520,7.8741023308,7.9177930318,7.9931928432,7.9822881650,8.0083235083,8.0321058258,8.0584168034,8.0702844718,8.1148267137,
Region_name,"Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 1","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 6","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 8","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 9","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10",
171.000,-43.214324,-48.245385,-41.496017,-40.500890,-49.458351,-49.512285,-46.088814,-56.742811,-51.136123,-54.846786,-50.569941,-49.722328,-49.065458,-47.034207,-46.129240,-52.812688,-56.188031,-47.655340,-45.030693,-56.400389,-54.273681,-44.963512,-46.540068,-49.632310,-49.778449,-51.297868,-52.563555,-60.391308,-58.461625,-49.953192,-48.801510,-52.632182,-41.815807,-51.165095,-42.756521,-58.629255,-49.610303,-59.472267,-51.278639,-52.039638,-41.034521,-43.140240,-41.217265,-45.211069,-47.112983,-44.816560,-53.310514,-47.223631,-45.445482,-50.147216,-43.804933,-53.451053,-55.930297,-36.723005,-45.838177,-56.193351,-38.468062,-42.931144,-50.119564,-33.788321,-61.115608,-44.107281,-47.925766,-45.239788,-48.107093,-54.448122,-49.645005,-48.184866,-50.403194,-55.380658,-49.568020,-53.777949,-56.390734,-45.984965,-61.644074,-44.717801,-52.410261,-47.777037,-53.280278,-49.282975,-49.737775,-50.471849,-44.419318,-37.288941,-42.954617,-63.708798,-48.184419,-42.956092,-50.024056,-48.784514,-50.234072,-41.850912,-41.907589,-46.774790,-51.068235,0,Fileset 1: TS pulse compressed wideband pings T2
171.500,-42.777427,-48.343245,-41.741457,-39.259370,-50.453375,-47.984632,-45.824328,-55.112860,-51.387293,-55.008706,-49.314335,-47.309916,-49.336963,-46.852390,-46.112105,-50.842949,-54.924202,-51.348822,-46.524726,-55.434927,-48.266235,-45.415535,-44.682025,-48.074220,-47.786109,-56.618000,-52.756577,-56.542381,-56.541699,-46.549326,-46.800217,-64.522040,-42.583797,-52.064317,-42.621361,-62.216943,-50.625526,-56.917181,-52.210941,-49.570927,-42.089674,-43.039767,-41.758073,-45.546273,-48.382921,-46.075863,-52.193031,-47.020590,-45.661844,-45.544039,-43.236118,-52.617575,-64.913805,-37.576818,-46.369694,-56.197661,-38.232071,-43.858653,-47.522973,-33.292638,-52.451786,-43.956350,-44.869356,-46.688514,-46.544835,-50.012509,-49.307315,-48.622350,-50.767716,-56.454028,-48.782625,-54.530877,-55.956774,-46.910485,-57.920951,-44.268370,-50.925762,-48.096576,-50.132938,-52.249081,-48.104660,-49.932191,-44.015171,-38.659691,-43.901664,-61.295021,-46.014935,-42.636204,-47.651489,-49.045608,-48.650992,-40.066093,-44.293112,-44.188439,-54.372329,0,Fileset 1: TS pulse compressed wideband pings T2
172.000,-42.928200,-48.053142,-42.125888,-38.032463,-49.616890,-47.012051,-45.597875,-54.056658,-51.645476,-53.148836,-48.394840,-45.748275,-49.846306,-46.925619,-47.073088,-49.792086,-50.726673,-55.922281,-47.483232,-57.377758,-44.280862,-46.491491,-43.276497,-47.108455,-46.311715,-70.841564,-52.120569,-56.258511,-53.658495,-44.689535,-45.768557,-61.911857,-42.750978,-53.557931,-43.788842,-55.570443,-51.331034,-52.565392,-53.592830,-48.194063,-43.294008,-43.071879,-42.029996,-46.870932,-48.348413,-47.624044,-51.554061,-45.672014,-46.241441,-42.871757,-43.274177,-51.732348,-65.823198,-38.647494,-48.104485,-51.105609,-38.255816,-43.993627,-43.758324,-32.730432,-48.596634,-45.201578,-43.965488,-50.825141,-45.406512,-47.400440,-49.101186,-48.664380,-51.635969,-59.247593,-48.494342,-56.719963,-54.478695,-47.889089,-55.308964,-44.027083,-50.131112,-48.371836,-47.714703,-61.101453,-46.072852,-49.025921,-42.963343,-40.110469,-45.290182,-61.643051,-44.450469,-42.409726,-45.524367,-49.400551,-46.581199,-38.953052,-46.122559,-42.253939,-56.436156,0,Fileset 1: TS pulse compressed wideband pings T2
