Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,Variable_index,Variable_name
Ping_index,301,302,305,308,309,310,311,312,313,314,315,316,317,318,319,322,326,327,328,329,4095,4096,4097,4098,4099,4100,4101,4102,4103,4104,4105,4106,4107,4108,4109,4113,4114,4116,4117,4118,4119,4122,4123,4125,4126,4127,4128,4133,4134,4135,4281,4282,4283,4284,4285,4286,4287,4288,4289,4290,4291,4296,4298,4374,4375,4376,4381,4382,4383,4389,4390,4391,4396,4397,4398,4399,4400,4406,5598,5600,5601,5603,5604,5607,5608,5609,5610,5611,5612,5613,5618,5619,5620,5622,5623,5624,5626,5627,5628,5629,5631,5636,5637,7229,7233,7234,7237,7238,7242,7245,7246,7247,7248,7249,7251,7252,7253,7254,7255,7257,7258,7259,7260,7261,7262,7263,7264,7265,7269,7270,7271,7272,7273,7274,7280,7281,7282,7287,7288,7289,7291,7296,7299,7304,7305,7307,7309,8825,8826,8827,8828,8829,8833,8834,8835,8836,8837,8841,8842,8844,8851,8852,8858,8859,8860,8865,8867,8873,8874,8875,8928,8934,8935,8937,8941,8947,8948,8949,8950,8955,8956,8957,8958,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,
Ping_time,23:48:49,23:48:49,23:48:50,23:48:51,23:48:51,23:48:51,23:48:51,23:48:51,23:48:52,23:48:52,23:48:52,23:48:52,23:48:52,23:48:53,23:48:53,23:48:53,23:48:54,23:48:54,23:48:55,23:48:55,00:01:29,00:01:29,00:01:29,00:01:29,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:31,00:01:31,00:01:31,00:01:31,00:01:31,00:01:32,00:01:32,00:01:33,00:01:33,00:01:33,00:01:33,00:01:34,00:01:34,00:01:34,00:01:35,00:01:35,00:01:35,00:01:35,00:01:36,00:01:37,00:01:37,00:02:06,00:02:06,00:02:06,00:02:07,00:02:07,00:02:07,00:02:07,00:02:07,00:02:08,00:02:08,00:02:08,00:02:09,00:02:09,00:02:25,00:02:25,00:02:25,00:02:26,00:02:26,00:02:26,00:02:28,00:02:28,00:02:28,00:02:29,00:02:29,00:02:29,00:02:30,00:02:30,00:02:31,00:06:30,00:06:30,00:06:30,00:06:31,00:06:31,00:06:31,00:06:32,00:06:32,00:06:32,00:06:32,00:06:32,00:06:33,00:06:34,00:06:34,00:06:34,00:06:34,00:06:35,00:06:35,00:06:35,00:06:35,00:06:36,00:06:36,00:06:36,00:06:37,00:06:37,00:11:56,00:11:57,00:11:57,00:11:58,00:11:58,00:11:59,00:11:59,00:12:00,00:12:00,00:12:00,00:12:00,00:12:01,00:12:01,00:12:01,00:12:01,00:12:01,00:12:02,00:12:02,00:12:02,00:12:02,00:12:03,00:12:03,00:12:03,00:12:03,00:12:03,00:12:04,00:12:04,00:12:05,00:12:05,00:12:05,00:12:05,00:12:06,00:12:07,00:12:07,00:12:08,00:12:08,00:12:08,00:12:09,00:12:10,00:12:10,00:12:11,00:12:11,00:12:12,00:12:12,00:17:16,00:17:16,00:17:16,00:17:16,00:17:16,00:17:17,00:17:17,00:17:18,00:17:18,00:17:18,00:17:19,00:17:19,00:17:19,00:17:21,00:17:21,00:17:22,00:17:22,00:17:23,00:17:24,00:17:24,00:17:25,00:17:25,00:17:26,00:17:36,00:17:37,00:17:38,00:17:38,00:17:39,00:17:40,00:17:40,00:17:40,00:17:41,00:17:42,00:17:42,00:17:42,00:17:42,
Ping_milliseconds,764.0,973.0,563.0,164.0,365.0,565.0,765.0,963.0,164.0,362.0,564.0,765.0,964.0,164.0,364.0,965.0,764.0,964.0,164.0,365.0,264.0,465.0,665.0,864.0,064.0,263.0,464.0,664.0,865.0,064.0,264.0,464.0,664.0,864.0,064.0,865.0,064.0,465.0,664.0,864.0,064.0,664.0,864.0,263.0,464.0,675.0,863.0,864.0,064.0,264.0,464.0,664.0,872.0,064.0,264.0,464.0,663.0,864.0,077.0,264.0,464.0,464.0,864.0,164.0,364.0,564.0,565.0,765.0,974.0,164.0,374.0,563.0,564.0,763.0,964.0,164.0,364.0,564.0,173.0,563.0,763.0,174.0,364.0,963.0,165.0,364.0,564.0,764.0,964.0,164.0,164.0,364.0,565.0,964.0,164.0,363.0,764.0,964.0,164.0,364.0,764.0,765.0,965.0,664.0,465.0,664.0,264.0,464.0,264.0,864.0,064.0,263.0,462.0,664.0,064.0,264.0,464.0,665.0,864.0,264.0,464.0,664.0,864.0,063.0,264.0,464.0,664.0,875.0,664.0,876.0,064.0,263.0,464.0,664.0,863.0,063.0,264.0,265.0,464.0,664.0,065.0,064.0,664.0,663.0,863.0,274.0,665.0,164.0,364.0,564.0,764.0,964.0,764.0,975.0,164.0,364.0,565.0,364.0,564.0,965.0,365.0,564.0,765.0,964.0,165.0,164.0,565.0,765.0,964.0,163.0,764.0,975.0,164.0,565.0,365.0,564.0,764.0,964.0,164.0,164.0,363.0,564.0,764.0,
Range,8.2758592000,8.2524480000,8.2524480000,8.4280320000,8.4631488000,8.4865600000,8.5216768000,8.5684992000,8.6036160000,8.6387328000,8.6621440000,8.6738496000,8.6621440000,8.6738496000,8.6855552000,8.7206720000,8.6738496000,8.6738496000,8.6855552000,8.7206720000,11.2490816000,11.2256704000,11.2139648000,11.2139648000,11.2373760000,11.2724928000,11.2959040000,11.2959040000,11.2959040000,11.2841984000,11.2841984000,11.2959040000,11.3076096000,11.3310208000,11.3544320000,11.4012544000,11.4246656000,11.4129600000,11.4129600000,11.4597824000,11.4597824000,11.5300160000,11.5183104000,11.5183104000,11.4831936000,11.4831936000,11.4948992000,11.6002496000,11.5534272000,11.5417216000,10.5701568000,10.5818624000,10.6052736000,10.6052736000,10.6169792000,10.6052736000,10.5701568000,10.5584512000,10.5467456000,10.5701568000,10.6052736000,10.6520960000,10.6872128000,10.8276800000,10.8276800000,10.8510912000,10.8627968000,10.8627968000,10.8745024000,10.9213248000,10.9330304000,10.9447360000,10.9915584000,10.9915584000,11.0032640000,11.0149696000,11.0266752000,11.0032640000,11.2256704000,11.2607872000,11.2959040000,11.3310208000,11.3544320000,11.4480768000,11.4831936000,11.4948992000,11.5183104000,11.5066048000,11.5066048000,11.5066048000,11.6587776000,11.6470720000,11.6353664000,11.6587776000,11.6938944000,11.7407168000,11.7875392000,11.7875392000,11.7875392000,11.7875392000,11.8343616000,11.8694784000,11.8694784000,10.7457408000,10.8627968000,10.8627968000,10.9096192000,10.9564416000,11.0852032000,11.0969088000,11.1086144000,11.1320256000,11.1554368000,11.1905536000,11.2607872000,11.2724928000,11.2841984000,11.2959040000,11.3076096000,11.3895488000,11.4129600000,11.4363712000,11.4714880000,11.4831936000,11.4597824000,11.4831936000,11.5417216000,11.6353664000,11.6119552000,11.6470720000,11.6704832000,11.7056000000,11.7173056000,11.7173056000,11.7290112000,11.7641280000,11.7875392000,11.7173056000,11.7290112000,11.7524224000,11.7758336000,11.7056000000,11.7290112000,11.7056000000,11.6938944000,11.7056000000,11.7056000000,11.9045952000,11.9514176000,11.9280064000,11.8928896000,11.8343616000,11.8811840000,11.9163008000,11.9280064000,11.9163008000,11.9163008000,11.9631232000,11.9514176000,11.9163008000,11.9748288000,11.9865344000,11.9280064000,11.9748288000,11.9748288000,11.9748288000,11.9045952000,11.8928896000,11.9397120000,11.9631232000,11.8460672000,11.9514176000,11.9397120000,11.8694784000,11.9631232000,11.9748288000,11.9631232000,11.9397120000,11.9045952000,11.9045952000,11.8811840000,11.8577728000,11.8343616000,
Depth,8.2662971485,8.2454465181,8.2439954262,8.4205179485,8.4583286215,8.4834840642,8.5183093967,8.5656251498,8.6018274799,8.6367975743,8.6576369833,8.6670297170,8.6547068069,8.6681955922,8.6821481194,8.7168397345,8.6660965132,8.6694078213,8.6802073456,8.7138915109,11.2357222484,11.2174348952,11.2044125237,11.2017756542,11.2255517859,11.2618867969,11.2845817525,11.2852451382,11.2876383057,11.2780616134,11.2810916770,11.2925340869,11.3008080237,11.3213965939,11.3482471462,11.3907928821,11.4230988761,11.3985636048,11.4026144342,11.4591437439,11.4533901243,11.5180702871,11.5175354024,11.5175680658,11.4817795483,11.4779980574,11.4855088564,11.5870962180,11.5456848405,11.5297897588,10.5610212777,10.5767243458,10.5991857219,10.5983579857,10.6098991334,10.5992992809,10.5657545598,10.5565364501,10.5460603498,10.5689294077,10.5999656636,10.6410817131,10.6776581230,10.8163923025,10.8175354982,10.8378007067,10.8552492717,10.8569712546,10.8672211105,10.9138080934,10.9269831274,10.9357843334,10.9803869296,10.9872390907,11.0009371331,11.0098532010,11.0135916444,11.0009082463,11.2134249080,11.2481054226,11.2908882694,11.3230101960,11.3464979753,11.4416846940,11.4744438566,11.4823272256,11.5060132025,11.4988026218,11.5053458065,11.5058733448,11.6461336100,11.6424753657,11.6339078853,11.6579256142,11.6907440880,11.7300447216,11.7724657152,11.7770218821,11.7836105758,11.7833602037,11.8194745900,11.8573835725,11.8564470578,10.7326101437,10.8495941833,10.8491994692,10.9028113112,10.9513649596,11.0784858093,11.0925577292,11.1069810307,11.1294382922,11.1500444151,11.1839006487,11.2570763584,11.2669613799,11.2788686864,11.2946182471,11.3074750844,11.3882705681,11.4112090264,11.4294179194,11.4612346515,11.4759121621,11.4572348176,11.4831236722,11.5407961262,11.6319295736,11.6077177860,11.6457409756,11.6695374250,11.7019945560,11.7089347485,11.7036552997,11.7281504618,11.7635760531,11.7838615784,11.7120170146,11.7268544184,11.7496331083,11.7619660115,11.7025040239,11.7166998163,11.7004623096,11.6882358491,11.6933555603,11.6913035205,11.8967445744,11.9413626017,11.9186754618,11.8873590296,11.8239811389,11.8710636357,11.9099940434,11.9226272739,11.9120490039,11.9067962011,11.9539179262,11.9426042829,11.9017285537,11.9646933405,11.9771047188,11.9201272940,11.9686330119,11.9634763524,11.9666676130,11.8918925142,11.8828064529,11.9367664419,11.9562876811,11.8330695033,11.9378412943,11.9272373170,11.8553206008,11.9488706477,11.9722395660,11.9577886397,11.9313957756,11.8911052682,11.8910234896,11.8742008237,11.8499261532,11.8231369080,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14",
171.000,-56.368076,-54.496728,-44.433687,-55.240764,-52.082899,-43.572803,-48.824676,-40.904455,-43.867054,-59.252430,-53.602369,-58.183694,-50.728101,-49.200395,-58.858568,-47.069545,-52.147866,-58.241277,-53.089639,-50.681467,-69.025406,-56.084853,-60.947866,-61.665889,-52.911704,-63.271417,-60.426178,-51.861642,-53.066908,-55.588482,-73.182998,-59.345665,-53.990508,-67.379998,-53.211292,-55.353992,-56.858930,-77.749172,-58.893245,-51.448736,-51.953012,-49.241271,-61.168505,-50.286472,-54.764266,-48.639610,-45.235228,-49.736306,-60.951263,-57.683764,-59.917382,-52.626025,-55.096722,-49.889935,-62.107835,-54.919685,-55.831576,-55.332316,-53.695371,-54.015428,-56.539296,-50.959207,-56.788648,-60.869499,-64.595935,-53.526834,-52.177935,-55.955215,-63.516515,-51.379914,-61.251740,-62.744793,-47.329797,-44.543587,-57.623635,-53.629457,-60.072795,-55.256522,-58.491976,-72.416610,-56.385427,-60.406076,-53.699781,-57.914272,-59.536053,-48.974659,-51.917237,-54.669344,-51.963229,-54.442318,-61.466762,-47.553300,-45.920549,-49.049974,-58.749728,-48.001590,-81.742403,-48.694970,-57.110163,-52.512145,-50.727931,-48.261676,-58.329325,-56.231659,-58.059673,-59.690396,-50.787550,-52.316357,-57.249159,-54.001578,-52.169867,-56.856860,-52.158699,-55.905215,-66.036691,-61.735197,-48.107262,-48.775516,-54.513139,-53.509398,-45.853784,-75.516467,-45.269315,-40.497298,-44.569660,-52.754649,-48.063005,-49.531065,-44.542213,-52.807216,-51.229513,-53.584534,-48.250724,-51.286207,-59.947353,-57.034592,-66.025558,-49.894631,-56.642803,-52.045186,-73.428383,-53.969597,-52.299867,-77.382877,-61.610578,-58.413761,-52.318044,-58.495459,-60.160837,-55.510930,-55.033940,-61.854112,-65.742453,-49.961792,-54.475927,-73.053174,-53.591088,-61.945708,-68.703044,-53.196883,-61.291284,-52.934173,-70.836695,-65.578777,-49.929268,-54.710773,-59.179916,-59.781091,-54.844791,-64.348111,-58.621335,-63.207147,-68.383362,-53.637864,-66.889495,-61.125012,-60.877383,-59.070177,-64.058577,-77.656458,-54.074723,-64.662052,-66.879884,0,Fileset 1: TS pulse compressed wideband pings T2
171.500,-56.366439,-53.690660,-45.686115,-56.066704,-52.635659,-43.298504,-47.554623,-41.776360,-44.406324,-59.465148,-52.320580,-57.173447,-50.441731,-49.678062,-59.049945,-45.926441,-52.275458,-56.081289,-52.202221,-50.220179,-68.516913,-56.299482,-59.099195,-61.256310,-53.667535,-62.271405,-62.609344,-52.106245,-53.005943,-53.089726,-70.509480,-58.386523,-53.870341,-69.438200,-54.802372,-55.741245,-57.483718,-71.422540,-56.355277,-52.782148,-49.292872,-50.847487,-57.956122,-49.408923,-54.502256,-50.094911,-43.538009,-49.438887,-61.378578,-79.981069,-57.862459,-53.347536,-54.760291,-49.314327,-58.654377,-56.401565,-58.935882,-53.994548,-52.145214,-52.085459,-55.223067,-50.667002,-55.057011,-63.577888,-63.587370,-54.213704,-52.066282,-55.956995,-69.899600,-50.798160,-61.066341,-64.548505,-46.831491,-45.961492,-56.054259,-53.043711,-66.264961,-56.633420,-57.236527,-66.662274,-56.179665,-62.047805,-52.623869,-59.034329,-60.348184,-48.898752,-50.036625,-55.194547,-54.298568,-53.794581,-55.023883,-47.993033,-47.222289,-50.157725,-56.663264,-48.463995,-83.925742,-48.756985,-55.546703,-50.537448,-50.213132,-48.703465,-59.240967,-56.941746,-56.831856,-58.589480,-51.438727,-52.020073,-54.322521,-55.787466,-54.773526,-57.341211,-53.166656,-56.165133,-64.369838,-65.259498,-48.452263,-48.443365,-53.955588,-51.675288,-46.224695,-66.986299,-48.094900,-41.404680,-44.449307,-53.072745,-46.300621,-49.109912,-44.679012,-50.825759,-50.587527,-53.223586,-46.863857,-49.619449,-59.509064,-54.959025,-62.905153,-49.234311,-55.638397,-51.285121,-65.328979,-53.192982,-52.336410,-73.771238,-60.619237,-57.875016,-54.470186,-58.123695,-59.632677,-55.332301,-56.070755,-61.175249,-62.920730,-50.664559,-55.945877,-70.337503,-53.995676,-61.036503,-67.984840,-52.730533,-61.547952,-51.503423,-67.572867,-61.163130,-47.853215,-53.729882,-59.617292,-56.349510,-55.065532,-64.808391,-59.027109,-59.913810,-65.794773,-52.927021,-68.887602,-60.775550,-59.667364,-58.737690,-63.737822,-74.454420,-55.572842,-62.269310,-69.454617,0,Fileset 1: TS pulse compressed wideband pings T2
172.000,-56.680663,-52.924167,-46.819870,-55.994663,-54.780656,-43.454041,-46.093526,-42.715162,-44.814194,-59.704556,-51.644914,-56.893237,-49.914977,-49.599940,-59.272666,-45.360493,-52.872150,-54.651917,-52.678796,-49.522801,-68.592219,-56.427489,-57.258913,-60.601579,-54.309215,-61.864383,-63.381937,-52.834191,-52.764870,-50.789808,-62.996007,-57.418092,-53.810331,-72.470960,-58.007661,-55.930991,-55.962329,-68.512810,-55.470037,-54.326122,-47.058620,-52.871147,-56.169857,-48.438147,-54.334269,-52.708349,-42.278059,-48.838606,-61.747548,-56.455213,-57.642543,-53.127897,-53.935633,-49.363156,-57.563643,-56.636084,-62.645377,-53.084751,-51.407722,-50.618724,-53.987307,-50.823850,-52.236235,-64.858177,-61.375823,-55.239425,-51.763607,-56.382296,-64.089864,-50.178973,-60.669705,-66.462726,-46.587948,-48.456369,-53.824758,-52.459484,-77.068947,-58.058459,-55.282862,-63.018720,-56.095691,-61.384702,-51.451121,-58.739192,-60.268520,-49.371620,-48.255832,-54.914162,-58.242116,-52.656191,-52.626390,-48.752663,-48.364482,-51.085137,-55.884346,-48.245827,-69.180003,-48.814252,-54.358245,-48.812883,-49.535345,-49.588223,-60.160254,-58.184948,-55.826395,-58.124321,-52.869374,-51.625578,-51.570198,-56.240776,-56.986106,-59.713560,-54.031734,-56.560250,-60.429972,-66.629607,-49.109269,-48.147213,-52.920856,-50.294518,-46.372513,-60.990994,-52.184922,-42.483415,-45.127203,-53.274985,-44.970412,-49.862153,-44.876040,-49.060232,-49.254966,-51.986820,-45.287085,-48.764278,-55.918812,-53.139358,-59.578172,-48.660502,-54.984278,-50.664274,-63.773196,-52.281604,-52.566370,-64.330130,-58.156552,-56.492215,-56.129878,-58.334400,-58.916024,-56.016068,-56.455316,-61.074676,-60.071564,-52.140678,-56.573948,-65.478341,-54.786867,-61.325450,-64.883054,-52.826448,-60.351637,-50.821666,-64.292746,-57.729825,-46.241637,-53.021584,-60.383803,-54.943244,-55.649839,-64.745698,-57.894876,-57.949087,-63.965495,-52.049194,-71.823859,-61.051048,-58.076490,-58.965397,-63.371407,-70.494947,-57.488734,-59.533216,-73.027692,0,Fileset 1: TS pulse compressed wideband pings T2
