Target_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,Variable_index,Variable_name
Ping_index,301,302,305,308,309,310,311,312,313,314,315,316,317,318,319,322,326,327,328,329,4095,4096,4097,4098,4099,4100,4101,4102,4103,4104,4105,4106,4107,4108,4109,4113,4114,4116,4117,4118,4119,4122,4123,4125,4126,4127,4128,4133,4134,4135,4281,4282,4283,4284,4285,4286,4287,4288,4289,4290,4291,4296,4298,4374,4375,4376,4381,4382,4383,4389,4390,4391,4396,4397,4398,4399,4400,4406,5598,5600,5601,5603,5604,5607,5608,5609,5610,5611,5612,5613,5618,5619,5620,5622,5623,5624,5626,5627,5628,5629,5631,5636,5637,7229,7233,7234,7237,7238,7242,7245,7246,7247,7248,7249,7251,7252,7253,7254,7255,7257,7258,7259,7260,7261,7262,7263,7264,7265,7269,7270,7271,7272,7273,7274,7280,7281,7282,7287,7288,7289,7291,7296,7299,7304,7305,7307,7309,8825,8826,8827,8828,8829,8833,8834,8835,8836,8837,8841,8842,8844,8851,8852,8858,8859,8860,8865,8867,8873,8874,8875,8928,8934,8935,8937,8941,8947,8948,8949,8950,8955,8956,8957,8958,
Ping_date,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-28,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,2022-07-29,
Ping_time,23:48:49,23:48:49,23:48:50,23:48:51,23:48:51,23:48:51,23:48:51,23:48:51,23:48:52,23:48:52,23:48:52,23:48:52,23:48:52,23:48:53,23:48:53,23:48:53,23:48:54,23:48:54,23:48:55,23:48:55,00:01:29,00:01:29,00:01:29,00:01:29,00:01:30,00:01:30,00:01:30,00:01:30,00:01:30,00:01:31,00:01:31,00:01:31,00:01:31,00:01:31,00:01:32,00:01:32,00:01:33,00:01:33,00:01:33,00:01:33,00:01:34,00:01:34,00:01:34,00:01:35,00:01:35,00:01:35,00:01:35,00:01:36,00:01:37,00:01:37,00:02:06,00:02:06,00:02:06,00:02:07,00:02:07,00:02:07,00:02:07,00:02:07,00:02:08,00:02:08,00:02:08,00:02:09,00:02:09,00:02:25,00:02:25,00:02:25,00:02:26,00:02:26,00:02:26,00:02:28,00:02:28,00:02:28,00:02:29,00:02:29,00:02:29,00:02:30,00:02:30,00:02:31,00:06:30,00:06:30,00:06:30,00:06:31,00:06:31,00:06:31,00:06:32,00:06:32,00:06:32,00:06:32,00:06:32,00:06:33,00:06:34,00:06:34,00:06:34,00:06:34,00:06:35,00:06:35,00:06:35,00:06:35,00:06:36,00:06:36,00:06:36,00:06:37,00:06:37,00:11:56,00:11:57,00:11:57,00:11:58,00:11:58,00:11:59,00:11:59,00:12:00,00:12:00,00:12:00,00:12:00,00:12:01,00:12:01,00:12:01,00:12:01,00:12:01,00:12:02,00:12:02,00:12:02,00:12:02,00:12:03,00:12:03,00:12:03,00:12:03,00:12:03,00:12:04,00:12:04,00:12:05,00:12:05,00:12:05,00:12:05,00:12:06,00:12:07,00:12:07,00:12:08,00:12:08,00:12:08,00:12:09,00:12:10,00:12:10,00:12:11,00:12:11,00:12:12,00:12:12,00:17:16,00:17:16,00:17:16,00:17:16,00:17:16,00:17:17,00:17:17,00:17:18,00:17:18,00:17:18,00:17:19,00:17:19,00:17:19,00:17:21,00:17:21,00:17:22,00:17:22,00:17:23,00:17:24,00:17:24,00:17:25,00:17:25,00:17:26,00:17:36,00:17:37,00:17:38,00:17:38,00:17:39,00:17:40,00:17:40,00:17:40,00:17:41,00:17:42,00:17:42,00:17:42,00:17:42,
Ping_milliseconds,764.0,973.0,563.0,164.0,365.0,565.0,765.0,963.0,164.0,362.0,564.0,765.0,964.0,164.0,364.0,965.0,764.0,964.0,164.0,365.0,264.0,465.0,665.0,864.0,064.0,263.0,464.0,664.0,865.0,064.0,264.0,464.0,664.0,864.0,064.0,865.0,064.0,465.0,664.0,864.0,064.0,664.0,864.0,263.0,464.0,675.0,863.0,864.0,064.0,264.0,464.0,664.0,872.0,064.0,264.0,464.0,663.0,864.0,077.0,264.0,464.0,464.0,864.0,164.0,364.0,564.0,565.0,765.0,974.0,164.0,374.0,563.0,564.0,763.0,964.0,164.0,364.0,564.0,173.0,563.0,763.0,174.0,364.0,963.0,165.0,364.0,564.0,764.0,964.0,164.0,164.0,364.0,565.0,964.0,164.0,363.0,764.0,964.0,164.0,364.0,764.0,765.0,965.0,664.0,465.0,664.0,264.0,464.0,264.0,864.0,064.0,263.0,462.0,664.0,064.0,264.0,464.0,665.0,864.0,264.0,464.0,664.0,864.0,063.0,264.0,464.0,664.0,875.0,664.0,876.0,064.0,263.0,464.0,664.0,863.0,063.0,264.0,265.0,464.0,664.0,065.0,064.0,664.0,663.0,863.0,274.0,665.0,164.0,364.0,564.0,764.0,964.0,764.0,975.0,164.0,364.0,565.0,364.0,564.0,965.0,365.0,564.0,765.0,964.0,165.0,164.0,565.0,765.0,964.0,163.0,764.0,975.0,164.0,565.0,365.0,564.0,764.0,964.0,164.0,164.0,363.0,564.0,764.0,
Range,8.2758592000,8.2524480000,8.2524480000,8.4280320000,8.4631488000,8.4865600000,8.5216768000,8.5684992000,8.6036160000,8.6387328000,8.6621440000,8.6738496000,8.6621440000,8.6738496000,8.6855552000,8.7206720000,8.6738496000,8.6738496000,8.6855552000,8.7206720000,11.2490816000,11.2256704000,11.2139648000,11.2139648000,11.2373760000,11.2724928000,11.2959040000,11.2959040000,11.2959040000,11.2841984000,11.2841984000,11.2959040000,11.3076096000,11.3310208000,11.3544320000,11.4012544000,11.4246656000,11.4129600000,11.4129600000,11.4597824000,11.4597824000,11.5300160000,11.5183104000,11.5183104000,11.4831936000,11.4831936000,11.4948992000,11.6002496000,11.5534272000,11.5417216000,10.5701568000,10.5818624000,10.6052736000,10.6052736000,10.6169792000,10.6052736000,10.5701568000,10.5584512000,10.5467456000,10.5701568000,10.6052736000,10.6520960000,10.6872128000,10.8276800000,10.8276800000,10.8510912000,10.8627968000,10.8627968000,10.8745024000,10.9213248000,10.9330304000,10.9447360000,10.9915584000,10.9915584000,11.0032640000,11.0149696000,11.0266752000,11.0032640000,11.2256704000,11.2607872000,11.2959040000,11.3310208000,11.3544320000,11.4480768000,11.4831936000,11.4948992000,11.5183104000,11.5066048000,11.5066048000,11.5066048000,11.6587776000,11.6470720000,11.6353664000,11.6587776000,11.6938944000,11.7407168000,11.7875392000,11.7875392000,11.7875392000,11.7875392000,11.8343616000,11.8694784000,11.8694784000,10.7457408000,10.8627968000,10.8627968000,10.9096192000,10.9564416000,11.0852032000,11.0969088000,11.1086144000,11.1320256000,11.1554368000,11.1905536000,11.2607872000,11.2724928000,11.2841984000,11.2959040000,11.3076096000,11.3895488000,11.4129600000,11.4363712000,11.4714880000,11.4831936000,11.4597824000,11.4831936000,11.5417216000,11.6353664000,11.6119552000,11.6470720000,11.6704832000,11.7056000000,11.7173056000,11.7173056000,11.7290112000,11.7641280000,11.7875392000,11.7173056000,11.7290112000,11.7524224000,11.7758336000,11.7056000000,11.7290112000,11.7056000000,11.6938944000,11.7056000000,11.7056000000,11.9045952000,11.9514176000,11.9280064000,11.8928896000,11.8343616000,11.8811840000,11.9163008000,11.9280064000,11.9163008000,11.9163008000,11.9631232000,11.9514176000,11.9163008000,11.9748288000,11.9865344000,11.9280064000,11.9748288000,11.9748288000,11.9748288000,11.9045952000,11.8928896000,11.9397120000,11.9631232000,11.8460672000,11.9514176000,11.9397120000,11.8694784000,11.9631232000,11.9748288000,11.9631232000,11.9397120000,11.9045952000,11.9045952000,11.8811840000,11.8577728000,11.8343616000,
Depth,8.2662971485,8.2454465181,8.2439954262,8.4205179485,8.4583286215,8.4834840642,8.5183093967,8.5656251498,8.6018274799,8.6367975743,8.6576369833,8.6670297170,8.6547068069,8.6681955922,8.6821481194,8.7168397345,8.6660965132,8.6694078213,8.6802073456,8.7138915109,11.2357222484,11.2174348952,11.2044125237,11.2017756542,11.2255517859,11.2618867969,11.2845817525,11.2852451382,11.2876383057,11.2780616134,11.2810916770,11.2925340869,11.3008080237,11.3213965939,11.3482471462,11.3907928821,11.4230988761,11.3985636048,11.4026144342,11.4591437439,11.4533901243,11.5180702871,11.5175354024,11.5175680658,11.4817795483,11.4779980574,11.4855088564,11.5870962180,11.5456848405,11.5297897588,10.5610212777,10.5767243458,10.5991857219,10.5983579857,10.6098991334,10.5992992809,10.5657545598,10.5565364501,10.5460603498,10.5689294077,10.5999656636,10.6410817131,10.6776581230,10.8163923025,10.8175354982,10.8378007067,10.8552492717,10.8569712546,10.8672211105,10.9138080934,10.9269831274,10.9357843334,10.9803869296,10.9872390907,11.0009371331,11.0098532010,11.0135916444,11.0009082463,11.2134249080,11.2481054226,11.2908882694,11.3230101960,11.3464979753,11.4416846940,11.4744438566,11.4823272256,11.5060132025,11.4988026218,11.5053458065,11.5058733448,11.6461336100,11.6424753657,11.6339078853,11.6579256142,11.6907440880,11.7300447216,11.7724657152,11.7770218821,11.7836105758,11.7833602037,11.8194745900,11.8573835725,11.8564470578,10.7326101437,10.8495941833,10.8491994692,10.9028113112,10.9513649596,11.0784858093,11.0925577292,11.1069810307,11.1294382922,11.1500444151,11.1839006487,11.2570763584,11.2669613799,11.2788686864,11.2946182471,11.3074750844,11.3882705681,11.4112090264,11.4294179194,11.4612346515,11.4759121621,11.4572348176,11.4831236722,11.5407961262,11.6319295736,11.6077177860,11.6457409756,11.6695374250,11.7019945560,11.7089347485,11.7036552997,11.7281504618,11.7635760531,11.7838615784,11.7120170146,11.7268544184,11.7496331083,11.7619660115,11.7025040239,11.7166998163,11.7004623096,11.6882358491,11.6933555603,11.6913035205,11.8967445744,11.9413626017,11.9186754618,11.8873590296,11.8239811389,11.8710636357,11.9099940434,11.9226272739,11.9120490039,11.9067962011,11.9539179262,11.9426042829,11.9017285537,11.9646933405,11.9771047188,11.9201272940,11.9686330119,11.9634763524,11.9666676130,11.8918925142,11.8828064529,11.9367664419,11.9562876811,11.8330695033,11.9378412943,11.9272373170,11.8553206008,11.9488706477,11.9722395660,11.9577886397,11.9313957756,11.8911052682,11.8910234896,11.8742008237,11.8499261532,11.8231369080,
Region_name,"Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 2","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 3","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 4","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 5","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 7","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 10","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 12","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 13","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14","Region 14",
45.000,-48.437468,-48.072093,-48.303103,-42.763848,-39.687341,-40.622575,-42.492133,-44.170621,-42.989950,-44.907425,-48.722377,-47.582805,-48.811241,-48.148378,-50.707048,-52.243833,-52.918408,-54.890082,-53.190729,-49.557981,-57.517536,-57.845952,-60.152363,-58.920996,-61.514765,-62.610587,-62.015004,-55.111306,-51.891612,-54.595133,-59.005516,-57.118179,-59.113989,-60.088710,-57.597945,-57.271606,-62.325772,-58.379336,-61.545533,-68.502974,-60.626140,-59.304326,-55.648012,-66.482360,-59.642389,-55.090455,-57.110152,-56.360916,-57.460795,-57.239479,-57.178174,-63.667718,-57.183993,-52.010254,-52.336356,-51.810047,-60.000034,-57.303531,-56.389717,-63.039511,-59.634406,-48.221511,-48.228171,-59.589562,-74.139707,-63.203887,-58.638795,-59.160861,-52.832991,-58.651566,-52.030080,-53.814837,-52.772371,-52.623932,-59.206366,-65.490519,-56.761234,-51.767844,-55.303747,-52.538351,-52.254353,-55.321863,-53.563556,-53.496188,-55.732650,-58.570593,-57.165210,-50.372338,-56.997529,-55.519537,-56.795622,-54.308661,-53.096704,-55.508056,-54.254756,-50.860025,-51.916319,-48.886498,-48.842860,-50.882869,-48.758262,-52.228889,-48.442976,-63.096613,-56.186368,-66.625426,-53.810998,-53.864679,-53.190155,-66.450625,-58.948286,-51.169715,-47.881060,-47.919031,-47.588690,-50.467432,-47.121233,-52.014783,-51.756383,-47.662583,-56.892849,-61.588092,-48.376264,-46.684850,-51.142462,-52.951225,-49.103504,-48.907229,-48.537327,-57.437632,-63.918252,-63.464394,-55.409696,-62.955228,-62.030644,-59.100282,-56.111920,-53.152897,-56.443516,-55.147468,-57.424455,-54.880698,-53.440704,-52.985086,-52.992700,-52.487876,-53.443349,-56.248208,-57.847500,-61.853232,-55.882152,-62.317481,-55.953765,-53.246222,-54.873915,-58.686235,-54.263945,-55.841930,-56.607512,-59.124944,-56.928228,-58.678322,-63.403472,-55.414160,-58.283006,-53.358529,-59.679952,-61.483004,-50.915901,-56.047289,-55.452161,-53.766634,-55.837203,-61.102682,-56.486592,-59.793038,-54.289088,-58.402482,-59.267133,-56.722991,-55.922953,-60.213614,-56.115549,0,Fileset 1: TS pulse compressed wideband pings T1
45.500,-47.802599,-47.378342,-47.560125,-42.138793,-39.117540,-39.956557,-41.481522,-44.038260,-42.833955,-44.388054,-49.203595,-48.162946,-49.290732,-48.477143,-50.390561,-52.036084,-52.009640,-54.196669,-52.301915,-49.432965,-58.089345,-57.643907,-59.438630,-57.678158,-60.833857,-61.950901,-62.507019,-55.228378,-51.637473,-54.423650,-60.365135,-57.093798,-58.597990,-59.086823,-56.843795,-58.072957,-60.601635,-57.746418,-60.702621,-66.981382,-60.100384,-60.170710,-54.862632,-67.132984,-59.139212,-54.653162,-56.819247,-56.242412,-57.982010,-57.414748,-56.042135,-63.119611,-55.381342,-51.872057,-52.328725,-51.913921,-60.546505,-55.702893,-55.983343,-64.382805,-61.413524,-47.707001,-47.679283,-59.597938,-72.179639,-65.619776,-59.242082,-57.341841,-52.299289,-58.341226,-51.402825,-53.274759,-53.093296,-52.642570,-59.821056,-63.129870,-56.403860,-51.419811,-55.738407,-51.501616,-52.343103,-54.523730,-52.249935,-52.958639,-55.253399,-59.119015,-56.111763,-49.657248,-56.049333,-55.288619,-56.350963,-53.919828,-52.484199,-54.885798,-53.323533,-51.128978,-51.111729,-48.065574,-47.863085,-50.461155,-47.829545,-52.135401,-48.070719,-63.178131,-56.347450,-66.065958,-53.501190,-54.446319,-52.384535,-66.588270,-59.229243,-51.035486,-48.077087,-48.054184,-46.818607,-50.332698,-47.087475,-51.953135,-51.705418,-47.769435,-56.524512,-62.523297,-48.059935,-46.601762,-50.943604,-52.875918,-48.739460,-48.931670,-48.669262,-57.717054,-62.767779,-64.063391,-55.216690,-67.111806,-61.790928,-57.342209,-55.439625,-52.506658,-55.818314,-54.486231,-56.752733,-54.585566,-53.491939,-52.809183,-52.211187,-52.146950,-53.197322,-56.213282,-57.245826,-61.211500,-55.425646,-61.543277,-55.586308,-52.832096,-54.405340,-58.586499,-54.750272,-54.340740,-55.567880,-58.734106,-56.842734,-57.251772,-62.359491,-54.621674,-59.212131,-53.087295,-59.158692,-60.554022,-50.725727,-54.676673,-55.080442,-53.481484,-55.050110,-59.463576,-55.335894,-58.427270,-53.607026,-57.072394,-57.867498,-55.402038,-55.107208,-59.025489,-55.286873,0,Fileset 1: TS pulse compressed wideband pings T1
46.000,-47.229089,-46.705593,-46.641027,-41.647606,-38.689222,-39.145855,-40.693277,-44.254942,-42.841770,-44.035995,-49.682904,-49.007795,-49.988105,-48.957856,-50.263575,-51.745094,-51.328270,-53.336734,-51.405745,-49.245600,-59.064798,-57.258691,-59.322214,-56.407159,-59.967714,-61.164663,-64.167458,-55.528362,-51.630908,-54.371026,-61.276765,-57.735233,-57.983774,-58.054515,-56.491093,-59.369032,-59.552843,-57.034876,-59.483945,-66.110497,-59.790721,-60.627215,-54.302402,-66.679251,-58.322333,-54.509187,-56.550783,-56.565833,-58.376475,-57.351448,-55.216138,-62.797580,-53.828633,-51.636472,-52.196297,-52.172129,-60.233708,-54.826685,-55.658149,-66.483651,-64.616237,-47.428539,-47.403912,-59.137894,-69.834219,-69.269787,-59.900522,-55.881076,-51.849230,-57.826623,-51.119414,-52.740554,-53.625854,-52.676848,-59.711424,-61.799170,-56.195479,-50.985033,-55.821669,-50.488221,-52.733564,-53.702196,-51.227536,-52.270752,-54.666176,-59.257604,-55.215748,-49.125433,-55.066482,-54.738129,-55.853085,-53.918727,-51.667117,-54.199937,-52.281151,-51.306059,-50.295667,-47.282989,-47.054267,-50.171287,-47.145898,-52.263967,-47.950935,-62.620236,-56.611106,-66.194902,-53.452602,-55.505704,-51.689790,-65.728312,-59.810292,-50.948181,-48.438672,-48.201314,-46.313521,-50.258645,-47.113790,-52.328774,-51.821098,-47.920350,-56.336174,-62.804966,-47.926433,-46.724836,-50.782737,-53.073300,-48.429474,-49.031385,-48.771817,-58.235954,-63.187775,-66.298611,-54.963051,-69.915324,-62.328246,-56.047501,-55.089132,-51.799873,-55.205919,-53.993468,-55.773988,-54.047331,-53.430998,-52.690706,-51.678937,-51.943332,-53.105297,-55.763326,-56.586844,-60.580999,-54.941348,-61.011835,-55.394713,-52.405887,-54.043043,-58.176901,-55.056489,-53.371926,-54.897053,-58.340936,-56.776973,-56.095566,-61.402400,-54.098755,-59.452191,-52.939626,-58.317860,-59.906415,-50.575886,-53.948065,-54.770230,-53.167228,-54.556315,-58.087151,-54.472004,-57.691320,-53.247416,-55.984812,-56.939017,-54.463703,-54.524952,-58.359939,-54.535097,0,Fileset 1: TS pulse compressed wideband pings T1
